Polling Firm | Commissioners | Fieldwork Start | Fieldwork End | Scope | Sample Size | Participation | Precision | DA | PS | Vd’A | SDP | L’A | Podem | TV | UL | AS | UPA | CC | AE | Concòrdia | Acció | ACO | Other
CRES | N/A | 2023-02-21 | 2023-03-08 | N | 810 | 53.4 | 0.1 | N/A | N/A | N/A | N/A | 6.4 | N/A | N/A | N/A | N/A | N/A | N/A | 13.1 | 11.4 | 1.9 | N/A | 0.7
CRES | N/A | 2022-04-29 | 2022-05-11 | N | 403 | 63.8 | 0.1 | 52.1 | 22.6 | N/A | 1.6 | 11.3 | N/A | 4.7 | N/A | 0.8 | 0.8 | 1.2 | 3.5 | N/A | N/A | N/A | N/A
CRES | N/A | 2021-04-30 | 2021-05-13 | N | 419 | 69.9 | 0.1 | 61.8 | 19.5 | N/A | 1.4 | 9.6 | N/A | N/A | N/A | 0.3 | N/A | N/A | 2.0 | N/A | N/A | N/A | N/A
CRES | N/A | 2020-06-15 | 2020-06-29 | N | 800 | 69.0 | 0.1 | 56.2 | 23.9 | 0.4 | 2.2 | 8.0 | N/A | N/A | N/A | N/A | 0.4 | 1.4 | N/A | N/A | N/A | N/A | N/A
Time Consultants | ElNacional.cat | 2019-03-07 | 2019-03-18 | N | 680 | N/A | 0.1 | 34.1 | 30.2 | N/A | 3.8 | 16.2 | N/A | 8.6 | N/A | 2.9 | 1.2 | N/A | N/A | N/A | N/A | N/A | N/A
CRES | N/A | 2019-02-28 | 2019-03-13 | N | 811 | 43.9 | 0.1 | 38.7 | 28.9 | N/A | 5.2 | 16.0 | N/A | N/A | N/A | 3.1 | 1.1 | N/A | N/A | N/A | N/A | N/A | N/A
Time Consultants | ElNacional.cat | 2018-10-01 | 2018-10-10 | N | 680 | N/A | 0.1 | 34.4 | N/A | N/A | 8.0 | 19.9 | 1.4 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A
CRES | N/A | 2018-06-04 | 2018-06-21 | N | 406 | 60.3 | 0.1 | 32.2 | 36.3 | 2.5 | 7.8 | 21.2 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A
CRES | N/A | 2017-05-03 | 2017-05-25 | N | 403 | 49.9 | 0.1 | 37.3 | 20.9 | 8.0 | 8.4 | 23.9 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1.5
CRES | N/A | 2016-05-16 | 2016-06-30 | N | 808 | 53.5 | 0.1 | 38.2 | 30.6 | N/A | 7.2 | 24.1 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A
CRES | N/A | 2015-01-26 | 2015-02-05 | N | 674 | 48.8 | 0.1 | 44.1 | N/A | N/A | 10.3 | 16.1 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A
CRES | N/A | 2014-03-28 | 2014-04-14 | N | 406 | 30.0 | 0.1 | 53.2 | 29.4 | 2.4 | 7.9 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 7.2
CRES | N/A | 2013-06-05 | 2013-06-27 | N | 407 | 27.0 | 0.1 | 59.1 | 26.4 | 3.6 | 5.5 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 5.4
CRES | N/A | 2012-05-11 | 2012-06-06 | N | 402 | 42.3 | 0.1 | 60.0 | 34.1 | 4.1 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1.8
CRES | N/A | 2011-02-28 | 2011-03-12 | N | 786 | 39.6 | 0.1 | 51.1 | 42.4 | 2.9 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 3.5
CRES | N/A | 2010-09-27 | 2010-10-13 | N | 426 | 39.6 | 0.1 | 51.1 | 42.4 | 2.9 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 3.5
