Polling Firm | Commissioners | Fieldwork Start | Fieldwork End | Scope | Sample Size | Participation | Precision | HHK | BHK | HAK | Žaṙangut’yun | AJD | OEK | TD | YeLQ | AD | ORO | HKK | IKD | LH | ST | HK | AŽB | HD | PUD | HDK | HQDŠ | Other
Breavis | International Republican Institute | 2023-01-23 | 2023-03-04 | N/A | 1513 | 38 | 1 | 3 | 8 | 3 | N/A | 3 | N/A | N/A | N/A | N/A | N/A | N/A | 55 | N/A | N/A | 3 | 3 | 11 | N/A | 5 | 3 | N/A
Gallup | N/A | 2021-06-11 | 2021-06-18 | N/A | N/A | 88 | 0.1 | N/A | 6.1 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 28.6 | 5.9 | N/A | 3.0 | 0.8 | 32.6 | 12.3 | N/A | N/A | N/A
Armenian Election Study | N/A | 2021-05-31 | 2021-06-16 | N/A | 800 | 46 | 1 | N/A | 4 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 52 | N/A | N/A | 4 | 4 | 26 | 2 | N/A | N/A | N/A
Gallup | N/A | 2021-06-06 | 2021-06-10 | N/A | 1103 | 72.6 | 0.1 | N/A | 5.1 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 32.8 | 4.3 | N/A | 3.2 | 1.1 | 33.2 | 10.2 | N/A | N/A | N/A
Gallup | N/A | 2021-05-31 | 2021-06-04 | N/A | 1100 | 62.4 | 0.1 | N/A | 6.7 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 35.9 | 4.6 | N/A | 3.4 | 2.4 | 33.0 | 6.2 | N/A | N/A | N/A
Gallup | N/A | 2021-05-25 | 2021-05-28 | N/A | 1102 | 58.8 | 0.1 | N/A | 6.5 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 38.9 | 3.9 | N/A | 4.8 | 2.9 | 29.8 | 4.6 | N/A | N/A | N/A
Gallup | N/A | 2021-05-18 | 2021-05-21 | N/A | N/A | N/A | 0.1 | N/A | 4.1 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 24.8 | 2.0 | N/A | 2.5 | 1 | 14.3 | 3.1 | N/A | N/A | N/A
Caucasus Research Resource Center | International Republican Institute | 2021-04-08 | 2021-05-04 | N/A | 1502 | 31 | 1 | 3 | 3 | N/A | N/A | 3 | N/A | N/A | N/A | 3 | N/A | N/A | 84 | 3 | N/A | 3 | 3 | N/A | N/A | N/A | N/A | N/A
Gallup | N/A | 2021-04-23 | 2021-04-27 | N/A | 1003 | 66.5 | 0.1 | 2.7 | 5.6 | N/A | N/A | 1.7 | N/A | N/A | N/A | N/A | N/A | N/A | 40.9 | 2.7 | N/A | N/A | 1.7 | 12.2 | N/A | N/A | N/A | N/A
Gallup | N/A | 2021-03-26 | 2021-03-29 | N/A | 801 | 55.4 | 0.1 | 4.3 | 7.9 | N/A | N/A | 3.8 | N/A | N/A | N/A | N/A | N/A | N/A | 57.2 | 4.9 | N/A | 0.7 | 0.9 | 10.6 | N/A | N/A | N/A | N/A
Gallup | N/A | 2021-02-15 | 2021-02-17 | N/A | N/A | 72.8 | 0.1 | 3.0 | 6.0 | N/A | N/A | 3.0 | N/A | N/A | N/A | N/A | N/A | N/A | 45.5 | 3.6 | N/A | 1.0 | 0.5 | N/A | N/A | N/A | N/A | N/A
