Polling Firm | Commissioners | Fieldwork Start | Fieldwork End | Scope | Sample Size | Participation | Precision | ÖVP | SPÖ | FPÖ | NEOS | GRÜNE | JETZT | G!LT | HC | MFG | KPÖ | BIER | Other
Market | ÖSTERREICH | 2023-12-11 | 2023-12-13 | N | 2000 | N/A | 1 | 21 | 24 | 30 | 10 | 9 | N/A | N/A | N/A | N/A | 3 | N/A | 3
Market | ÖSTERREICH | 2023-12-04 | 2023-12-06 | N | 2000 | N/A | 1 | 19 | 24 | 30 | 12 | 9 | N/A | N/A | N/A | N/A | 3 | N/A | 3
INSA | eXXpress | 2023-12-04 | 2023-12-06 | N | 1000 | N/A | 1 | 20 | 23 | 30 | 10 | 10 | N/A | N/A | N/A | N/A | N/A | N/A | 7
Market | ÖSTERREICH | 2023-11-27 | 2023-11-29 | N | 1000 | N/A | 1 | 19 | 24 | 31 | 13 | 9 | N/A | N/A | N/A | N/A | 3 | N/A | 1
Unique Research | ATV, Heute and PULS 24 | 2023-11-22 | 2023-11-29 | N | 1600 | N/A | 1 | 22 | 22 | 32 | 9 | 9 | N/A | N/A | N/A | N/A | 4 | N/A | 2
Unique Research | ATV, Heute and PULS 24 | 2023-11-22 | 2023-11-29 | E | 1600 | N/A | 1 | 23 | 24 | 30 | 7 | 12 | N/A | N/A | N/A | N/A | 3 | N/A | 1
Market | Der Standard | 2023-11-21 | 2023-11-23 | N | 800 | N/A | 1 | 20 | 24 | 30 | 11 | 8 | N/A | N/A | N/A | N/A | 2 | 3 | 2
Market | ÖSTERREICH | 2023-11-20 | 2023-11-22 | N | 2000 | N/A | 1 | 20 | 26 | 29 | 10 | 9 | N/A | N/A | N/A | N/A | 4 | N/A | 2
OGM | KURIER | 2023-11-13 | 2023-11-16 | N | 1072 | N/A | 1 | 23 | 25 | 29 | 9 | 8 | N/A | N/A | N/A | N/A | N/A | N/A | 6
Market | ÖSTERREICH | 2023-11-13 | 2023-11-15 | N | 2000 | N/A | 1 | 20 | 26 | 29 | 10 | 9 | N/A | N/A | N/A | N/A | 3 | N/A | 3
Unique Research | profil | 2023-11-06 | 2023-11-09 | N | 800 | N/A | 1 | 20 | 23 | 32 | 10 | 9 | N/A | N/A | N/A | N/A | 3 | N/A | 3
Market | ÖSTERREICH | 2023-11-06 | 2023-11-08 | N | 2000 | N/A | 1 | 20 | 25 | 29 | 10 | 9 | N/A | N/A | N/A | N/A | 4 | N/A | 3
INSA | eXXpress | 2023-10-30 | 2023-11-02 | N | 1000 | N/A | 1 | 21 | 23 | 29 | 10 | 9 | N/A | N/A | N/A | N/A | N/A | N/A | 8
Market | ÖSTERREICH | 2023-10-27 | 2023-10-30 | N | 2000 | N/A | 1 | 20 | 24 | 30 | 11 | 9 | N/A | N/A | N/A | N/A | 3 | N/A | 3
Market | ÖSTERREICH | 2023-10-23 | 2023-10-25 | N | 2000 | N/A | 1 | 20 | 24 | 29 | 12 | 9 | N/A | N/A | N/A | N/A | 3 | N/A | 3
Market | Der Standard | 2023-10-16 | 2023-10-19 | N | 800 | N/A | 1 | 21 | 24 | 29 | 10 | 9 | N/A | N/A | N/A | N/A | 2 | 4 | 1
Market | ÖSTERREICH | 2023-10-16 | 2023-10-18 | N | 2000 | N/A | 1 | 21 | 24 | 29 | 11 | 9 | N/A | N/A | N/A | N/A | 4 | N/A | 2
Peter Hajek | APA and ATV | 2023-10-09 | 2023-10-12 | N | 800 | N/A | 1 | 22 | 21 | 32 | 9 | 10 | N/A | N/A | N/A | N/A | 3 | N/A | 3
Market | ÖSTERREICH | 2023-10-09 | 2023-10-11 | N | 2000 | N/A | 1 | 21 | 25 | 30 | 10 | 9 | N/A | N/A | N/A | N/A | 3 | N/A | 2
INSA | eXXpress | 2023-10-02 | 2023-10-05 | N | 1000 | N/A | 1 | 23 | 23 | 29 | 9 | 9 | N/A | N/A | N/A | N/A | N/A | N/A | 7
Market | ÖSTERREICH | 2023-10-02 | 2023-10-04 | N | 1000 | N/A | 1 | 19 | 27 | 30 | 10 | 8 | N/A | N/A | N/A | N/A | 2 | N/A | 3
IFDD | APA | 2023-10-01 | 2023-10-04 | E | 837 | N/A | 1 | 25 | 25 | 25 | 8 | 14 | N/A | N/A | N/A | N/A | N/A | N/A | 3
Market | ÖSTERREICH | 2023-09-25 | 2023-09-27 | N | 2000 | N/A | 1 | 21 | 25 | 29 | 11 | 9 | N/A | N/A | N/A | N/A | 3 | N/A | 2
Market | ÖSTERREICH | 2023-09-18 | 2023-09-20 | N | 2000 | N/A | 1 | 22 | 25 | 28 | 10 | 10 | N/A | N/A | N/A | N/A | 3 | N/A | 2
OGM | KURIER | 2023-09-11 | 2023-09-14 | N | 1029 | N/A | 1 | 23 | 23 | 27 | 10 | 9 | N/A | N/A | N/A | N/A | N/A | N/A | 8
Unique Research | profil | 2023-09-11 | 2023-09-14 | N | 800 | N/A | 1 | 24 | 21 | 32 | 9 | 9 | N/A | N/A | N/A | N/A | 2 | N/A | 3
Market | ÖSTERREICH | 2023-09-11 | 2023-09-13 | N | 2000 | N/A | 1 | 23 | 23 | 29 | 10 | 9 | N/A | N/A | N/A | N/A | 3 | N/A | 3
INSA | eXXpress | 2023-09-04 | 2023-09-07 | N | 1000 | N/A | 1 | 23 | 22 | 29 | 10 | 10 | N/A | N/A | N/A | N/A | N/A | N/A | 6
Market | ÖSTERREICH | 2023-09-04 | 2023-09-06 | N | 2000 | N/A | 1 | 22 | 23 | 30 | 8 | 10 | N/A | N/A | N/A | N/A | 4 | N/A | 3
IFDD | N/A | 2023-08-29 | 2023-09-01 | N | 1250 | N/A | 1 | 24 | 23 | 27 | 8 | 12 | N/A | N/A | N/A | N/A | 3 | N/A | 3
Market | ÖSTERREICH | 2023-08-28 | 2023-08-30 | N | 2000 | N/A | 1 | 22 | 23 | 30 | 9 | 10 | N/A | N/A | N/A | N/A | 3 | N/A | 3
Market | Der Standard | 2023-08-04 | 2023-08-08 | N | 805 | N/A | 1 | 21 | 22 | 28 | 10 | 11 | N/A | N/A | N/A | N/A | 3 | 4 | 1
INSA | eXXpress | 2023-07-31 | 2023-08-03 | N | 1000 | N/A | 1 | 24 | 22 | 30 | 8 | 10 | N/A | N/A | N/A | N/A | N/A | N/A | 6
OGM | KURIER | 2023-07-18 | 2023-07-20 | N | 920 | N/A | 1 | 24 | 25 | 27 | 9 | 9 | N/A | N/A | N/A | N/A | N/A | N/A | 6
Market | ÖSTERREICH | 2023-07-03 | 2023-07-12 | N | 2000 | N/A | 1 | 23 | 23 | 30 | 8 | 11 | N/A | N/A | N/A | N/A | 3 | N/A | 2
INSA | eXXpress | 2023-07-04 | 2023-07-06 | N | 1000 | N/A | 1 | 23 | 22 | 32 | 9 | 9 | N/A | N/A | N/A | N/A | N/A | N/A | 5
Market | ÖSTERREICH | 2023-06-26 | 2023-07-05 | N | 2000 | N/A | 1 | 21 | 25 | 28 | 11 | 10 | N/A | N/A | N/A | N/A | 4 | N/A | 1
Unique Research | Heute | 2023-06-26 | 2023-06-29 | N | 800 | N/A | 1 | 21 | 23 | 30 | 8 | 10 | N/A | N/A | N/A | N/A | 5 | N/A | 3
Unique Research | Heute | 2023-06-26 | 2023-06-29 | N | 800 | N/A | 1 | 20 | 20 | 28 | 7 | 8 | N/A | N/A | N/A | N/A | 4 | 12 | 1
Market | ÖSTERREICH | 2023-06-19 | 2023-06-28 | N | 2000 | N/A | 1 | 22 | 23 | 26 | 13 | 10 | N/A | N/A | N/A | N/A | 4 | N/A | 2
OGM | KURIER | 2023-06-19 | 2023-06-22 | N | 1177 | N/A | 1 | 23 | 24 | 28 | 9 | 9 | N/A | N/A | N/A | N/A | 4 | N/A | 3
Peter Hajek | APA, ATV and PULS 24 | 2023-06-19 | 2023-06-22 | N | 800 | N/A | 1 | 24 | 22 | 30 | 9 | 9 | N/A | N/A | N/A | N/A | 4 | N/A | 2
Peter Hajek | APA, ATV and PULS 24 | 2023-06-19 | 2023-06-22 | N | 800 | N/A | 1 | 23 | 19 | 29 | 6 | 8 | N/A | N/A | N/A | N/A | 4 | 11 | N/A
Market | ÖSTERREICH | 2023-06-12 | 2023-06-21 | N | 2000 | N/A | 1 | 21 | 23 | 27 | 11 | 11 | N/A | N/A | N/A | N/A | 4 | N/A | 3
Unique Research | profil | 2023-06-12 | 2023-06-15 | N | 800 | N/A | 1 | 24 | 20 | 30 | 9 | 11 | N/A | N/A | N/A | N/A | 5 | N/A | 1
Market | ÖSTERREICH | 2023-06-05 | 2023-06-14 | N | 2000 | N/A | 1 | 23 | 23 | 28 | 9 | 11 | N/A | N/A | N/A | N/A | 4 | N/A | 2
INSA | eXXpress | 2023-06-05 | 2023-06-07 | N | 1000 | N/A | 1 | 24 | 20 | 30 | 9 | 10 | N/A | N/A | N/A | N/A | N/A | N/A | 7
Market | Der Standard | 2023-06-05 | 2023-06-07 | N | 800 | N/A | 1 | 22 | 20 | 27 | 11 | 12 | N/A | N/A | N/A | N/A | 4 | 4 | N/A
Market | ÖSTERREICH | 2023-05-26 | 2023-06-07 | N | 2000 | N/A | 1 | 24 | 21 | 28 | 11 | 11 | N/A | N/A | N/A | N/A | 4 | N/A | 1
Market | ÖSTERREICH | 2023-05-26 | 2023-05-31 | N | 489 | N/A | 1 | 22 | 20 | 27 | 14 | 10 | N/A | N/A | N/A | N/A | 6 | N/A | 1
Market | ÖSTERREICH | 2023-05-26 | 2023-05-31 | N | 511 | N/A | 1 | 26 | 19 | 31 | 9 | 7 | N/A | N/A | N/A | N/A | 3 | N/A | 3
IFDD | Kronen Zeitung | 2023-05-25 | 2023-05-27 | N | 1208 | N/A | 1 | 22 | 25 | 26 | 9 | 10 | N/A | N/A | N/A | N/A | 6 | N/A | 2
IFDD | Kronen Zeitung | 2023-05-25 | 2023-05-27 | N | 1208 | N/A | 1 | 24 | 26 | 27 | 8 | 8 | N/A | N/A | N/A | N/A | 4 | N/A | 3
OGM | Servus TV | 2023-05-22 | 2023-05-24 | N | 1186 | N/A | 1 | 20 | 24 | 26 | 10 | 10 | N/A | N/A | N/A | N/A | 8 | N/A | 2
OGM | Servus TV | 2023-05-22 | 2023-05-24 | N | 1186 | N/A | 1 | 23 | 26 | 28 | 9 | 8 | N/A | N/A | N/A | N/A | 4 | N/A | 2
Market | ÖSTERREICH | 2023-05-15 | 2023-05-24 | N | 2000 | N/A | 1 | 21 | 25 | 28 | 12 | 10 | N/A | N/A | N/A | N/A | N/A | N/A | 4
IFDD | Kronen Zeitung | 2023-05-16 | 2023-05-18 | N | 1250 | N/A | 1 | 24 | 21 | 27 | 8 | 9 | N/A | N/A | N/A | N/A | 7 | N/A | 4
