Polling Firm | Commissioners | Fieldwork Start | Fieldwork End | Scope | Sample Size | Participation | Precision | N-VA | cd&v | Open Vld | Vooruit | Groen | VB | PTB/PVDA | PS | MR | Ecolo | LE | PP | DéFI | DC | Other
iVOX | Gazet van Antwerpen | 2023-11-23 | 2023-11-28 | N/A | 1000 | N/A | 0.1 | 21.3 | 12.9 | 8.7 | 13.2 | 6.9 | 27.5 | 8.5 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Kantar | La Libre Belgique and RTBf | 2023-09-10 | 2023-10-09 | N | 566 | N/A | 0.1 | 20.4 | 13.9 | 7.9 | 16.1 | 8.2 | 23.3 | 8.8 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1.4
Kantar | La Libre Belgique and RTBf | 2023-09-10 | 2023-10-09 | N | 436 | N/A | 0.1 | N/A | N/A | N/A | N/A | N/A | N/A | 19.2 | 27.2 | 20.6 | 11.6 | 11.1 | N/A | 4.5 | N/A | 5.8
Kantar | La Libre Belgique and RTBf | 2023-09-10 | 2023-10-09 | N | 545 | N/A | 0.1 | 5.3 | 0.8 | 3.3 | 1.3 | 4.2 | 4.2 | 16.3 | 18.8 | 19.7 | 13.0 | 5.1 | N/A | 6.9 | N/A | 1.2
Ipsos | Het Laatste Nieuws, Le Soir, RTL TVi and VTM | 2023-09-18 | 2023-09-25 | N | 1000 | N/A | 0.1 | 20.2 | 12.2 | 8.2 | 15.4 | 6.4 | 25.8 | 9.5 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 2.3
Ipsos | Het Laatste Nieuws, Le Soir, RTL TVi and VTM | 2023-09-18 | 2023-09-25 | N | 1000 | N/A | 0.1 | N/A | N/A | N/A | N/A | N/A | N/A | 19.8 | 21.8 | 19.7 | 14.9 | 13.8 | N/A | 2.7 | N/A | 7.3
Ipsos | Het Laatste Nieuws, Le Soir, RTL TVi and VTM | 2023-09-18 | 2023-09-25 | N | 600 | N/A | 0.1 | 3.6 | 0.6 | 1.2 | 1.8 | 0.8 | 2.3 | 15.3 | 18.1 | 21.9 | 17.9 | 6.5 | N/A | 8.0 | N/A | 2.0
Ipsos | Het Laatste Nieuws, Le Soir, RTL TVi and VTM | 2023-05-29 | 2023-06-06 | N | 1000 | N/A | 0.1 | 21.8 | 10.7 | 8.3 | 16.8 | 7.6 | 22.7 | 10.3 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1.8
Ipsos | Het Laatste Nieuws, Le Soir, RTL TVi and VTM | 2023-05-29 | 2023-06-06 | N | 1000 | N/A | 0.1 | N/A | N/A | N/A | N/A | N/A | N/A | 18.9 | 25.7 | 19.8 | 12.7 | 10.3 | N/A | 3.8 | N/A | 8.8
Ipsos | Het Laatste Nieuws, Le Soir, RTL TVi and VTM | 2023-05-29 | 2023-06-06 | N | 600 | N/A | 0.1 | 2.9 | 0.9 | 1.4 | 0.6 | 1.3 | 3.1 | 17.6 | 18.6 | 19.9 | 18.1 | 4.3 | N/A | 8.3 | N/A | 3.0
Ipsos | Het Laatste Nieuws, Le Soir, RTL TVi and VTM | 2023-03-20 | 2023-03-27 | N | 1000 | N/A | 0.1 | 21.6 | 11.8 | 9.2 | 15.5 | 7.4 | 25.0 | 8.0 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1.5
Ipsos | Het Laatste Nieuws, Le Soir, RTL TVi and VTM | 2023-03-20 | 2023-03-27 | N | 1000 | N/A | 0.1 | N/A | N/A | N/A | N/A | N/A | N/A | 17.6 | 25.5 | 18.5 | 12.8 | 11.1 | N/A | 4.9 | N/A | 9.6
Ipsos | Het Laatste Nieuws, Le Soir, RTL TVi and VTM | 2023-03-20 | 2023-03-27 | N | 600 | N/A | 0.1 | N/A | N/A | N/A | N/A | N/A | N/A | 19.4 | 16.8 | 19.8 | 15.7 | 5.1 | N/A | 10.2 | N/A | N/A
TNS | De Standaard and VRT | 2023-03-13 | 2023-03-23 | N | 2092 | N/A | 0.1 | 21.0 | 9.2 | 9.3 | 16.9 | 7.9 | 24.6 | 9.5 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1.7
Kantar | La Libre Belgique and RTBf | 2023-01-16 | 2023-01-29 | N | 514 | N/A | 0.1 | 21.5 | 9.6 | 12.1 | 15.2 | 10.3 | 24.8 | 5.7 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 0.9
Kantar | La Libre Belgique and RTBf | 2023-01-16 | 2023-01-29 | N | 502 | N/A | 0.1 | N/A | N/A | N/A | N/A | N/A | N/A | 20.1 | 25.8 | 19.7 | 11.3 | 9.3 | N/A | 5.4 | N/A | 8.5
Kantar | La Libre Belgique and RTBf | 2023-01-16 | 2023-01-29 | N | 493 | N/A | 0.1 | 4.5 | 1 | 1.2 | 1.6 | 6.1 | 2.6 | 16.7 | 18 | 16.8 | 16 | 2.9 | N/A | 9.6 | N/A | 3.1
Ipsos | Het Laatste Nieuws, Le Soir, RTL TVi and VTM | 2022-11-21 | 2022-11-29 | N | 1001 | N/A | 0.1 | 22.0 | 9.6 | 9.3 | 16.1 | 8.7 | 25.5 | 7.4 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1.4
Ipsos | Het Laatste Nieuws, Le Soir, RTL TVi and VTM | 2022-11-21 | 2022-11-29 | N | 1002 | N/A | 0.1 | N/A | N/A | N/A | N/A | N/A | N/A | 17.9 | 23.7 | 20.4 | 13.1 | 9.1 | N/A | 5.3 | N/A | N/A
Ipsos | Het Laatste Nieuws, Le Soir, RTL TVi and VTM | 2022-11-21 | 2022-11-29 | N | 601 | N/A | 0.1 | N/A | N/A | N/A | N/A | N/A | N/A | 16.1 | 21.6 | 20.3 | 13.0 | 6.1 | N/A | 10.4 | N/A | N/A
Ipsos | Het Laatste Nieuws, Le Soir, RTL TVi and VTM | 2022-09-07 | 2022-09-13 | N | 1000 | N/A | 0.1 | 21.5 | 9.9 | 11.1 | 16.8 | 8.6 | 21.6 | 8.7 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1.8
Ipsos | Het Laatste Nieuws, Le Soir, RTL TVi and VTM | 2022-09-07 | 2022-09-13 | N | 1002 | N/A | 0.1 | N/A | N/A | N/A | N/A | N/A | N/A | 18.4 | 22.9 | 22.0 | 13.6 | 9.1 | N/A | 5.6 | N/A | 8.0
Ipsos | Het Laatste Nieuws, Le Soir, RTL TVi and VTM | 2022-09-07 | 2022-09-13 | N | 600 | N/A | 0.1 | N/A | N/A | N/A | N/A | N/A | N/A | 12.7 | 22.7 | 21.2 | 15.8 | 3.8 | N/A | 9.6 | N/A | N/A
Ipsos | Het Laatste Nieuws, Le Soir, RTL TVi and VTM | 2022-06-06 | 2022-06-14 | N | 1008 | N/A | 0.1 | 24.9 | 10.2 | 9.3 | 14.8 | 7.9 | 22.6 | 8.5 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1.8
Ipsos | Het Laatste Nieuws, Le Soir, RTL TVi and VTM | 2022-06-06 | 2022-06-14 | N | 1008 | N/A | 0.1 | N/A | N/A | N/A | N/A | N/A | N/A | 19.1 | 25.3 | 19.2 | 14.4 | 8.8 | N/A | 4.2 | N/A | 9.0
Ipsos | Het Laatste Nieuws, Le Soir, RTL TVi and VTM | 2022-06-06 | 2022-06-14 | N | 536 | N/A | 0.1 | 2.8 | 0.6 | 2.0 | 0.9 | 1.4 | 2.2 | 13.6 | 19.1 | 22.0 | 18.0 | 3.8 | N/A | 10.8 | N/A | 2.8
TNS | De Standaard and VRT | 2022-03-14 | 2022-03-31 | N | 2064 | N/A | 0.1 | 22.4 | 8.7 | 10.2 | 15.5 | 9.4 | 22.9 | 9.1 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1.8
Ipsos | Het Laatste Nieuws, Le Soir, RTL TVi and VTM | 2022-03-15 | 2022-03-22 | N | 1007 | N/A | 0.1 | 23.4 | 11.3 | 9.8 | 14.2 | 8.4 | 22.2 | 8.9 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1.8
Ipsos | Het Laatste Nieuws, Le Soir, RTL TVi and VTM | 2022-03-15 | 2022-03-22 | N | 1009 | N/A | 0.1 | N/A | N/A | N/A | N/A | N/A | N/A | 19.7 | 22.4 | 20.1 | 15.0 | 9.5 | N/A | 3.7 | N/A | 9.4
Ipsos | Het Laatste Nieuws, Le Soir, RTL TVi and VTM | 2022-03-15 | 2022-03-22 | N | 598 | N/A | 0.1 | 3.5 | 0.2 | 1.6 | 1.0 | 3.0 | 2.3 | 16.4 | 15.1 | 19.9 | 20.3 | 4.9 | N/A | 10.8 | N/A | 1.0
Ipsos | Het Laatste Nieuws, Le Soir, RTL TVi and VTM | 2021-12-01 | 2021-12-08 | N | 988 | N/A | 0.1 | 21.6 | 10.7 | 10.3 | 13.9 | 8.4 | 24.5 | 8.9 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1.7
Ipsos | Het Laatste Nieuws, Le Soir, RTL TVi and VTM | 2021-12-01 | 2021-12-08 | N | 961 | N/A | 0.1 | N/A | N/A | N/A | N/A | N/A | N/A | 18.2 | 24.9 | 22.3 | 15.5 | 8.0 | N/A | 4.2 | N/A | 6.9
Ipsos | Het Laatste Nieuws, Le Soir, RTL TVi and VTM | 2021-12-01 | 2021-12-08 | N | 485 | N/A | 0.1 | 3.3 | 1.3 | 2.9 | 0.3 | 0.6 | 3.0 | 15.1 | 15.1 | 17.4 | 19.3 | 5.2 | N/A | 11.3 | N/A | 5.2
Ipsos | Het Laatste Nieuws, Le Soir, RTL TVi and VTM | 2021-09-07 | 2021-09-14 | N | 1000 | N/A | 0.1 | 21.2 | 12.6 | 11.4 | 12.3 | 9.6 | 23.6 | 7.7 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1.6
