Polling Firm | Commissioners | Fieldwork Start | Fieldwork End | Scope | Sample Size | Participation | Precision | GERB | BSPzB | OP | DPS | Volya | RB | DSB | ABV | Da! | DB | Vazrazhdane | VMRO | Ataka | NFSB | ITN | IBG-NI | GERB—SDS | RzB | BP | PP | BV | NDSV | PP–DB | Levitsata! | Other
Маркет ЛИНКС | bTV | 2023-09-26 | 2023-10-08 | N | 1032 | 93.2 | 0.1 | N/A | 9.8 | N/A | 15.2 | N/A | N/A | N/A | N/A | N/A | N/A | 13.6 | N/A | N/A | N/A | 3.4 | N/A | 29.1 | N/A | N/A | N/A | N/A | N/A | 21.6 | N/A | 7.5
Тренд | 24 часа | 2023-09-02 | 2023-09-08 | N | 1002 | 93.5 | 0.1 | N/A | 9.3 | N/A | 14.3 | N/A | N/A | N/A | N/A | N/A | N/A | 17.2 | N/A | N/A | N/A | 4.5 | N/A | 26.6 | N/A | N/A | N/A | 2.2 | N/A | 19.6 | 2.0 | 4.2
Маркет ЛИНКС | bTV | 2023-08-11 | 2023-08-18 | N | 1012 | 97.0 | 0.1 | N/A | 8.6 | N/A | 15.6 | N/A | N/A | N/A | N/A | N/A | N/A | 13.2 | N/A | N/A | N/A | 5.6 | N/A | 27.1 | N/A | N/A | N/A | N/A | N/A | 22.4 | N/A | 7.4
Медиана | N/A | 2023-07-18 | 2023-07-24 | N | 976 | N/A | 0.1 | N/A | 9.9 | N/A | 14.2 | N/A | N/A | N/A | N/A | N/A | N/A | 17.0 | N/A | N/A | N/A | 6.0 | N/A | 25.7 | N/A | N/A | N/A | 2.7 | N/A | 19.9 | 2.3 | 2.2
Тренд | 24 часа | 2023-07-04 | 2023-07-11 | N | 1001 | 93.7 | 0.1 | N/A | 9.2 | N/A | 14.6 | N/A | N/A | N/A | N/A | N/A | N/A | 16.5 | N/A | N/A | N/A | 4.3 | N/A | 26.5 | N/A | N/A | N/A | 1.9 | N/A | 20.4 | 2.0 | 4.6
Gallup International | N/A | 2023-06-29 | 2023-07-09 | N | 809 | N/A | 0.1 | N/A | 9.7 | N/A | 14.5 | N/A | N/A | N/A | N/A | N/A | N/A | 14.9 | N/A | N/A | N/A | 4.3 | N/A | 26.4 | N/A | N/A | N/A | 2.0 | N/A | 21.8 | N/A | 6.4
Център за анализи и маркетинг | N/A | 2023-07-03 | 2023-07-07 | N | 1021 | 95.5 | 0.1 | N/A | 9.4 | N/A | 14.0 | N/A | N/A | N/A | N/A | N/A | N/A | 15.1 | N/A | N/A | N/A | 3.9 | N/A | 27.4 | N/A | N/A | N/A | 1.9 | N/A | 22.4 | 1.9 | 3.9
Маркет ЛИНКС | bTV | 2023-06-22 | 2023-07-02 | N | 1011 | 95.4 | 0.1 | N/A | 9.3 | N/A | 17.8 | N/A | N/A | N/A | N/A | N/A | N/A | 14.5 | N/A | N/A | N/A | 4.0 | N/A | 28.8 | N/A | N/A | N/A | N/A | N/A | 21.9 | N/A | 3.8
Алфа рисърч | N/A | 2023-06-20 | 2023-06-26 | N | 1000 | 96.4 | 0.1 | N/A | 9.1 | N/A | 13.1 | N/A | N/A | N/A | N/A | N/A | N/A | 16.0 | N/A | N/A | N/A | 4.3 | N/A | 26.0 | N/A | N/A | N/A | N/A | N/A | 21.0 | 2.8 | 7.8
Exacta | N/A | 2023-06-12 | 2023-06-20 | N | 1040 | 94.1 | 0.1 | N/A | 10.1 | N/A | 14.0 | N/A | N/A | N/A | N/A | N/A | N/A | 15.7 | N/A | N/A | N/A | 5.1 | N/A | 25.9 | N/A | N/A | N/A | 2.0 | N/A | 21.4 | 1.9 | 3.8
Тренд | 24 часа | 2023-06-10 | 2023-06-16 | N | 1008 | 94.2 | 0.1 | N/A | 9.4 | N/A | 14.3 | N/A | N/A | N/A | N/A | N/A | N/A | 16.2 | N/A | N/A | N/A | 4.6 | N/A | 26.4 | N/A | N/A | N/A | 2.3 | N/A | 20.6 | 2.0 | 3.6
Gallup International | N/A | 2023-04-27 | 2023-05-05 | N | 803 | N/A | 0.1 | N/A | 9.1 | N/A | 13.9 | N/A | N/A | N/A | N/A | N/A | N/A | 14.7 | N/A | N/A | N/A | 4.1 | N/A | 26.8 | N/A | N/A | N/A | 3.2 | N/A | 24.1 | 1.5 | 2.6
Медиана | N/A | 2023-03-17 | 2023-03-22 | N | 978 | N/A | 0.1 | N/A | 8.6 | N/A | 13.2 | N/A | N/A | N/A | N/A | N/A | N/A | 14.5 | N/A | N/A | N/A | 3.4 | N/A | 24.7 | N/A | N/A | N/A | 4.5 | N/A | 23.1 | 4.3 | 3.8
Център за анализи и маркетинг | N/A | 2023-03-16 | 2023-03-19 | N | 1021 | 96.8 | 0.1 | N/A | 8.1 | N/A | 13.8 | N/A | N/A | N/A | N/A | N/A | N/A | 12.5 | N/A | N/A | N/A | 2.9 | N/A | 24.7 | N/A | N/A | N/A | 2.8 | 1.2 | 25.7 | 4.0 | 4.3
