Polling Firm | Commissioners | Fieldwork Start | Fieldwork End | Scope | Sample Size | Participation | Precision | SVP/UDC | SP/PS | FDP/PLR | CVP/PDC | GRÜNE/VERTS | LPS/PLS | EVP/PEV | PDA/PST/POP | EDU/UDF | LEGA | SD/DS | GLP/PVL | CSP/PCS | FPS/PSL | BDP/PBD | MCG | DM/LC | Other
Sotomo | SRG SSR | 2023-09-22 | 2023-10-05 | N | 31850 | N/A | 0.1 | 28.1 | 18.3 | 14.1 | N/A | 9.7 | N/A | 2.1 | N/A | N/A | N/A | N/A | 6.8 | N/A | N/A | N/A | N/A | 14.3 | 6.6
OpinionPlus |   | 2023-09-20 | 2023-09-26 | N | 1623 | N/A | 0.1 | 28.8 | 17.8 | 14.0 | N/A | 10.4 | N/A | 2.2 | N/A | 1.1 | N/A | N/A | 7.2 | N/A | N/A | N/A | N/A | 14.1 | 4.6
LeeWas | Tamedia | 2023-09-19 | 2023-09-20 | N | 29081 | N/A | 0.1 | 28.7 | 17.6 | 13.8 | N/A | 10.5 | N/A | N/A | N/A | N/A | N/A | N/A | 7.5 | N/A | N/A | N/A | N/A | 13.6 | 8.3
50plus1 | blue News | 2023-08-15 | 2023-08-31 | N | 4551 | N/A | 0.1 | 28.9 | 17.3 | 13.1 | N/A | 10.0 | N/A | N/A | N/A | N/A | N/A | N/A | 8.8 | N/A | N/A | N/A | N/A | 14.4 | 7.6
Sotomo | SRG SSR | 2023-08-04 | 2023-08-25 | N | 40889 | N/A | 0.1 | 27.6 | 17.3 | 14.6 | N/A | 10.7 | N/A | 2.1 | N/A | N/A | N/A | N/A | 7.3 | N/A | N/A | N/A | N/A | 14.8 | 5.6
LeeWas | Tamedia | 2023-07-10 | 2023-07-11 | N | 25688 | N/A | 0.1 | 27.9 | 17.3 | 14.3 | N/A | 10.7 | N/A | N/A | N/A | N/A | N/A | N/A | 8.2 | N/A | N/A | N/A | N/A | 13.9 | 7.7
Sotomo | SRG SSR | 2023-06-08 | 2023-06-22 | N | 25216 | N/A | 0.1 | 27.1 | 17.8 | 14.6 | N/A | 10.2 | N/A | 2.1 | N/A | N/A | N/A | N/A | 8.3 | N/A | N/A | N/A | N/A | 14.3 | 5.5
Sotomo | SRG SSR | 2023-02-20 | 2023-03-05 | N | 27058 | N/A | 0.1 | 26.6 | 17.8 | 15.6 | N/A | 10.7 | N/A | 2.1 | N/A | N/A | N/A | N/A | 8.3 | N/A | N/A | N/A | N/A | 13.3 | 5.6
LeeWas | Tamedia | 2023-02-15 | 2023-02-17 | N | 27668 | N/A | 0.1 | 27.5 | 16.9 | 15.4 | N/A | 11.1 | N/A | N/A | N/A | N/A | N/A | N/A | 8.5 | N/A | N/A | N/A | N/A | 13.5 | 7.1
Sotomo | SRG SSR | 2022-09-26 | 2022-10-07 | N | 21038 | N/A | 0.1 | 26.1 | 16.3 | 16.1 | N/A | 11.7 | N/A | 2.1 | N/A | N/A | N/A | N/A | 9.3 | N/A | N/A | N/A | N/A | 13.3 | 5.1
