Polling Firm | Commissioners | Fieldwork Start | Fieldwork End | Scope | Sample Size | Participation | Precision | DISY | AKEL | DIKO | ELAM | EDEK | SYPOL | KOSP | KA | DIPA | AG | Other
IMR/UNic | Reporter | 2024-05-27 | 2024-05-30 | E | 1000 | N/A | 0.1 | 26.2 | 27.8 | 10.4 | 13.5 | 3.3 | N/A | 3.1 | N/A | 2.9 | N/A | 0.6
Cypronetwork | CyBC | 2024-05-22 | 2024-05-28 | E | 1200 | N/A | 0.1 | 28.4 | 27.1 | 12.0 | 13.8 | 3.8 | N/A | 3.8 | N/A | 1.9 | N/A | 1.3
RAI Consultants | Alpha TV | 2024-05-20 | 2024-05-25 | E | 1554 | N/A | 0.1 | 27.3 | 25.2 | 9.3 | 12.5 | 4.4 | N/A | 2.1 | N/A | 2.7 | N/A | 0.3
CYMAR | ANT1 | 2024-05-13 | 2024-05-25 | E | 1500 | N/A | 1 | 26.0 | 24.0 | 12.0 | 13.0 | 5.0 | N/A | 3.0 | N/A | 3.0 | N/A | 4.0
Symmetron | Η Καθημερινή | 2024-05-20 | 2024-05-24 | E | 800 | N/A | 0.1 | 28.6 | 27.1 | 11.4 | 13.4 | 4.1 | N/A | 2.9 | N/A | 4.8 | N/A | 1.6
Prime Consulting | Sigma TV | 2024-05-17 | 2024-05-24 | E | 1090 | N/A | 0.1 | 29.0 | 27.7 | 12.9 | 13.5 | 3.9 | N/A | 3.9 | N/A | 2.6 | N/A | 1.3
Pulse | Omega TV | 2024-05-16 | 2024-05-22 | E | 2000 | N/A | 0.1 | 25.8 | 23.5 | 12.1 | 13.6 | 4.5 | N/A | 3.0 | N/A | 3.0 | N/A | 3.0
Analytica Market Research | Cyprus Times | 2024-05-09 | 2024-05-14 | E | 4190 | N/A | 0.1 | 24.3 | 24.9 | 11.9 | 14.5 | 6.0 | N/A | 3.7 | N/A | 3.5 | N/A | 4.0
Cypronetwork | N/A | 2024-04-10 | 2024-04-22 | E | 1227 | N/A | 0.1 | 29.0 | 27.5 | 12.3 | 15.2 | 3.6 | N/A | 3.6 | N/A | 1.4 | N/A | 0.7
CYMAR | ANT1 | 2024-04-08 | 2024-04-19 | E | 1535 | N/A | 0.1 | 28.1 | 25.0 | 12.5 | 15.6 | 6.3 | N/A | 1.6 | N/A | 1.6 | N/A | 6.3
Prime Consulting | Sigma TV | 2024-03-14 | 2024-03-23 | E | 1086 | N/A | 0.1 | 28.1 | 28.1 | 13.7 | 15.1 | 4.1 | N/A | 2.7 | N/A | 2.7 | N/A | 2.7
Pulse | Φ | 2024-02-20 | 2024-02-26 | E | 600 | N/A | 0.1 | 31.3 | 25.8 | 12.9 | 14.7 | 5.5 | N/A | 3.7 | N/A | 0.5 | N/A | 5.5
Prime Consulting | Sigma TV | 2024-02-12 | 2024-02-16 | E | 1004 | N/A | 0.1 | 29.0 | 27.5 | 11.6 | 14.5 | 4.3 | N/A | 2.9 | N/A | 4.3 | N/A | 2.9
Symmetron | Η Καθημερινή | 2024-02-11 | 2024-02-11 | E | 800 | N/A | 0.1 | 30.7 | 29.0 | 10.9 | 13.7 | 3.8 | N/A | 3.4 | N/A | 3.8 | N/A | 1.6
Interview | Βεργίνα TV | 2024-01-29 | 2024-02-02 | N | N/A | N/A | 0.1 | 31.7 | 31.8 | 9.0 | 15.0 | 2.4 | N/A | 6.8 | N/A | 2.2 | N/A | 1.1
Prime Consulting | N/A | 2024-01-22 | 2024-01-26 | N | 868 | N/A | 0.1 | 26.4 | 26.4 | 11.1 | 13.8 | 4.2 | N/A | 2.8 | N/A | 4.2 | N/A | 11.1
IMR/UNic | Reporter | 2024-01-03 | 2024-01-11 | N | 1000 | 72 | 0.1 | 25.7 | 27.8 | 9.7 | 17.4 | 3.2 | N/A | 4.9 | N/A | 3.3 | N/A | N/A
IMR/UNic | Reporter | 2023-09-18 | 2023-09-22 | N | 1000 | 69.0 | 1 | 26 | 29 | 10 | 17 | 3 | N/A | 6 | N/A | 1 | N/A | N/A
Pulse | Alpha TV | 2021-05-17 | 2021-05-21 | N | 1500 | 70.5 | 0.1 | 25.5 | 23.4 | 12.8 | 7.8 | N/A | N/A | 7.1 | 2.8 | 3.5 | 3.5 | 7.2
Symmetron | Η Καθημερινή | 2021-05-14 | 2021-05-20 | N | 1000 | 73.3 | 0.1 | 25.5 | 23.3 | 12.8 | 6.7 | N/A | N/A | 6.3 | 2.3 | 4.9 | 3.5 | 8.7
Cypronetwork | Omega TV | 2021-05-10 | 2021-05-18 | N | 1602 | 70.9 | 0.1 | 25.2 | 23.4 | 12.4 | 5.9 | N/A | N/A | 6.9 | 3.7 | 3.7 | 5.8 | 5.8
