Polling Firm | Commissioners | Fieldwork Start | Fieldwork End | Scope | Sample Size | Participation | Precision | ANO | Piráti | ODS | SPD | KSČM | SOCDEM | STAN | TOP 09 | KDU-ČSL | Zelení | Svobodní | Trikolóra | SPOLU | Přísaha | SsČR | PRO | Other
Median | N/A | 2023-09-05 | 2023-10-02 | N | 1017 | N/A | 0.5 | 34.0 | 11.5 | 13.0 | 9.5 | 4.5 | 4.0 | 6.5 | 5.5 | 4.0 | 2.0 | N/A | N/A | N/A | N/A | N/A | 2.5 | 3.0
Kantar | CT24 | 2023-09-11 | 2023-09-29 | N | 982 | N/A | 0.5 | 33.5 | 8.5 | 12.0 | 9.5 | 3.0 | 3.5 | 7.5 | 5.0 | 3.5 | 2.0 | 3.0 | N/A | N/A | 4.0 | N/A | 3.0 | 2.0
STEM | CNN Prima News | 2023-09-07 | 2023-09-17 | N | 1123 | N/A | 0.1 | 30.8 | 9.6 | 13.1 | 10.9 | 4.3 | 4.0 | 5.3 | 5.4 | 5.0 | 2.7 | 2.8 | 1.1 | N/A | 3.2 | N/A | 1.2 | 0.6
Median | N/A | 2023-07-01 | 2023-08-08 | N | 1019 | N/A | 0.5 | 33.0 | 12.0 | 15.0 | 8.0 | 3.0 | 5.0 | 6.5 | 5.5 | 4.0 | 1.5 | N/A | N/A | N/A | 3.0 | N/A | 1.5 | 1.5
Median | N/A | 2023-06-12 | 2023-06-30 | N | 1007 | N/A | 0.5 | 35.5 | 11.0 | 14.0 | 10.0 | 2.5 | 4.0 | 5.5 | 5.0 | 2.0 | 2.5 | N/A | 2.5 | N/A | 2.5 | N/A | 1.5 | 1.5
Kantar | CT24 | 2023-05-15 | 2023-06-02 | N | 962 | N/A | 0.5 | 33.5 | 11.5 | 17.0 | 7.0 | 3.5 | 3.0 | 6.5 | 3.5 | 4.0 | 2.0 | N/A | N/A | N/A | 2.5 | N/A | 2.0 | 3.0
Median | N/A | 2023-05-01 | 2023-06-02 | N | 1012 | N/A | 0.5 | 34.5 | 10.5 | 15.0 | 8.5 | 3.5 | 4.0 | 6.0 | 5.5 | 4.0 | N/A | N/A | 2.5 | N/A | 2.0 | N/A | N/A | 4.0
STEM | CNN Prima News | 2023-05-18 | 2023-05-29 | N | 1141 | N/A | 0.1 | 33.5 | 10.8 | 14.6 | 9.3 | 3.8 | 4.1 | 5.8 | 4.7 | 3.4 | 2.3 | 2.2 | 1.4 | N/A | 2.9 | N/A | 1.2 | 0.2
Kantar | CT24 | 2023-04-17 | 2023-05-05 | N | 981 | N/A | 0.5 | 30.5 | 11.0 | 17.0 | 9.0 | 2.5 | 5.5 | 6.0 | 5.0 | 5.0 | 2.0 | N/A | N/A | N/A | 2.5 | N/A | 2.0 | 2.0
Median | N/A | 2023-04-01 | 2023-05-02 | N | 1015 | N/A | 0.5 | 31.0 | 10.5 | 15.0 | 8.5 | 4.0 | 4.0 | 7.5 | 4.5 | 5.5 | 2.0 | N/A | 1.5 | N/A | 2.0 | N/A | N/A | 4.0
