Polling Firm | Commissioners | Fieldwork Start | Fieldwork End | Scope | Sample Size | Participation | Precision | CDU+CSU | SPD | FDP | Linke | Grüne | Piraten | AfD | FW | Other
YouGov | N/A | 2023-09-01 | 2023-09-06 | N | 1833 | N/A | 1 | 29 | 16 | 5 | 5 | 14 | N/A | 23 | N/A | 9
Kantar | N/A | 2023-09-05 | 2023-09-05 | N | 1441 | N/A | 1 | 26 | 17 | 6 | 5 | 15 | N/A | 21 | N/A | 10
Forsa | N/A | 2023-09-04 | 2023-09-04 | N | 2506 | N/A | 1 | 27 | 16 | 7 | 4 | 14 | N/A | 21 | N/A | 11
INSA and YouGov | N/A | 2023-09-01 | 2023-09-04 | N | 2010 | N/A | 0.5 | N/A | 17.5 | 7.5 | 4.5 | 13.5 | N/A | 21.5 | N/A | 9
Ipsos | N/A | 2023-09-01 | 2023-09-03 | N | 2000 | N/A | 1 | 26 | 17 | 8 | 6 | 14 | N/A | 21 | N/A | 8
INSA and YouGov | N/A | 2023-09-01 | 2023-09-01 | N | 1195 | N/A | 1 | 27 | 18 | 7 | 5 | 13 | N/A | 21 | N/A | 9
Infratest dimap | N/A | 2023-08-28 | 2023-08-30 | N | 1310 | N/A | 1 | 29 | 16 | 6 | 4 | 14 | N/A | 22 | N/A | 9
Kantar | N/A | 2023-08-23 | 2023-08-29 | N | 1330 | N/A | 1 | 25 | 18 | 7 | 5 | 15 | N/A | 20 | N/A | 10
INSA and YouGov | N/A | 2023-08-25 | 2023-08-28 | N | 2006 | N/A | 0.5 | N/A | 18 | 7 | 4.5 | 14.5 | N/A | 21 | N/A | 8.5
Forsa | N/A | 2023-08-22 | 2023-08-28 | N | 2504 | N/A | 1 | 26 | 17 | 7 | 4 | 14 | N/A | 21 | N/A | 11
INSA and YouGov | N/A | 2023-08-21 | 2023-08-25 | N | 1285 | N/A | 1 | 27 | 18 | 7 | 5 | 14 | N/A | 21 | N/A | 8
Kantar | N/A | 2023-08-16 | 2023-08-22 | N | 1426 | N/A | 1 | 26 | 18 | 7 | 5 | 14 | N/A | 20 | N/A | 10
INSA and YouGov | N/A | 2023-08-18 | 2023-08-21 | N | 2008 | N/A | 0.5 | N/A | 18.5 | 8 | 5 | 14 | N/A | 20.5 | N/A | 7.5
Forsa | N/A | 2023-08-15 | 2023-08-21 | N | 2506 | 71.0 | 1 | 26 | 18 | 7 | 4 | 14 | N/A | 20 | N/A | 11
INSA and YouGov | N/A | 2023-08-14 | 2023-08-18 | N | 1203 | N/A | 1 | 27 | 18 | 8 | 5 | 14 | N/A | 21 | N/A | 7
Forschungsgruppe Wahlen | N/A | 2023-08-15 | 2023-08-17 | N | 1288 | 74.0 | 1 | 26 | 19 | 7 | 5 | 15 | N/A | 20 | N/A | 8
Infratest dimap | N/A | 2023-08-15 | 2023-08-16 | N | 1216 | N/A | 1 | 27 | 17 | 7 | 4 | 14 | N/A | 21 | N/A | 10
Allensbach | N/A | 2023-08-04 | 2023-08-16 | N | 1026 | N/A | 1 | 29 | 19 | 7 | 5 | 14 | N/A | 19 | N/A | 7
Kantar | N/A | 2023-08-09 | 2023-08-15 | N | 1426 | N/A | 1 | 26 | 18 | 7 | 5 | 15 | N/A | 19 | N/A | 10
INSA and YouGov | N/A | 2023-08-11 | 2023-08-14 | N | 2002 | N/A | 0.5 | 26 | 19.5 | 7 | 4.5 | 13.5 | N/A | 21 | N/A | 8.5
Forsa | N/A | 2023-08-08 | 2023-08-14 | N | 2501 | 72.0 | 1 | 25 | 17 | 7 | 4 | 15 | N/A | 21 | N/A | 11
INSA and YouGov | N/A | 2023-08-07 | 2023-08-11 | N | 1200 | N/A | 1 | 26 | 20 | 7 | 5 | 13 | N/A | 21 | N/A | 8
GMS | N/A | 2023-08-02 | 2023-08-09 | N | 1004 | N/A | 1 | 27 | 17 | 7 | 4 | 14 | N/A | 21 | N/A | 10
Kantar | N/A | 2023-08-02 | 2023-08-08 | N | 1330 | N/A | 1 | 27 | 19 | 6 | 6 | 16 | N/A | 18 | N/A | 8
INSA and YouGov | N/A | 2023-08-04 | 2023-08-07 | N | 2004 | N/A | 0.5 | N/A | 19 | 7.5 | 4.5 | 14.5 | N/A | 20.5 | N/A | 7
Forsa | N/A | 2023-08-01 | 2023-08-07 | N | 2502 | 72.0 | 1 | 25 | 17 | 7 | 4 | 15 | N/A | 21 | N/A | 11
Ipsos | N/A | 2023-08-04 | 2023-08-06 | N | 1000 | N/A | 1 | 26 | 17 | 8 | 5 | 15 | N/A | 22 | N/A | 7
INSA and YouGov | N/A | 2023-08-04 | 2023-08-04 | N | 1203 | N/A | 1 | 27 | 19 | 7 | 5 | 14 | N/A | 21 | N/A | 7
