Polling Firm | Commissioners | Fieldwork Start | Fieldwork End | Scope | Sample Size | Participation | Precision | A | V | O | Ø | B | I | Å | F | C | K | D | E | P | G | M | Q | Æ | Other
Voxmeter | N/A | 2024-08-19 | 2024-08-25 | N | 1004 | N/A | 0.1 | 22.2 | 9.7 | 4.2 | 7.7 | 4.7 | 11.0 | 1.8 | 15.2 | 6.7 | N/A | N/A | N/A | N/A | N/A | 6.0 | N/A | 9.6 | 1.2
Voxmeter | N/A | 2024-08-12 | 2024-08-18 | N | 1003 | N/A | 0.1 | 21.8 | 11.0 | 3.9 | 7.8 | 5.3 | 10.0 | 2.1 | 14.6 | 5.7 | N/A | N/A | N/A | N/A | N/A | 6.6 | N/A | 9.9 | 1.3
Epinion | DR | 2024-08-07 | 2024-08-14 | N | 1972 | N/A | 0.1 | 19.2 | 8.9 | 4.9 | 6.9 | 4.1 | 12.8 | 1.7 | 16.0 | 6.6 | N/A | N/A | N/A | N/A | N/A | 6.3 | N/A | 11.5 | N/A
Voxmeter | N/A | 2024-08-05 | 2024-08-11 | N | 1001 | N/A | 0.1 | 21.3 | 9.7 | 4.8 | 7.9 | 5.5 | 11.0 | 1.7 | 15.1 | 6.0 | N/A | N/A | N/A | N/A | N/A | 6.9 | N/A | 9.4 | 0.7
Voxmeter | N/A | 2024-06-17 | 2024-06-23 | N | 1007 | N/A | 0.1 | 18.4 | 9.7 | 4.6 | 6.4 | 5.4 | 13.1 | 1.7 | 18.8 | 6.0 | N/A | N/A | N/A | N/A | N/A | 6.5 | N/A | 9.0 | 0.4
Voxmeter | N/A | 2024-06-10 | 2024-06-16 | N | 1002 | N/A | 0.1 | 19.4 | 10.3 | 3.5 | 7.6 | 4.3 | 13.5 | 2.4 | 16.9 | 6.1 | N/A | N/A | N/A | N/A | N/A | 6.1 | N/A | 9.4 | 0.5
Verian | Berlingske | 2024-06-09 | 2024-06-14 | N | 1288 | N/A | 0.1 | 16.9 | 9.9 | 4.4 | 6.2 | 5.2 | 13.2 | 1.4 | 17.9 | 6.4 | N/A | N/A | N/A | N/A | N/A | 6.3 | N/A | 10.7 | N/A
Voxmeter | N/A | 2024-06-03 | 2024-06-09 | N | 1009 | N/A | 0.1 | 19.9 | 8.9 | 3.9 | 8.0 | 5.1 | 14.2 | 3.4 | 15.3 | 6.2 | N/A | N/A | N/A | N/A | N/A | 5.3 | N/A | 8.6 | 1.2
Verian | Berlingske | 2024-05-29 | 2024-06-05 | E | 2301 | N/A | 0.1 | 18.9 | 11.5 | 7.0 | 6.4 | 5.4 | 10.5 | 2.0 | 16.6 | 6.8 | N/A | N/A | N/A | N/A | N/A | 5.9 | N/A | 8.8 | N/A
Epinion | Altinget and DR | 2024-05-28 | 2024-06-03 | E | 2085 | N/A | 0.1 | 17.7 | 10.8 | 6.4 | 7.8 | 4.9 | 8.5 | 4.1 | 16.6 | 8.3 | N/A | N/A | N/A | N/A | N/A | 6.0 | N/A | 8.9 | N/A
Epinion | Altinget and DR | 2024-05-28 | 2024-06-03 | N | 1653 | N/A | 0.1 | 19.3 | 7.7 | 4.9 | 8.2 | 4.2 | 13.0 | 3.0 | 14.9 | 6.1 | N/A | N/A | N/A | N/A | N/A | 6.9 | N/A | 10.8 | N/A
Voxmeter | N/A | 2024-05-27 | 2024-06-02 | N | 1001 | N/A | 0.1 | 20.6 | 8.1 | 4.8 | 7.9 | 4.3 | 15.9 | 2.9 | 13.4 | 4.5 | N/A | N/A | N/A | N/A | N/A | 6.2 | N/A | 9.8 | 1.6
Voxmeter | N/A | 2024-05-20 | 2024-05-26 | N | 1009 | N/A | 0.1 | 20.2 | 7.6 | 4.2 | 8.3 | 5.6 | 15.2 | 2.4 | 13.0 | 5.4 | N/A | N/A | N/A | N/A | N/A | 7.4 | N/A | 9.7 | 1.0
Voxmeter | N/A | 2024-05-13 | 2024-05-19 | N | 1003 | N/A | 0.1 | 20.9 | 7.7 | 3.7 | 7.6 | 5.0 | 16.0 | 3.0 | 13.7 | 4.6 | N/A | N/A | N/A | N/A | N/A | 6.7 | N/A | 9.9 | 1.2
Epinion | DR | 2024-05-08 | 2024-05-14 | E | 2025 | N/A | 0.1 | 21.4 | 12.5 | 7.4 | 6.8 | 5.4 | 9.9 | 1.7 | 13.1 | 7.1 | N/A | N/A | N/A | N/A | N/A | 4.0 | N/A | 10.4 | N/A
Epinion | DR | 2024-05-08 | 2024-05-14 | N | 1502 | N/A | 0.1 | 17.8 | 8.7 | 5.5 | 7.4 | 3.6 | 15.6 | 2.4 | 14.6 | 6.4 | N/A | N/A | N/A | N/A | N/A | 4.5 | N/A | 12.0 | N/A
Verian | Berlingske | 2024-05-08 | 2024-05-14 | E | 1565 | N/A | 0.1 | 18.6 | 13.6 | 9.6 | 6.2 | 4.7 | 12.2 | 1.2 | 14.0 | 6.8 | N/A | N/A | N/A | N/A | N/A | 3.9 | N/A | 9.1 | N/A
Voxmeter | N/A | 2024-05-06 | 2024-05-12 | N | 1004 | N/A | 0.1 | 20.3 | 8.1 | 4.3 | 8.8 | 4.2 | 15.5 | 2.6 | 13.8 | 5.5 | N/A | N/A | N/A | N/A | N/A | 5.9 | N/A | 9.7 | N/A
Voxmeter | N/A | 2024-04-29 | 2024-05-05 | N | 1007 | N/A | 0.1 | 21.5 | 8.4 | 3.7 | 9.7 | 4.2 | 16.0 | 2.2 | 13.0 | 5.4 | N/A | N/A | N/A | N/A | N/A | 5.8 | N/A | 9.3 | N/A
Epinion | DR | 2024-04-23 | 2024-04-29 | E | 1938 | N/A | 0.1 | 20.1 | 11.2 | 6.5 | 6.9 | 7.0 | 12.0 | 2.3 | 14.6 | 6.8 | N/A | N/A | N/A | N/A | N/A | 4.5 | N/A | 8.1 | N/A
Epinion | DR | 2024-04-23 | 2024-04-29 | N | 1938 | N/A | 0.1 | 19.2 | 6.5 | 4.9 | 6.9 | 4.7 | 16.3 | 2.7 | 14.7 | 5.9 | N/A | N/A | N/A | N/A | N/A | 5.8 | N/A | 11.6 | N/A
Voxmeter | N/A | 2024-04-22 | 2024-04-28 | N | 1002 | N/A | 0.1 | 21.4 | 8.0 | 4.0 | 7.5 | 5.4 | 15.3 | 2.9 | 13.6 | 4.6 | N/A | N/A | N/A | N/A | N/A | 6.3 | N/A | 9.7 | 1.3
Voxmeter | N/A | 2024-04-15 | 2024-04-21 | N | 1003 | N/A | 0.1 | 21.8 | 8.9 | 2.9 | 6.8 | 4.7 | 14.4 | 2.5 | 14.1 | 4.7 | N/A | N/A | N/A | N/A | N/A | 7.8 | N/A | 10.7 | 0.7
Voxmeter | N/A | 2024-04-08 | 2024-04-14 | N | 1001 | N/A | 0.1 | 23.2 | 8.9 | 2.8 | 7.9 | 5.4 | 14.1 | 2.0 | 13.5 | 5.1 | N/A | N/A | N/A | N/A | N/A | 6.9 | N/A | 9.9 | 0.3
Voxmeter | N/A | 2024-04-01 | 2024-04-07 | N | 1007 | N/A | 0.1 | 22.1 | 9.0 | 3.6 | 7.1 | 5.2 | 12.6 | 2.5 | 15.1 | 5.8 | N/A | N/A | N/A | N/A | N/A | 6.0 | N/A | 10.4 | 0.6
Voxmeter | N/A | 2024-03-25 | 2024-03-31 | N | 1004 | N/A | 0.1 | 20.8 | 9.7 | 3.6 | 7.8 | 4.7 | 13.7 | 2.0 | 14.1 | 6.4 | N/A | N/A | N/A | N/A | N/A | 6.7 | N/A | 9.6 | 0.9
Voxmeter | N/A | 2024-03-18 | 2024-03-25 | N | 1002 | N/A | 0.1 | 19.6 | 9.2 | 3.0 | 8.2 | 4.5 | 13.9 | 2.2 | 15.1 | 6.0 | N/A | N/A | N/A | N/A | N/A | 5.8 | N/A | 10.3 | 2.2
