Polling Firm | Commissioners | Fieldwork Start | Fieldwork End | Scope | Sample Size | Participation | Precision | R | EK | EKRE | SDE | EVA | I | EER | E200 | KALJ | TULE | P | EÜVP | Other
Norstat | MTÜ Ühiskonnauuringute Instituut | 2024-08-19 | 2024-08-25 | N | 1000 | N/A | 0.1 | 19.9 | 11.4 | 11.5 | 18.3 | N/A | 27.3 | 0.8 | 2.9 | N/A | N/A | 4.5 | N/A | 0.1
Kantar Emor | ERR | 2024-08-15 | 2024-08-21 | N | 1528 | N/A | 0.1 | 17.5 | 13.6 | 9.9 | 18.0 | N/A | 23.0 | 1.5 | 3.8 | N/A | N/A | 7.1 | N/A | N/A
Norstat | MTÜ Ühiskonnauuringute Instituut | 2024-08-12 | 2024-08-19 | N | 1000 | N/A | 0.1 | 17.4 | 12.7 | 16.0 | 16.2 | N/A | 27.4 | 1.2 | 2.9 | N/A | N/A | 2.7 | N/A | 3.5
Norstat | MTÜ Ühiskonnauuringute Instituut | 2024-08-05 | 2024-08-11 | N | 1000 | N/A | 0.1 | 20.1 | 12.1 | 11.6 | 17.9 | N/A | 27.1 | 0.6 | 3.3 | N/A | N/A | 6.2 | N/A | 1.1
Turu-uuringute AS | N/A | 2024-08-01 | 2024-08-09 | N | 893 | N/A | 1 | 16 | 12 | 11 | 17 | N/A | 25 | 2 | 3 | N/A | N/A | 6 | 0 | 3
Norstat | MTÜ Ühiskonnauuringute Instituut | 2024-07-23 | 2024-08-04 | N | 1000 | N/A | 0.1 | 16.6 | 11.3 | 13.0 | 18.2 | N/A | 29.7 | 0.9 | 3.2 | N/A | N/A | 5.3 | N/A | 1.8
Norstat | MTÜ Ühiskonnauuringute Instituut | 2024-07-22 | 2024-07-29 | N | 1000 | N/A | 0.1 | 15.2 | 13.0 | 15.0 | 17.8 | N/A | 29.4 | 0.9 | 2.7 | N/A | N/A | 4.5 | N/A | 1.5
Norstat | MTÜ Ühiskonnauuringute Instituut | 2024-07-15 | 2024-07-22 | N | 1000 | N/A | 0.1 | 15.6 | 13.6 | 12.6 | 17.0 | N/A | 30.2 | 1.6 | 2.6 | N/A | N/A | 4.5 | N/A | 2.3
Kantar Emor | ERR | 2024-07-11 | 2024-07-17 | N | 1512 | N/A | 0.1 | 16.0 | 13.8 | 12.6 | 17.1 | N/A | 27.5 | 0.6 | 2.6 | N/A | N/A | 5.4 | 0.4 | N/A
Norstat | MTÜ Ühiskonnauuringute Instituut | 2024-07-08 | 2024-07-12 | N | 1000 | N/A | 0.1 | 19.4 | 12.5 | 11.2 | 16.4 | N/A | 30.3 | 0.5 | 3.8 | N/A | N/A | 3.8 | N/A | 2.3
Norstat | MTÜ Ühiskonnauuringute Instituut | 2024-07-01 | 2024-07-05 | N | 1000 | N/A | 0.1 | 15.2 | 12.2 | 11.0 | 15.4 | N/A | 33.7 | 1.9 | 3.3 | N/A | N/A | 5.8 | N/A | 1.5
Norstat | MTÜ Ühiskonnauuringute Instituut | 2024-06-17 | 2024-06-24 | N | 1000 | N/A | 0.1 | 16.4 | 13.6 | 13.0 | 16.1 | N/A | 30.0 | 1.2 | 3.7 | N/A | N/A | 4.7 | N/A | 1.3
Kantar Emor | ERR | 2024-06-10 | 2024-06-17 | N | 1557 | N/A | 0.1 | 16.0 | 14.1 | 12.8 | 17.5 | N/A | 27.1 | 1.2 | 2.6 | N/A | N/A | 8.4 | 0.4 | N/A
Norstat | MTÜ Ühiskonnauuringute Instituut | 2024-06-10 | 2024-06-17 | N | 1000 | N/A | 0.1 | 15.6 | 12.5 | 11.8 | 17.8 | N/A | 30.5 | 1.3 | 2.4 | N/A | N/A | 6.1 | N/A | 2.0
Turu-uuringute AS | N/A | 2024-06-01 | 2024-06-11 | N | 889 | N/A | 1 | 20 | 11 | 15 | 17 | N/A | 23 | 1 | 4 | N/A | N/A | 5 | 0 | 2
Norstat | MTÜ Ühiskonnauuringute Instituut | 2024-06-03 | 2024-06-10 | N | 1000 | N/A | 0.1 | 17.8 | 10.0 | 16.3 | 14.1 | N/A | 29.6 | 0.8 | 2.9 | N/A | N/A | 6.9 | N/A | 1.6
Norstat | MTÜ Ühiskonnauuringute Instituut | 2024-05-27 | 2024-06-01 | N | 1000 | N/A | 0.1 | 19.3 | 10.0 | 13.6 | 14.2 | N/A | 29.0 | 0.7 | 5.6 | N/A | N/A | 5.9 | N/A | 1.7
Norstat | MTÜ Ühiskonnauuringute Instituut | 2024-05-20 | 2024-05-27 | N | 1000 | N/A | 0.1 | 19.4 | 13.3 | 17.6 | 16.2 | N/A | 23.5 | 0.6 | 5.3 | N/A | N/A | 2.8 | N/A | 1.3
Turu-uuringute AS | N/A | 2024-05-09 | 2024-05-21 | N | 897 | N/A | 1 | 17 | 8 | 16 | 19 | N/A | 22 | 2 | 6 | N/A | N/A | 5 | 0 | 3
