Polling Firm | Commissioners | Fieldwork Start | Fieldwork End | Scope | Sample Size | Participation | Precision | PP | PSOE | Cs | UP | ERC | Junts | EAJ-PNV | PACMA | EH Bildu | AUN | BNG | Vox | AR | CEUS | PE | Compromís | Sumar | Podemos | CUP | UPN | PRC | EV | Other
CIS | N/A | 2023-10-31 | 2023-11-06 | N | 4090 | N/A | 0.1 | 33.9 | 31.3 | N/A | N/A | 1.9 | 1.4 | 0.9 | N/A | 1.3 | 0.4 | 0.7 | 10.0 | N/A | N/A | N/A | N/A | 11.8 | N/A | N/A | 0.1 | N/A | N/A | N/A
NC Report | La Razón | 2023-10-31 | 2023-11-04 | N | 1000 | 65.0 | 0.1 | 35.8 | 31.0 | N/A | N/A | 1.8 | 1.8 | 1.0 | N/A | 1.4 | N/A | 0.6 | 11.2 | N/A | N/A | N/A | N/A | 11.0 | N/A | N/A | 0.2 | N/A | N/A | N/A
Sigma Dos | El Mundo | 2023-10-30 | 2023-11-03 | N | 1788 | N/A | 0.1 | 36.7 | 31.2 | N/A | N/A | 1.9 | 1.5 | 1.1 | N/A | 1.2 | 0.5 | 0.6 | 10.9 | N/A | N/A | N/A | N/A | 11.2 | N/A | N/A | 0.2 | N/A | N/A | N/A
GAD3 | ABC | 2023-10-30 | 2023-11-03 | N | 1001 | N/A | 0.1 | 35.5 | 29.7 | N/A | N/A | 1.8 | 2.0 | 1.1 | N/A | 1.4 | N/A | 0.7 | 11.6 | N/A | N/A | N/A | N/A | 12.0 | N/A | N/A | N/A | N/A | N/A | N/A
Invymark | laSexta | 2023-10-30 | 2023-11-03 | N | N/A | N/A | 0.1 | 37.2 | 31.1 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 9.5 | N/A | N/A | N/A | N/A | 9.9 | N/A | N/A | N/A | N/A | N/A | N/A
40dB | Prisa | 2023-10-27 | 2023-10-30 | N | 2000 | N/A | 0.1 | 34.7 | 31.2 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 11.2 | N/A | N/A | N/A | N/A | 11.7 | N/A | N/A | N/A | N/A | N/A | N/A
SocioMétrica | El Español | 2023-10-25 | 2023-10-27 | N | 2600 | N/A | 0.1 | 37.8 | 30.2 | N/A | N/A | 1.1 | 2.1 | 1.0 | N/A | 1.6 | 0.3 | 0.6 | 11.0 | N/A | N/A | N/A | N/A | 11.0 | N/A | N/A | 0.3 | N/A | N/A | N/A
Hamalgama Métrica | VozPópuli | 2023-10-20 | 2023-10-26 | N | 1000 | N/A | 0.1 | 35.6 | 31.3 | N/A | N/A | 1.7 | 1.7 | 1.1 | N/A | 1.3 | 0.4 | 0.7 | 12.1 | N/A | N/A | N/A | N/A | 11.2 | N/A | N/A | 0.2 | N/A | N/A | N/A
DYM | Henneo | 2023-10-18 | 2023-10-22 | N | 1035 | N/A | 0.1 | 34.9 | 32.6 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 12.4 | N/A | N/A | N/A | N/A | 10.3 | N/A | N/A | N/A | N/A | N/A | N/A
Invymark | laSexta | 2023-10-16 | 2023-10-20 | N | N/A | N/A | 0.1 | 34.7 | 32.6 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 10.1 | N/A | N/A | N/A | N/A | 10.2 | N/A | N/A | N/A | N/A | N/A | N/A
Simple Lógica | elDiario.es | 2023-10-02 | 2023-10-10 | N | 1010 | 69.4 | 0.1 | 34.1 | 32.3 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 10.7 | N/A | N/A | N/A | N/A | 12.0 | N/A | N/A | N/A | N/A | N/A | N/A
CIS | N/A | 2023-10-02 | 2023-10-06 | N | 4031 | N/A | 0.1 | 32.2 | 32.6 | N/A | N/A | 1.9 | 1.3 | 0.8 | N/A | 0.9 | 0.1 | 0.8 | 10.1 | N/A | N/A | N/A | N/A | 12.7 | N/A | N/A | 0.1 | N/A | N/A | N/A
Target Point | El Debate | 2023-10-02 | 2023-10-04 | N | 1003 | N/A | 0.1 | 34.5 | 30.8 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 11.9 | N/A | N/A | N/A | N/A | 11.8 | N/A | N/A | N/A | N/A | N/A | N/A
40dB | Prisa | 2023-09-29 | 2023-10-02 | N | 2000 | N/A | 0.1 | 34.2 | 32.1 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 11.7 | N/A | N/A | N/A | N/A | 11.1 | N/A | N/A | N/A | N/A | N/A | N/A
Sigma Dos | El Mundo | 2023-09-25 | 2023-09-28 | N | 2120 | N/A | 0.1 | 36.1 | 30.8 | N/A | N/A | 1.8 | 1.6 | 1.0 | N/A | 1.2 | 0.5 | 0.6 | 11.3 | N/A | N/A | N/A | N/A | 12.5 | N/A | N/A | 0.2 | N/A | N/A | N/A
SocioMétrica | El Español | 2023-09-21 | 2023-09-23 | N | 1429 | N/A | 0.1 | 37.0 | 30.9 | N/A | N/A | 1.4 | 1.9 | 0.9 | N/A | 1.5 | 0.4 | 0.6 | 11.6 | N/A | N/A | N/A | N/A | 10.8 | N/A | N/A | 0.3 | N/A | N/A | N/A
Hamalgama Métrica | VozPópuli | 2023-09-15 | 2023-09-21 | N | 1000 | N/A | 0.1 | 35.4 | 30.9 | N/A | N/A | 1.6 | 1.7 | 1.0 | N/A | 1.4 | 0.4 | 0.7 | 11.9 | N/A | N/A | N/A | N/A | 11.5 | N/A | N/A | 0.2 | N/A | N/A | N/A
