Polling Firm | Commissioners | Fieldwork Start | Fieldwork End | Scope | Sample Size | Participation | Precision | Kok | SDP | Kesk | Vihr | Vas | PS | SFP | KD | Korj | Liik | VKK | Other
Taloustutkimus | Yle | 2023-11-29 | 2024-01-02 | N | 2581 | 72.4 | 0.1 | 22.9 | 21.0 | 10.1 | 7.7 | 8.6 | 17.6 | 3.9 | 4.1 | N/A | 2.1 | N/A | 2.0
Kantar TNS | Helsingin Sanomat | 2023-11-06 | 2023-12-10 | N | 2622 | 74.0 | 0.1 | 21.4 | 20.8 | 9.9 | 8.5 | 9.1 | 17.9 | 4.1 | 4.0 | N/A | 2.2 | N/A | 2.1
Taloustutkimus | Yle | 2023-11-01 | 2023-11-28 | N | 2535 | 77.3 | 0.1 | 22.6 | 22.3 | 10.5 | 8.4 | 8.6 | 17.0 | 3.5 | 3.6 | N/A | 1.9 | N/A | 1.6
Kantar TNS | Helsingin Sanomat | 2023-10-09 | 2023-11-03 | N | 2388 | 73.0 | 0.1 | 20.6 | 21.5 | 10.2 | 8.8 | 9.1 | 17.2 | 4.1 | 3.9 | N/A | 2.1 | N/A | 2.5
Taloustutkimus | Yle | 2023-10-04 | 2023-10-31 | N | 2395 | 75.2 | 0.1 | 20.2 | 23.5 | 10.4 | 8.7 | 8.5 | 17.3 | 4.2 | 3.4 | N/A | 2.2 | N/A | 1.6
Kantar TNS | Helsingin Sanomat | 2023-09-11 | 2023-10-06 | N | 2428 | 73.0 | 0.1 | 21.0 | 20.7 | 10.1 | 8.4 | 9.1 | 18.0 | 4.2 | 4.0 | N/A | 1.8 | N/A | 2.7
Taloustutkimus | Yle | 2023-09-06 | 2023-10-03 | N | 2490 | 75.4 | 0.1 | 21.5 | 20.8 | 10.7 | 9.1 | 9.8 | 17.5 | 4.0 | 3.7 | N/A | 1.2 | N/A | 1.7
Kantar TNS | Helsingin Sanomat | 2023-08-14 | 2023-09-08 | N | 2456 | 73.0 | 0.1 | 21.0 | 21.6 | 9.8 | 8.6 | 8.3 | 18.4 | 4.2 | 4.1 | N/A | 1.8 | N/A | 2.2
Taloustutkimus | Yle | 2023-08-02 | 2023-09-05 | N | 2459 | 72.2 | 0.1 | 21.2 | 21.4 | 11.5 | 7.7 | 8.0 | 18.5 | 4.4 | 4.0 | N/A | 1.3 | N/A | 2.0
Kantar TNS | Helsingin Sanomat | 2023-07-17 | 2023-08-11 | N | 2460 | 76.0 | 0.1 | 21.4 | 21.5 | 9.5 | 8.1 | 8.0 | 19.0 | 4.4 | 3.7 | N/A | 2.0 | N/A | 2.4
Taloustutkimus | Yle | 2023-07-05 | 2023-08-01 | N | 2509 | 78.2 | 0.1 | 19.8 | 22.8 | 10.7 | 8.0 | 8.5 | 19.2 | 3.9 | 4.0 | N/A | 1.4 | N/A | 1.7
Kantar TNS | Helsingin Sanomat | 2023-06-19 | 2023-07-15 | N | 2486 | 73.0 | 0.1 | 22.0 | 19.4 | 9.8 | 8.0 | 8.1 | 19.8 | 4.5 | 3.9 | N/A | 2.1 | N/A | 2.4
Taloustutkimus | Yle | 2023-06-12 | 2023-07-04 | N | 2468 | 77.4 | 0.1 | 22.1 | 20.6 | 10.0 | 8.6 | 7.8 | 20.2 | 4.1 | 3.8 | N/A | 1.2 | N/A | 1.6
Kantar TNS | Helsingin Sanomat | 2023-05-15 | 2023-06-15 | N | 2754 | 76.0 | 0.1 | 21.3 | 19.2 | 10.2 | 7.7 | 8.0 | 20.9 | 4.4 | 4.0 | N/A | 2.0 | N/A | 2.3
Taloustutkimus | Yle | 2023-05-03 | 2023-06-06 | N | 2776 | 76.5 | 0.1 | 22.5 | 19.6 | 9.7 | 7.3 | 7.5 | 21.0 | 4.5 | 4.0 | N/A | 1.7 | N/A | 2.2
Kantar TNS | Helsingin Sanomat | 2023-04-03 | 2023-05-12 | N | 2860 | 78.0 | 0.1 | 21.4 | 19.0 | 10.1 | 7.7 | 7.8 | 21.0 | 4.5 | 4.1 | N/A | 1.9 | N/A | 2.5
Taloustutkimus | Yle | 2023-04-03 | 2023-05-02 | N | 2594 | 80.9 | 0.1 | 21.6 | 19.9 | 10.2 | 7.5 | 7.5 | 20.6 | 4.1 | 4.3 | N/A | 2.0 | N/A | 2.3
Taloustutkimus | Yle | 2023-03-01 | 2023-03-28 | N | 2533 | 72.2 | 0.1 | 19.8 | 18.7 | 10.7 | 9.0 | 8.7 | 19.5 | 4.1 | 4.4 | N/A | 1.8 | N/A | 3.3
Kantar TNS | Helsingin Sanomat | 2023-03-09 | 2023-03-23 | N | 2002 | 65.0 | 0.1 | 19.8 | 19.2 | 11.4 | 8.4 | 8.3 | 19.2 | 4.5 | 4.0 | N/A | 1.9 | N/A | 3.3
Kantar TNS | Helsingin Sanomat | 2023-02-13 | 2023-03-17 | N | 2584 | 71.0 | 0.1 | 20.8 | 19.3 | 10.7 | 8.3 | 8.2 | 19.3 | 4.5 | 4.0 | N/A | 2.2 | N/A | 2.7
Taloustutkimus | Yle | 2023-02-06 | 2023-02-28 | N | 2459 | 69.6 | 0.1 | 20.8 | 19.9 | 9.5 | 8.9 | 9.0 | 19.0 | 4.4 | 3.6 | N/A | 1.5 | N/A | 3.4
Kantar TNS | Helsingin Sanomat | 2023-01-16 | 2023-02-10 | N | 2412 | 68.0 | 0.1 | 21.3 | 19.2 | 9.6 | 9.4 | 8.0 | 20.0 | 4.4 | 3.9 | N/A | 2.0 | N/A | 2.2
Taloustutkimus | Yle | 2023-01-09 | 2023-01-31 | N | 2466 | 69.9 | 0.1 | 21.6 | 19.1 | 10.1 | 10.3 | 7.6 | 18.4 | 4.4 | 4.0 | N/A | 1.8 | N/A | 2.7
Kantar TNS | Helsingin Sanomat | 2022-12-19 | 2023-01-13 | N | 2420 | 66.0 | 0.1 | 22.8 | 18.5 | 9.8 | 9.2 | 7.8 | 19.1 | 4.4 | 3.9 | N/A | 2.2 | N/A | 2.3
Taloustutkimus | Yle | 2022-12-07 | 2023-01-03 | N | 2953 | 71.2 | 0.1 | 23.0 | 18.8 | 10.9 | 9.6 | 8.6 | 19.3 | 4.0 | 2.9 | N/A | 1.3 | N/A | 1.6
Kantar TNS | Helsingin Sanomat | 2022-11-14 | 2022-12-16 | N | 2512 | 72.0 | 0.1 | 23.5 | 19.1 | 9.9 | 9.8 | 8.0 | 17.9 | 4.3 | 3.4 | N/A | 1.8 | N/A | 2.3
