Polling Firm | Commissioners | Fieldwork Start | Fieldwork End | Scope | Sample Size | Participation | Precision | Ensemble | RN | LFI | LR | PS | DLF | LÉ | UDI | Agir | PCF | LP | UPR | NPA | G·s | RES | LO | GJ | REC | Other
Ipsos |   | 2024-06-27 | 2024-06-28 | N | 10286 | N/A | 1 | 20.0 | 32.0 | N/A | 8.0 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 2.0 | N/A
Harris Interactive |   | 2024-06-27 | 2024-06-28 | N | 2182 | N/A | 1 | 20.0 | 34.0 | N/A | 2.0 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 2.0 | N/A
Ifop |   | 2024-06-25 | 2024-06-28 | N | 2824 | N/A | 0.5 | 20.5 | 36.5 | N/A | 7.0 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 3.0 | N/A
Odoxa |   | 2024-06-26 | 2024-06-27 | N | 1896 | N/A | 0.5 | 21.0 | 35.0 | N/A | 2.0 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 2.5 | N/A
Elabe |   | 2024-06-26 | 2024-06-27 | N | 1871 | N/A | 1 | 20.0 | 36.0 | N/A | 9.0 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 2.0 | N/A
OpinionWay |   | 2024-06-26 | 2024-06-27 | N | 1058 | N/A | 1 | 20.0 | 37.0 | N/A | 2.0 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 4.0 | N/A
Cluster17 |   | 2024-06-25 | 2024-06-27 | N | 2465 | N/A | 0.5 | 20.0 | 31.0 | N/A | 7.5 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1.5 | N/A
Ifop |   | 2024-06-24 | 2024-06-27 | N | 2823 | N/A | 0.5 | 21.0 | 36.0 | N/A | 6.5 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 3.5 | N/A
Harris Interactive |   | 2024-06-25 | 2024-06-26 | N | 2014 | N/A | 0.5 | 21.0 | 34.0 | N/A | 2.0 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 2.5 | N/A
OpinionWay |   | 2024-06-25 | 2024-06-26 | N | 1035 | N/A | 1 | 20.0 | 36.0 | N/A | 2.0 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 2.0 | N/A
Ifop |   | 2024-06-22 | 2024-06-26 | N | 2343 | N/A | 0.5 | 21.0 | 36.0 | N/A | 6.0 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 4.5 | N/A
Ifop–Fiducial | LCI, Le Figaro and Sud Radio | 2024-06-21 | 2024-06-25 | N | 2335 | N/A | 0.5 | 21 | 36 | N/A | 6.5 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1.5 | N/A
Cluster17 | Le Point | 2024-06-22 | 2024-06-24 | N | 2470 | N/A | 0.5 | 19.5 | 30.5 | N/A | 7.5 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1.5 | N/A
Harris Interactive | Challenges, M6 and RTL | 2024-06-21 | 2024-06-24 | N | 2004 | N/A | 1 | 20 | 33 | N/A | 7 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 2 | N/A
Ifop–Fiducial | LCI, Le Figaro and Sud Radio | 2024-06-20 | 2024-06-24 | N | 1843 | N/A | 0.5 | 20.5 | 36 | N/A | 7 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1 | N/A
Ifop–Fiducial | LCI, Le Figaro and Sud Radio | 2024-06-19 | 2024-06-22 | N | 1853 | N/A | 0.5 | 21 | 35.5 | N/A | 7 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1 | N/A
