Polling Firm | Commissioners | Fieldwork Start | Fieldwork End | Scope | Sample Size | Participation | Precision | Lab | Con | Lib Dems | SNP | Plaid | UKIP | GPEW | SGP | Reform UK | Change UK | Other
We Think | N/A | 2023-09-21 | 2023-09-22 | N | 1268 | N/A | 1 | 45 | 28 | 9 | 3 | N/A | N/A | N/A | N/A | 6 | N/A | N/A
Techne UK | N/A | 2023-09-20 | 2023-09-21 | N | 1636 | N/A | 1 | 45 | 26 | 11 | 3 | N/A | N/A | N/A | N/A | 5 | N/A | 3
More in Common | N/A | 2023-09-18 | 2023-09-20 | N | 1355 | N/A | 1 | 43 | 28 | 12 | 3 | N/A | N/A | N/A | N/A | 7 | N/A | 0
Redfield & Wilton Strategies | N/A | 2023-09-17 | 2023-09-17 | N | 2000 | N/A | 1 | 44 | 26 | 14 | 3 | N/A | N/A | N/A | N/A | 6 | N/A | 1
Savanta | N/A | 2023-09-15 | 2023-09-17 | N | 2255 | N/A | 1 | 46 | 26 | 12 | 3 | N/A | N/A | N/A | N/A | 5 | N/A | 5
We Think | N/A | 2023-09-14 | 2023-09-15 | N | 1268 | N/A | 1 | 44 | 27 | 11 | 3 | N/A | N/A | N/A | N/A | 7 | N/A | N/A
Opinium | The Observer | 2023-09-13 | 2023-09-15 | N | 1414 | N/A | 1 | 41 | 26 | 11 | 3 | N/A | N/A | N/A | N/A | 8 | N/A | 2
Deltapoll | N/A | 2023-09-11 | 2023-09-15 | N | 2039 | N/A | 1 | 47 | 23 | 10 | 4 | 1 | 1 | N/A | N/A | 6 | N/A | 1
Techne UK | N/A | 2023-09-13 | 2023-09-14 | N | 1634 | N/A | 1 | 46 | 26 | 10 | 3 | N/A | N/A | N/A | N/A | 6 | N/A | 3
Ipsos MORI | N/A | 2023-09-09 | 2023-09-12 | N | 1004 | N/A | 1 | 44 | 24 | 12 | 4 | N/A | N/A | N/A | N/A | 4 | N/A | 3
Redfield & Wilton Strategies | N/A | 2023-09-10 | 2023-09-10 | N | 2000 | N/A | 1 | 45 | 25 | 12 | 4 | N/A | N/A | N/A | N/A | 6 | N/A | 1
YouGov | The Times | 2023-09-07 | 2023-09-08 | N | 2107 | N/A | 1 | 46 | 24 | 10 | 4 | N/A | N/A | N/A | N/A | 6 | N/A | 2
We Think | N/A | 2023-09-07 | 2023-09-08 | N | 1268 | N/A | 1 | 46 | 26 | 9 | 3 | N/A | N/A | N/A | N/A | 6 | N/A | N/A
Techne UK | N/A | 2023-09-06 | 2023-09-07 | N | 1627 | N/A | 1 | 46 | 25 | 10 | 3 | N/A | N/A | N/A | N/A | 7 | N/A | 3
Kantar | N/A | 2023-09-04 | 2023-09-04 | N | N/A | N/A | 1 | 43 | 27 | 13 | 5 | N/A | N/A | N/A | N/A | 4 | N/A | N/A
Deltapoll | N/A | 2023-09-01 | 2023-09-04 | N | 2009 | N/A | 1 | 46 | 28 | 10 | 3 | 1 | 1 | N/A | N/A | 7 | N/A | 0
Redfield & Wilton Strategies | N/A | 2023-09-03 | 2023-09-03 | N | 2000 | N/A | 1 | 44 | 28 | 14 | 3 | N/A | N/A | N/A | N/A | 6 | N/A | 1
Savanta | N/A | 2023-09-01 | 2023-09-03 | N | 2223 | N/A | 1 | 45 | 29 | 10 | 3 | N/A | N/A | N/A | N/A | 6 | N/A | 5
Opinium | The Observer | 2023-09-01 | 2023-09-01 | N | 1400 | N/A | 1 | 42 | 28 | 9 | 3 | N/A | N/A | N/A | N/A | 8 | N/A | 2
We Think | N/A | 2023-09-01 | 2023-09-01 | N | 1294 | N/A | 1 | 46 | 25 | 11 | 3 | N/A | N/A | N/A | N/A | 7 | N/A | N/A
Techne UK | N/A | 2023-08-30 | 2023-08-31 | N | 1633 | N/A | 1 | 45 | 24 | 11 | 3 | N/A | N/A | N/A | N/A | 8 | N/A | 3
YouGov | The Times | 2023-08-30 | 2023-08-31 | N | N/A | N/A | 1 | 44 | 26 | 10 | 4 | N/A | N/A | N/A | N/A | 7 | N/A | 2
Redfield & Wilton Strategies | N/A | 2023-08-27 | 2023-08-27 | N | 2000 | N/A | 1 | 44 | 28 | 12 | 3 | N/A | N/A | N/A | N/A | 7 | N/A | 3
Savanta | N/A | 2023-08-25 | 2023-08-27 | N | 2159 | N/A | 1 | 46 | 29 | 10 | 3 | N/A | N/A | N/A | N/A | 5 | N/A | 3
Deltapoll | N/A | 2023-08-24 | 2023-08-25 | N | 1061 | N/A | 1 | 46 | 30 | 12 | 3 | 0 | 1 | N/A | N/A | 5 | N/A | 1
We Think | N/A | 2023-08-23 | 2023-08-24 | N | 1356 | N/A | 1 | 47 | 26 | 11 | 3 | N/A | N/A | N/A | N/A | 6 | N/A | N/A
YouGov | The Times | 2023-08-22 | 2023-08-23 | N | 2106 | N/A | 1 | 44 | 24 | 9 | 3 | 1 | N/A | N/A | N/A | 9 | N/A | 2
BMG Research | The i | 2023-08-22 | 2023-08-23 | N | 1338 | N/A | 1 | 44 | 29 | 10 | 3 | N/A | N/A | N/A | N/A | 8 | N/A | 1
Deltapoll | Mail on Sunday | 2023-08-17 | 2023-08-21 | N | 1520 | N/A | 1 | 50 | 25 | 9 | 3 | N/A | N/A | N/A | N/A | 4 | N/A | 2
Redfield & Wilton Strategies | N/A | 2023-08-20 | 2023-08-20 | N | 2000 | N/A | 1 | 42 | 27 | 13 | 3 | N/A | N/A | N/A | N/A | 7 | N/A | 1
Omnisis | N/A | 2023-08-18 | 2023-08-18 | N | 1315 | N/A | 1 | 44 | 28 | 10 | 3 | N/A | N/A | N/A | N/A | 6 | N/A | 3
YouGov | The Times | 2023-08-17 | 2023-08-18 | N | 2122 | N/A | 1 | 45 | 26 | 10 | 3 | 1 | N/A | N/A | N/A | 7 | N/A | 1
Opinium | The Observer | 2023-08-16 | 2023-08-18 | N | 1452 | N/A | 1 | 41 | 26 | 11 | 3 | N/A | N/A | N/A | N/A | 9 | N/A | 3
More in Common | N/A | 2023-08-14 | 2023-08-16 | N | 2052 | N/A | 1 | 44 | 29 | 11 | 4 | N/A | N/A | N/A | N/A | 6 | N/A | 0
Redfield & Wilton Strategies | N/A | 2023-08-13 | 2023-08-13 | N | 2000 | N/A | 1 | 48 | 28 | 10 | 4 | N/A | N/A | N/A | N/A | 5 | N/A | 0
Omnisis | N/A | 2023-08-10 | 2023-08-11 | N | 1345 | N/A | 1 | 48 | 24 | 10 | 3 | N/A | N/A | N/A | N/A | 6 | N/A | 3
Deltapoll | Mail on Sunday | 2023-08-09 | 2023-08-11 | N | 1504 | N/A | 1 | 46 | 29 | 12 | 2 | N/A | N/A | N/A | N/A | 4 | N/A | 2
Deltapoll | N/A | 2023-08-04 | 2023-08-07 | N | 1023 | N/A | 1 | 47 | 26 | 12 | 3 | N/A | N/A | N/A | N/A | 4 | N/A | 4
Redfield & Wilton Strategies | N/A | 2023-08-06 | 2023-08-06 | N | 2000 | N/A | 1 | 45 | 27 | 10 | 3 | N/A | N/A | N/A | N/A | 8 | N/A | 1
Omnisis | N/A | 2023-08-03 | 2023-08-04 | N | 1420 | N/A | 1 | 47 | 25 | 11 | 3 | N/A | N/A | N/A | N/A | 7 | N/A | 2
Opinium | The Observer | 2023-08-02 | 2023-08-04 | N | 1484 | N/A | 1 | 40 | 26 | 10 | 3 | N/A | N/A | N/A | N/A | 10 | N/A | 2
YouGov | The Times | 2023-08-02 | 2023-08-03 | N | 2313 | N/A | 1 | 47 | 25 | 10 | 3 | 1 | N/A | N/A | N/A | 7 | N/A | 1
Techne UK | N/A | 2023-08-02 | 2023-08-03 | N | 1624 | N/A | 1 | 46 | 26 | 10 | 3 | N/A | N/A | N/A | N/A | 7 | N/A | 3
Deltapoll | N/A | 2023-07-28 | 2023-07-31 | N | 1556 | N/A | 1 | 48 | 25 | 11 | 3 | N/A | N/A | N/A | N/A | 6 | N/A | 1
Redfield & Wilton Strategies | N/A | 2023-07-30 | 2023-07-30 | N | 2000 | N/A | 1 | 43 | 28 | 11 | 4 | N/A | N/A | N/A | N/A | 7 | N/A | 3
Omnisis | N/A | 2023-07-28 | 2023-07-28 | N | 1339 | N/A | 1 | 48 | 25 | 10 | 3 | N/A | N/A | N/A | N/A | 6 | N/A | 2
Techne UK | N/A | 2023-07-26 | 2023-07-27 | N | 1624 | N/A | 1 | 45 | 25 | 10 | 3 | N/A | N/A | N/A | N/A | 8 | N/A | 3
YouGov | The Times | 2023-07-25 | 2023-07-26 | N | 2000 | N/A | 1 | 45 | 25 | 10 | 3 | 0 | N/A | N/A | N/A | 7 | N/A | 2
BMG Research | The i | 2023-07-25 | 2023-07-26 | N | 1524 | N/A | 1 | 44 | 27 | 14 | 3 | N/A | N/A | N/A | N/A | 7 | N/A | N/A
Deltapoll | N/A | 2023-07-21 | 2023-07-24 | N | 1482 | N/A | 1 | 49 | 26 | 9 | 3 | N/A | N/A | N/A | N/A | 4 | N/A | 4
Redfield & Wilton Strategies | N/A | 2023-07-23 | 2023-07-23 | N | 2000 | N/A | 1 | 45 | 28 | 14 | 2 | N/A | N/A | N/A | N/A | 6 | N/A | 1
Savanta | N/A | 2023-07-21 | 2023-07-23 | N | 2240 | N/A | 1 | 47 | 28 | 10 | 3 | N/A | N/A | N/A | N/A | 4 | N/A | 5
Ipsos MORI | Evening Standard | 2023-07-19 | 2023-07-23 | N | 1065 | N/A | 1 | 45 | 28 | 12 | 3 | 1 | N/A | N/A | N/A | 3 | N/A | 2
Omnisis | N/A | 2023-07-20 | 2023-07-21 | N | 1380 | N/A | 1 | 47 | 25 | 10 | 3 | N/A | N/A | N/A | N/A | 7 | N/A | 3
Opinium | The Observer | 2023-07-19 | 2023-07-21 | N | 1468 | N/A | 1 | 42 | 25 | 11 | 3 | N/A | N/A | N/A | N/A | 10 | N/A | 3
