Polling Firm | Commissioners | Fieldwork Start | Fieldwork End | Scope | Sample Size | Participation | Precision | GD | UNM | APG | SLP | Lelo | EG | DM | Girchi | Citizens | SB | DMUG | For Georgia | FTP | Droa! | Girchi-MF | CM/AI | PP | Unity | Other
GORBI | Imedi TV | 2024-07-24 | 2024-08-04 | N | 1700 | N/A | 0.1 | 59.3 | N/A | N/A | N/A | N/A | 2.2 | N/A | 2.1 | N/A | N/A | N/A | 4.8 | N/A | N/A | N/A | N/A | N/A | 13.1 | 4.2
Edison Research | Formula TV | 2024-07-11 | 2024-07-24 | N | 1000 | N/A | 0.1 | 32.4 | N/A | 2.6 | 3.3 | N/A | 1.9 | N/A | 5.2 | 2.2 | N/A | N/A | 11.2 | N/A | N/A | N/A | N/A | N/A | 17.3 | 1.2
ISSA | Civil Society Foundation | 2024-06-01 | 2024-06-30 | N | 2000 | N/A | 0.1 | 34.4 | N/A | 2.1 | 1.8 | 8.0 | 4.4 | N/A | 1.9 | 1.6 | N/A | N/A | 6.9 | 2.3 | N/A | N/A | 0.9 | 0.8 | 16.9 | 0.3
ISSA | Mtavari Arkhi | 2024-04-01 | 2024-04-10 | N | 1601 | N/A | 0.1 | 37.4 | N/A | 0.6 | 2.7 | 4.7 | 2.3 | N/A | 1.7 | 2.2 | N/A | 2.1 | 5.2 | 1.8 | N/A | N/A | 2.2 | 0.6 | 18.8 | 2.2
GORBI | Imedi TV | 2024-03-11 | 2024-03-18 | N | 1711 | N/A | 0.1 | 60.4 | N/A | 0.9 | 0.6 | 4.7 | 4.5 | N/A | 1.4 | 0.6 | N/A | N/A | 3.7 | N/A | N/A | N/A | N/A | N/A | 12.6 | 6.0
Edison Research | Formula TV | 2023-12-01 | 2023-12-22 | N | 1500 | N/A | 0.1 | 36.6 | N/A | 1.7 | 4.7 | 6.7 | 0.7 | N/A | 2.9 | 1.7 | N/A | N/A | 8.8 | 3.7 | N/A | N/A | 3 | 2.5 | 21.5 | 0.5
Edison Research | Formula TV | 2023-10-20 | 2023-11-06 | N | 1000 | N/A | 1 | 37 | N/A | 2 | 4 | 5 | 1 | N/A | 4 | 2 | N/A | N/A | 9 | 4 | N/A | N/A | 3 | 3 | 21 | 1
CRRC Georgia | NDI | 2023-10-12 | 2023-11-04 | N | 2068 | 34 | 1 | 53 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 11 | 36
GORBI | Imedi TV | 2023-09-30 | 2023-10-20 | N | 2024 | N/A | 1 | 55 | N/A | 2 | 2 | 4 | 3 | N/A | 1 | 1 | N/A | N/A | 3 | N/A | N/A | N/A | N/A | N/A | 20 | 5
Institute of Polling & Marketing | IRI | 2023-09-14 | 2023-10-14 | N | 1200 | 60.0 | 1 | 42 | N/A | 2 | N/A | 3 | 1 | N/A | 5 | 3 | N/A | N/A | 7 | 3 | N/A | N/A | 2 | 2 | 27 | 2
Edison Research | Formula TV | 2023-09-07 | 2023-09-24 | N | 1500 | N/A | 1 | 37 | N/A | 1 | 4 | 4 | 1 | N/A | 4 | 2 | N/A | N/A | 10 | 4 | N/A | N/A | 3 | 3 | 22 | 0
Edison Research | Formula TV | 2023-05-25 | 2023-06-14 | N | 1500 | N/A | 1 | 37 | 25 | 1 | 5 | 4 | 1 | N/A | 3 | 2 | 3 | N/A | 6 | 3 | 2 | 4 | 2 | 2 | N/A | N/A
GORBI | Imedi TV | 2023-04-22 | 2023-05-07 | N | 1212 | N/A | 1 | 53 | 19 | 2 | 3 | 4 | 2 | N/A | 1 | 2 | 2 | N/A | 2 | N/A | N/A | 3 | N/A | N/A | N/A | 7
