Polling Firm | Commissioners | Fieldwork Start | Fieldwork End | Scope | Sample Size | Participation | Precision | ND | SYRIZA | PASOK-KINAL | ChA | KKE | EK | ANEL | LAE - AA | PE | Potami | EL | MeRA25 | EKE | ED | EAN… | Níki | Spartiátes | Other
Interview | Politic.gr | 2024-08-21 | 2024-08-26 | N | 2805 | 83.8 | 0.1 | 26.5 | 9.9 | 14.0 | N/A | 10.4 | N/A | N/A | N/A | 4.7 | N/A | 10.5 | N/A | N/A | N/A | N/A | 3.9 | N/A | N/A
MRB | N/A | 2024-06-27 | 2024-07-04 | N | 2000 | 83.7 | 0.1 | 29.7 | 14.5 | 13.3 | N/A | 9.1 | N/A | N/A | N/A | 4.3 | N/A | 8.7 | 3.5 | N/A | N/A | N/A | 3.5 | N/A | N/A
Metron Analysis | Mega TV | 2024-06-21 | 2024-07-01 | N | 1444 | 80.2 | 0.1 | 30.4 | 13.8 | 12.8 | N/A | 9.9 | N/A | N/A | N/A | 5.7 | N/A | 9.2 | 3.2 | N/A | N/A | N/A | 3.0 | 1.0 | N/A
Κάπα Research | N/A | 2024-06-25 | 2024-06-28 | N | 1487 | 87.9 | 0.1 | 34.5 | 15.4 | 13.9 | N/A | 9.0 | N/A | N/A | N/A | 3.6 | N/A | 9.7 | 2.0 | N/A | N/A | N/A | 3.9 | N/A | N/A
GPO | Star TV | 2024-06-17 | 2024-06-19 | N | 1200 | 85.9 | 0.1 | 33.9 | 15.9 | 14.4 | N/A | 9.3 | N/A | N/A | N/A | 3.6 | N/A | 9.3 | N/A | N/A | N/A | N/A | 3.8 | N/A | N/A
MRB | Open TV | 2024-06-04 | 2024-06-06 | E | 1212 | 83.5 | 0.5 | 31.5 | 16.0 | 12.5 | N/A | 8.0 | N/A | N/A | N/A | 3.5 | N/A | 8.5 | 3.0 | N/A | N/A | N/A | 4.0 | N/A | N/A
Pulse RC | ΣΚΑΪ | 2024-06-04 | 2024-06-06 | E | 1169 | 89.5 | 0.1 | 31.3 | 16.2 | 12.8 | N/A | 7.8 | N/A | N/A | N/A | 3.4 | N/A | 8.4 | 3.4 | N/A | N/A | N/A | 3.4 | N/A | N/A
Alco | Alpha TV | 2024-06-02 | 2024-06-06 | E | 1300 | 76.7 | 0.1 | 30.5 | 14.6 | 12.9 | N/A | 8.0 | N/A | N/A | N/A | 3.5 | N/A | 8.3 | 3.3 | N/A | N/A | N/A | 5.5 | N/A | N/A
Interview | Political | 2024-05-30 | 2024-06-06 | E | 2755 | 90.2 | 0.1 | 30.0 | 17.2 | 11.4 | N/A | 7.2 | N/A | N/A | N/A | 2.8 | N/A | 8.1 | 2.4 | N/A | N/A | N/A | 4.9 | N/A | N/A
Marc | ANT1 | 2024-06-03 | 2024-06-05 | E | 1205 | 87.8 | 0.1 | 33.9 | 16.9 | 11.1 | N/A | 8.0 | N/A | N/A | N/A | 4.3 | N/A | 8.3 | 2.6 | N/A | N/A | N/A | 3.3 | N/A | N/A
Metron Analysis | Mega TV | 2024-05-28 | 2024-06-05 | E | 1606 | 81.8 | 0.1 | 32.2 | 15.4 | 11.5 | N/A | 6.8 | N/A | N/A | N/A | 4.8 | N/A | 8.4 | 3.3 | N/A | N/A | N/A | 4.3 | N/A | N/A
Alco | Alpha TV | 2024-06-02 | 2024-06-04 | E | 1000 | 76.5 | 0.1 | 31.1 | 15.2 | 12.7 | N/A | 8.0 | N/A | N/A | N/A | 3.1 | N/A | 8.6 | 3.5 | N/A | N/A | N/A | 5.5 | N/A | N/A
Prorata | N/A | 2024-05-29 | 2024-06-04 | E | 1000 | 91.0 | 0.1 | 32.4 | 13.7 | 13.2 | N/A | 9.3 | N/A | N/A | N/A | 4.4 | N/A | 9.3 | 2.7 | N/A | N/A | N/A | 3.8 | N/A | N/A
Interview | Politic.gr | 2024-05-30 | 2024-06-03 | E | 2005 | 92.1 | 0.1 | 30.9 | 16.9 | 11.4 | N/A | 6.8 | N/A | N/A | N/A | 2.8 | N/A | 7.6 | 2.5 | N/A | N/A | N/A | 4.3 | N/A | N/A
Interview | Politic.gr | 2024-05-30 | 2024-06-03 | N | 2005 | 89.9 | 0.1 | 33.8 | 16.7 | 11.1 | N/A | 7.8 | N/A | N/A | N/A | 2.8 | N/A | 7.8 | N/A | N/A | N/A | N/A | 4.4 | N/A | N/A
Opinion Poll | Action 24 | 2024-05-29 | 2024-06-01 | E | 1201 | 80.4 | 0.1 | 33.0 | 16.2 | 12.3 | N/A | 8.0 | N/A | N/A | N/A | 3.7 | N/A | 9.0 | 2.6 | N/A | N/A | N/A | 3.4 | N/A | N/A
Marc | Πρώτο ΘΕΜΑ | 2024-05-29 | 2024-05-31 | E | 1003 | 87.7 | 0.1 | 34.5 | 16.9 | 11.9 | N/A | 7.3 | N/A | N/A | N/A | 4.2 | N/A | 8.4 | 2.7 | N/A | N/A | N/A | 3.6 | N/A | N/A
Marc | ANT1 | 2024-05-27 | 2024-05-30 | E | 1207 | 87.5 | 0.1 | 34.7 | 17.3 | 11.4 | N/A | 7.5 | N/A | N/A | N/A | 4.1 | N/A | 8.5 | 3.0 | N/A | N/A | N/A | 3.5 | N/A | N/A
Pulse RC | ΣΚΑΪ | 2024-05-27 | 2024-05-30 | E | 1203 | 87.3 | 0.1 | 32.6 | 16.6 | 13.2 | N/A | 7.4 | N/A | N/A | N/A | 3.4 | N/A | 8.6 | 3.4 | N/A | N/A | N/A | 3.4 | N/A | N/A
GPO | Star TV | 2024-05-27 | 2024-05-29 | E | 1200 | 88.9 | 0.1 | 33.2 | 16.2 | 13.2 | N/A | 8.2 | N/A | N/A | N/A | 3.5 | N/A | 8.4 | 2.0 | N/A | N/A | N/A | 3.6 | N/A | N/A
Prorata | N/A | 2024-05-22 | 2024-05-28 | E | 1000 | N/A | 0.1 | 31.0 | 12.0 | 13.0 | N/A | 11.2 | N/A | N/A | N/A | 3.9 | N/A | 8.5 | 1.7 | N/A | N/A | N/A | 4.5 | N/A | N/A
Metron Analysis | Mega TV | 2024-05-20 | 2024-05-24 | E | 1311 | 81.8 | 0.1 | 31.1 | 15.8 | 12.8 | N/A | 7.8 | N/A | N/A | N/A | 4.2 | N/A | 7.3 | 3.3 | N/A | N/A | N/A | 3.8 | N/A | N/A
GPO | Παραπολιτικά | 2024-05-13 | 2024-05-22 | E | 2900 | 87.6 | 0.1 | 33.4 | 15.8 | 13.4 | N/A | 8.7 | N/A | N/A | N/A | 3.2 | N/A | 8.6 | 2.1 | N/A | N/A | N/A | 3.5 | N/A | N/A
Opinion Poll | Action 24 | 2024-05-15 | 2024-05-16 | E | 1006 | 87.6 | 0.1 | 33.3 | 15.4 | 12.1 | N/A | 8.3 | N/A | N/A | N/A | 3.8 | N/A | 9.9 | 2.3 | N/A | N/A | N/A | 3.3 | N/A | N/A
GPO | Παραπολιτικά | 2024-05-13 | 2024-05-16 | E | 1200 | 87.0 | 0.1 | 33.3 | 15.6 | 13.2 | N/A | 8.6 | N/A | N/A | N/A | 3.2 | N/A | 8.6 | 2.2 | N/A | N/A | N/A | 3.6 | N/A | N/A
Pulse RC | ΣΚΑΪ | 2024-05-13 | 2024-05-15 | E | 1104 | 87.5 | 0.1 | 33.1 | 16.0 | 12.6 | N/A | 8.0 | N/A | N/A | N/A | 3.4 | N/A | 9.1 | 2.9 | N/A | N/A | N/A | 3.4 | N/A | N/A
Alco | Alpha TV | 2024-05-13 | 2024-05-15 | E | 1000 | 75.8 | 0.1 | 32.1 | 15.2 | 13.1 | N/A | 9.0 | N/A | N/A | N/A | 3.3 | N/A | 9.5 | 2.6 | N/A | N/A | N/A | 3.6 | N/A | N/A
Marc | ANT1 | 2024-05-10 | 2024-05-15 | E | 1209 | 86.4 | 0.1 | 35.5 | 15.0 | 12.0 | N/A | 8.1 | N/A | N/A | N/A | 4.3 | N/A | 8.3 | 3.0 | N/A | N/A | N/A | 2.9 | N/A | N/A
MRB | Open TV | 2024-05-10 | 2024-05-14 | E | 1100 | 82.0 | 0.1 | 32.3 | 16.0 | 14.0 | N/A | 8.0 | N/A | N/A | N/A | 3.4 | N/A | 9.9 | 2.2 | N/A | N/A | N/A | 2.9 | N/A | N/A
Interview | Politic.gr | 2024-05-08 | 2024-05-13 | E | 2405 | 90.1 | 0.1 | 33.3 | 17.2 | 12.2 | N/A | 6.7 | N/A | N/A | N/A | 2.7 | N/A | 7.8 | 2.6 | N/A | N/A | N/A | 3.4 | N/A | N/A
Interview | Politic.gr | 2024-05-08 | 2024-05-13 | N | 2405 | 89.9 | 0.1 | 34.9 | 16.5 | 12.2 | N/A | 6.7 | N/A | N/A | N/A | 2.2 | N/A | 7.8 | N/A | N/A | N/A | N/A | 3.4 | N/A | N/A
Marc | Πρώτο ΘΕΜΑ | 2024-04-18 | 2024-04-25 | E | 1049 | 88.0 | 0.1 | 34.8 | 14.5 | 10.7 | N/A | 8.8 | N/A | N/A | N/A | 5.3 | N/A | 9.8 | 2.3 | N/A | N/A | N/A | 3.1 | 2.5 | N/A
