Polling Firm | Commissioners | Fieldwork Start | Fieldwork End | Scope | Sample Size | Participation | Precision | HDZ | SDP | KH | Most | HSS | BM 365 | HNS–LD | IDS–DDI | Centar | NHR | GLAS | AK | HKS | START | NLMK | Hrast | HS | DP | Možemo | HSU | Fokus | SD | RF | OiP | Other
Ipsos | Nova TV | 2023-11-01 | 2023-11-21 | N | 990 | 82 | 0.1 | 36.0 | 15.4 | N/A | 9.9 | 1.3 | N/A | 1.8 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 9.6 | 9.6 | 2.0 | N/A | N/A | N/A | 2.9 | 11.5
Promocija Plus | HRT | 2023-11-14 | 2023-11-17 | N | 1100 | 82.3 | 0.1 | 30.6 | 18.7 | 1.2 | 8.5 | 1.6 | N/A | 1.5 | 1.5 | 2.4 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1.3 | 10.1 | 12.0 | N/A | 1.8 | N/A | 1.8 | 1.2 | 5.7
Promocija Plus | RTL | 2023-11-06 | 2023-11-09 | N | 1300 | 83.3 | 0.1 | 30.4 | 18.2 | N/A | 8.9 | 1.6 | N/A | 1.4 | 1.2 | 2.2 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1.2 | 10.1 | 13.2 | N/A | 1.7 | 1.3 | 2.0 | N/A | 6.6
Ipsos | Nova TV | 2023-10-01 | 2023-10-22 | N | 993 | 83.4 | 0.1 | 35.7 | 16.1 | N/A | 11.0 | 2.0 | N/A | 1.6 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 9.2 | 9.8 | 2.8 | N/A | N/A | N/A | 1.4 | 8.9
Promocija Plus | HRT | 2023-10-17 | 2023-10-19 | N | 1100 | 83.6 | 0.1 | 30.7 | 18.9 | 1.2 | 9.4 | 1.7 | N/A | 1.4 | 1.2 | 2.4 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1.0 | 8.7 | 13.0 | 0.8 | 1.6 | 0.8 | 2.3 | 1.1 | N/A
Promocija Plus | RTL | 2023-10-02 | 2023-10-05 | N | 1300 | 83.5 | 0.1 | 30.7 | 18.7 | N/A | 9.8 | 1.7 | N/A | 1.3 | 1.1 | 2.0 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1.1 | 9.0 | 13.7 | 1.0 | 1.2 | 1.4 | 2.2 | N/A | N/A
2x1 Komunikacije | Večernji list | 2023-09-18 | 2023-09-29 | N | 1041 | 82.7 | 0.1 | 29.9 | 17.6 | N/A | 12.5 | 1.4 | N/A | N/A | 2.6 | 2.3 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 8.6 | 10.2 | 3.7 | 1.6 | 2.2 | 1.6 | N/A | N/A
Ipsos | Nova TV | 2023-09-01 | 2023-09-20 | N | 988 | 83.1 | 0.1 | 36.0 | 14.9 | N/A | 10.7 | 1.4 | N/A | 1.9 | 2.4 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 7.8 | 10.8 | 1.7 | N/A | N/A | N/A | 2.5 | 9.7
Promocija Plus | HRT | 2023-09-14 | 2023-09-18 | N | 1100 | 83.5 | 0.1 | 30.7 | 18.6 | 1.3 | 9.9 | 1.7 | N/A | 1.4 | 1.2 | 2.2 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 8.9 | 13.4 | N/A | 1.6 | N/A | 1.3 | 1.2 | 6.7
Promocija Plus | RTL | 2023-09-04 | 2023-09-07 | N | 1300 | 83.1 | 0.1 | 30.6 | 18.7 | N/A | 10.3 | 1.6 | N/A | 1.3 | 1.2 | 2.8 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1.2 | 9.4 | 13.2 | N/A | 1.3 | N/A | 1.4 | 1.2 | 5.8
2x1 Komunikacije | Večernji list | 2023-08-16 | 2023-08-28 | N | 1041 | 82.8 | 0.1 | 30.1 | 18.6 | N/A | 11.0 | 1.9 | N/A | N/A | 2.3 | 2.0 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 9.7 | 10.0 | 3.6 | 1.9 | 2.3 | 1.6 | N/A | N/A
Ipsos | Nova TV | 2023-08-01 | 2023-08-20 | N | 989 | 83.1 | 0.1 | 33.6 | 13.8 | N/A | 10.5 | 2.0 | N/A | 1.3 | 3.4 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 7.8 | 12.5 | 2.5 | N/A | 1.9 | N/A | 1.9 | 8.7
Promocija Plus | RTL | 2023-08-01 | 2023-08-04 | N | 1300 | 83.4 | 0.1 | 30.2 | 17.6 | N/A | 10.6 | 1.7 | N/A | N/A | 1.2 | 3.0 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 9.2 | 13.4 | N/A | 1.2 | 1.4 | 1.7 | 1.3 | 6.1
Ipsos | Nova TV | 2023-07-01 | 2023-07-20 | N | 977 | 84.6 | 0.1 | 34.8 | 12.6 | N/A | 9.5 | 2.8 | N/A | 1.9 | 2.0 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1.7 | 8.4 | 12.5 | 3.1 | N/A | N/A | N/A | N/A | 10.8
Promocija Plus | RTL | 2023-07-03 | 2023-07-06 | N | 1300 | 83.3 | 0.1 | 30.6 | 20.0 | N/A | 10.2 | 1.8 | N/A | N/A | 1.3 | 3.4 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1.6 | 9.0 | 11.6 | N/A | 1.4 | N/A | 1.7 | N/A | 6.0
2x1 Komunikacije | CroElecto | 2023-06-16 | 2023-06-26 | N | 1041 | 83 | 0.1 | 30.1 | 18.7 | N/A | 9.8 | 1.9 | N/A | N/A | 2.2 | 2.5 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 2.5 | 9.0 | 10.6 | 3.7 | 1.7 | 1.8 | 1.3 | N/A | 4.1
Ipsos | Nova TV | 2023-06-01 | 2023-06-20 | N | 992 | 81.7 | 0.1 | 35.0 | 14.3 | N/A | 10.9 | N/A | N/A | 1.6 | 2.6 | 1.2 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 8.8 | 12.2 | 2.2 | 1.2 | N/A | N/A | 1.3 | 8.6
Promocija Plus | RTL | 2023-05-31 | 2023-06-02 | N | 1300 | 83.8 | 0.1 | 31.3 | 19.9 | N/A | 9.8 | 2.0 | N/A | N/A | 1.3 | 3.6 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1.6 | 8.5 | 11.2 | N/A | 1.4 | N/A | 2.4 | N/A | 5.7
2x1 Komunikacije | CroElecto | 2023-05-27 | 2023-05-27 | N | 1041 | 72.9 | 0.1 | 33.7 | 21.0 | N/A | 11.7 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 3.0 | 10.3 | 13.0 | 4.4 | N/A | 2.9 | N/A | N/A | N/A
Ipsos | Nova TV | 2023-05-01 | 2023-05-21 | N | 992 | 82.7 | 0.1 | 36.6 | 15.2 | N/A | 8.8 | 1.9 | N/A | 1.7 | N/A | 1.7 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1.5 | 8.3 | 10.9 | 2.8 | N/A | 1.6 | N/A | 1.5 | 7.5
Promocija Plus | HRT | 2023-05-15 | 2023-05-18 | N | 1100 | 84.2 | 0.1 | 31.8 | 19.8 | 1.5 | 10.2 | 1.7 | N/A | N/A | 1.5 | 4.0 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1.3 | 7.4 | 11.5 | N/A | 1.4 | N/A | 1.4 | N/A | 5.2
Promocija Plus | RTL | 2023-05-07 | 2023-05-07 | N | 1300 | 83.1 | 0.1 | 31.2 | 19.5 | 1.4 | 10.6 | 1.6 | N/A | N/A | 1.3 | 3.9 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1.7 | 7.6 | 11.2 | N/A | 1.8 | N/A | 1.9 | N/A | 6.5
2x1 Komunikacije | CroElecto | 2023-04-17 | 2023-04-27 | N | 1041 | 83.9 | 0.1 | 28.0 | 18.1 | N/A | 11.2 | 1.8 | N/A | N/A | 2.0 | 2.3 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 2.9 | 8.8 | 11.9 | 3.7 | 1.7 | 2.7 | 2.0 | N/A | N/A
Ipsos | Nova TV | 2023-04-01 | 2023-04-21 | N | 982 | 83 | 0.1 | 37.2 | 16.4 | N/A | 10.5 | N/A | N/A | 1.4 | 2.3 | 2.2 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 7.2 | 10.6 | 1.4 | N/A | N/A | N/A | N/A | 10.7
