Polling Firm | Commissioners | Fieldwork Start | Fieldwork End | Scope | Sample Size | Participation | Precision | Fidesz+KDNP | Jobbik | MSZP | P | DK | LMP | MM | Együtt | MLP | MKKP | MH | EM | MMM | ANPM | Other
Republikon Intézet | N/A | 2023-11-17 | 2023-11-24 | N | 1000 | N/A | 1 | 43 | 4 | 5 | 2 | 18 | 5 | 7 | N/A | N/A | 7 | 9 | N/A | N/A | N/A | N/A
IDEA Intézet | N/A | 2023-10-31 | 2023-11-16 | N | 1000 | N/A | 1 | 45 | 2 | 3 | 1 | 20 | 1 | 7 | N/A | N/A | 6 | 8 | N/A | N/A | 3 | 4
ZRI Závecz Research | N/A | 2023-10-29 | 2023-11-08 | N | 1000 | N/A | 1 | 48 | 4 | 4 | 2 | 19 | 3 | 6 | N/A | N/A | 3 | 8 | N/A | N/A | N/A | 4
Republikon Intézet | N/A | 2023-10-17 | 2023-10-24 | N | 1000 | N/A | 1 | 43 | 3 | 5 | 2 | 18 | 5 | 7 | N/A | N/A | 7 | 10 | N/A | N/A | N/A | N/A
21 Kutatóközpont | N/A | 2023-10-13 | 2023-10-18 | N | 1000 | N/A | 1 | 41 | 2 | 1 | 1 | 12 | 1 | 12 | N/A | N/A | 10 | 10 | N/A | 2 | 2 | N/A
IDEA Intézet | N/A | 2023-09-29 | 2023-10-13 | N | 1800 | N/A | 1 | 45 | 1 | 3 | 1 | 19 | 1 | 8 | N/A | N/A | 5 | 9 | N/A | N/A | 2 | 6
Medián | N/A | 2023-09-01 | 2023-09-30 | N | 1000 | N/A | 1 | 46 | 5 | 2 | 1 | 12 | 1 | 6 | N/A | N/A | 7 | 10 | N/A | 3 | 5 | N/A
Republikon Intézet | N/A | 2023-09-18 | 2023-09-25 | N | 1000 | N/A | 1 | 42 | 3 | 5 | 2 | 18 | 4 | 8 | N/A | N/A | 8 | 10 | N/A | N/A | N/A | N/A
ZRI Závecz Research | N/A | 2023-09-08 | 2023-09-18 | N | 1000 | N/A | 1 | 46 | 4 | 4 | 3 | 19 | 2 | 6 | N/A | N/A | 5 | 10 | N/A | N/A | N/A | 1
IDEA Intézet | N/A | 2023-08-28 | 2023-09-08 | N | 1800 | N/A | 1 | 45 | 2 | 2 | 1 | 19 | 2 | 8 | N/A | N/A | 6 | 10 | N/A | N/A | N/A | 5
Nézőpont Intézet | N/A | 2023-09-04 | 2023-09-06 | N | 1000 | N/A | 1 | 51 | 5 | 2 | 0 | 10 | 2 | 8 | N/A | N/A | 8 | 9 | N/A | 2 | 3 | N/A
21 Kutatóközpont | N/A | 2023-08-24 | 2023-08-29 | N | 1500 | N/A | 1 | 42 | 7 | 4 | 1 | 15 | 1 | 9 | N/A | N/A | 5 | 8 | N/A | 4 | 4 | N/A
Republikon Intézet | N/A | 2023-08-16 | 2023-08-23 | N | 1000 | N/A | 1 | 42 | 4 | 4 | 2 | 17 | 4 | 10 | N/A | N/A | 7 | 10 | N/A | N/A | N/A | N/A
IDEA Intézet | N/A | 2023-07-28 | 2023-08-09 | N | 1800 | N/A | 1 | 46 | 2 | 2 | 1 | 20 | 2 | 8 | N/A | N/A | 6 | 9 | N/A | N/A | N/A | 4
Republikon Intézet | N/A | 2023-07-14 | 2023-07-25 | N | 1000 | N/A | 1 | 44 | 4 | 5 | 2 | 18 | 4 | 9 | N/A | N/A | 6 | 8 | N/A | N/A | N/A | N/A
IDEA Intézet | N/A | 2023-06-28 | 2023-07-19 | N | 1800 | N/A | 1 | 48 | 2 | 2 | 1 | 20 | 2 | 8 | N/A | N/A | 6 | 8 | N/A | N/A | N/A | 3
Republikon Intézet | N/A | 2023-06-01 | 2023-06-30 | E | N/A | N/A | 1 | 46 | 6 | 4 | N/A | 19 | 6 | 7 | N/A | N/A | 4 | 9 | N/A | N/A | N/A | N/A
Republikon Intézet | N/A | 2023-06-19 | 2023-06-23 | N | 1000 | N/A | 1 | 46 | 4 | 5 | 2 | 16 | 5 | 9 | N/A | N/A | 6 | 7 | N/A | N/A | N/A | N/A
IDEA Intézet | N/A | 2023-05-25 | 2023-06-10 | N | 1800 | N/A | 1 | 48 | 2 | 2 | 1 | 20 | 2 | 8 | N/A | N/A | 6 | 8 | N/A | N/A | N/A | 3
Medián | N/A | 2023-05-26 | 2023-05-31 | N | 1000 | N/A | 1 | 49 | 4 | 1 | 1 | 14 | 3 | 8 | N/A | N/A | 9 | 7 | N/A | 2 | 2 | 0
IDEA Intézet | N/A | 2023-04-27 | 2023-05-19 | N | 1800 | N/A | 1 | 48 | 2 | 3 | 1 | 19 | 2 | 8 | N/A | N/A | 6 | 9 | N/A | N/A | N/A | 2
Nézőpont Intézet | N/A | 2023-05-15 | 2023-05-17 | E | 1000 | N/A | 1 | 51 | 5 | 2 | 1 | 16 | 4 | 9 | N/A | N/A | 3 | 6 | N/A | N/A | N/A | 4
ZRI Závecz Research | N/A | 2023-04-28 | 2023-05-05 | E | 1000 | N/A | 1 | 46 | 6 | N/A | N/A | 19 | 4 | 8 | N/A | N/A | 3 | 7 | N/A | N/A | N/A | N/A
ZRI Závecz Research | N/A | 2023-04-28 | 2023-05-05 | N | 1000 | N/A | 1 | 50 | 4 | 4 | 2 | 19 | 2 | 6 | N/A | N/A | 3 | 7 | N/A | N/A | N/A | 3
Republikon Intézet | N/A | 2023-04-21 | 2023-04-28 | N | 1000 | N/A | 1 | 48 | 4 | 5 | 2 | 17 | 4 | 7 | N/A | N/A | 5 | 8 | N/A | N/A | N/A | 0
IDEA Intézet | N/A | 2023-03-25 | 2023-04-13 | N | 1800 | N/A | 1 | 49 | 1 | 2 | 1 | 20 | 2 | 8 | N/A | N/A | 5 | 9 | N/A | N/A | N/A | 3
Századvég | N/A | 2023-03-01 | 2023-03-31 | N | 1000 | N/A | 1 | 45 | 2 | 1 | 1 | 10 | 2 | 9 | N/A | N/A | 13 | 10 | N/A | N/A | N/A | 7
Századvég | N/A | 2023-03-01 | 2023-03-31 | N | 1000 | N/A | 1 | 48 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 13 | 10 | 28 | N/A | N/A | 2
Nézőpont Intézet | N/A | 2023-03-27 | 2023-03-29 | N | 1000 | N/A | 1 | 51 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 8 | 12 | 26 | N/A | N/A | 3
Társadalomkutató | N/A | 2023-03-27 | 2023-03-29 | N | 1000 | N/A | 1 | 52 | 4 | 2 | 1 | 12 | 3 | 6 | N/A | N/A | 10 | 8 | N/A | 2 | N/A | 0
