Polling Firm | Commissioners | Fieldwork Start | Fieldwork End | Scope | Sample Size | Participation | Precision | FG | FF | SF | IA | SD | PBP–S | Lab | GP | CP | Aon | Other
Ireland Thinks | Sunday Independent | 2023-12-01 | 2023-12-02 | N | 1306 | N/A | 1 | 21 | 19 | 28 | N/A | 5 | 4 | 4 | 3 | N/A | 3 | 14
Red C | Business Post | 2023-11-17 | 2023-11-22 | N | 1201 | N/A | 1 | 20 | 16 | 29 | N/A | 6 | 3 | 4 | 4 | N/A | 2 | 13
Ireland Thinks | Sunday Independent | 2023-11-02 | 2023-11-03 | N | 1387 | N/A | 1 | 21 | 18 | 31 | N/A | 5 | 4 | 3 | 4 | N/A | 3 | 11
Red C | Business Post | 2023-10-20 | 2023-10-25 | N | 1018 | N/A | 1 | 20 | 15 | 32 | N/A | 6 | 3 | 5 | 4 | N/A | 2 | 12
Ireland Thinks | Sunday Independent | 2023-09-28 | 2023-09-29 | N | 1196 | N/A | 1 | 19 | 17 | 35 | N/A | 5 | 2 | 3 | 4 | N/A | 3 | 12
Ipsos MRBI | Irish Times | 2023-09-26 | 2023-09-26 | N | 1200 | N/A | 1 | 18 | 20 | 34 | N/A | 2 | 1 | 3 | 3 | N/A | 1 | 18
Red C | Business Post | 2023-09-07 | 2023-09-12 | N | 1011 | N/A | 1 | 21 | 16 | 31 | N/A | 5 | 3 | 4 | 4 | N/A | 3 | 12
Behaviour and Attitudes | The Sunday Times | 2023-08-31 | 2023-09-12 | N | N/A | N/A | 1 | 20 | 21 | 33 | N/A | 3 | 2 | 4 | 6 | N/A | 1 | 9
Ireland Thinks | Sunday Independent | 2023-08-31 | 2023-09-01 | N | 1228 | N/A | 1 | 21 | 18 | 33 | N/A | 6 | 3 | 3 | 2 | N/A | 2 | 10
Ireland Thinks | Sunday Independent | 2023-08-04 | 2023-08-05 | N | 1272 | N/A | 1 | 19 | 18 | 34 | N/A | 5 | 3 | 4 | 5 | N/A | 2 | 10
Behaviour and Attitudes | The Sunday Times | 2023-06-28 | 2023-07-12 | N | 910 | N/A | 1 | 19 | 24 | 34 | N/A | 2 | 2 | 4 | 4 | N/A | 1 | 10
Ireland Thinks | Sunday Independent | 2023-06-30 | 2023-07-01 | N | 1076 | N/A | 1 | 19 | 19 | 31 | N/A | 6 | 4 | 2 | 3 | N/A | 3 | 13
Red C | Business Post | 2023-06-23 | 2023-06-23 | N | N/A | N/A | 1 | 22 | 16 | 29 | N/A | 5 | 3 | 5 | 4 | N/A | 2 | 14
Ipsos MRBI | Irish Times | 2023-06-11 | 2023-06-13 | N | 1200 | N/A | 1 | 18 | 21 | 31 | N/A | 5 | 2 | 4 | 4 | N/A | 1 | 14
Ireland Thinks | Sunday Independent | 2023-06-02 | 2023-06-02 | N | 1136 | N/A | 1 | 20 | 19 | 32 | N/A | 6 | 2 | 3 | 3 | N/A | 3 | 13
Red C | Business Post | 2023-05-19 | 2023-05-24 | N | 1011 | N/A | 1 | 20 | 15 | 34 | N/A | 6 | 3 | 4 | 4 | N/A | 1 | 13
Behaviour and Attitudes | The Sunday Times | 2023-04-27 | 2023-05-09 | N | 906 | N/A | 1 | 17 | 22 | 35 | N/A | 3 | 1 | 4 | 5 | N/A | 1 | 12
Ireland Thinks | Sunday Independent | 2023-05-05 | 2023-05-06 | N | 1175 | N/A | 1 | 20 | 19 | 31 | N/A | 5 | 4 | 4 | 3 | N/A | 2 | 12
Red C | Business Post | 2023-04-21 | 2023-04-26 | N | 1016 | N/A | 1 | 22 | 16 | 31 | N/A | 5 | 2 | 4 | 4 | N/A | 2 | 14
Behaviour and Attitudes | The Sunday Times | 2023-03-28 | 2023-04-04 | N | 909 | N/A | 1 | 15 | 21 | 37 | N/A | 4 | 2 | 4 | 6 | N/A | 2 | 8
Ireland Thinks | Sunday Independent | 2023-03-31 | 2023-04-01 | N | 1102 | N/A | 1 | 22 | 16 | 31 | N/A | 7 | 3 | 3 | 4 | N/A | 3 | 10
Red C | Business Post | 2023-03-17 | 2023-03-22 | N | 1005 | N/A | 1 | 22 | 15 | 31 | N/A | 6 | 3 | 4 | 3 | N/A | 2 | 14
Behaviour and Attitudes | The Sunday Times | 2023-03-04 | 2023-03-14 | N | 943 | N/A | 1 | 23 | 20 | 32 | N/A | 4 | 2 | 5 | 5 | N/A | N/A | 9
Ireland Thinks | Sunday Independent | 2023-03-03 | 2023-03-03 | N | 1162 | N/A | 1 | 21 | 19 | 29 | N/A | 9 | 2 | 3 | 4 | N/A | 3 | 10
Red C | Business Post | 2023-02-17 | 2023-02-22 | N | 998 | N/A | 1 | 21 | 17 | 31 | N/A | 4 | 3 | 4 | 4 | N/A | 2 | 14
Ipsos MRBI | Irish Times | 2023-02-19 | 2023-02-21 | N | 1200 | N/A | 1 | 22 | 18 | 35 | N/A | 2 | N/A | 4 | 4 | N/A | N/A | 16
Behaviour and Attitudes | The Sunday Times | 2023-02-02 | 2023-02-14 | N | 921 | N/A | 1 | 23 | 24 | 31 | N/A | 2 | 1 | 5 | 5 | N/A | N/A | 9
Ireland Thinks | Sunday Independent | 2023-02-02 | 2023-02-03 | N | 1212 | N/A | 1 | 22 | 18 | 31 | N/A | 4 | 3 | 4 | 4 | N/A | 4 | 10
Red C | Business Post | 2023-01-20 | 2023-01-25 | N | 1004 | N/A | 1 | 21 | 15 | 33 | N/A | 6 | 3 | 4 | 4 | N/A | 2 | 12
Behaviour and Attitudes | The Sunday Times | 2023-01-05 | 2023-01-17 | N | 936 | N/A | 1 | 19 | 25 | 34 | N/A | 2 | 2 | 4 | 5 | N/A | 1 | 8
Ireland Thinks | Sunday Independent | 2023-01-05 | 2023-01-06 | N | 1104 | N/A | 1 | 25 | 16 | 32 | N/A | 3 | 4 | 3 | 4 | N/A | 3 | 10
Behaviour and Attitudes | The Sunday Times | 2022-11-24 | 2022-12-06 | N | 923 | N/A | 1 | 23 | 21 | 34 | N/A | 1 | 1 | 3 | 5 | N/A | N/A | 12
Ireland Thinks | Sunday Independent | 2022-12-01 | 2022-12-02 | N | 1352 | N/A | 1 | 23 | 17 | 34 | N/A | 5 | 3 | 3 | 3 | N/A | 4 | 9
Red C | Business Post | 2022-11-18 | 2022-11-23 | N | N/A | N/A | 1 | 24 | 15 | 31 | N/A | 4 | 3 | 4 | 5 | N/A | 2 | 11
Behaviour and Attitudes | The Sunday Times | 2022-10-27 | 2022-11-08 | N | 923 | N/A | 1 | 21 | 23 | 34 | N/A | 2 | 1 | 5 | 4 | N/A | 1 | 9
Ireland Thinks | Sunday Independent | 2022-11-04 | 2022-11-04 | N | 1002 | N/A | 1 | 21 | 17 | 34 | N/A | 4 | 5 | 3 | 3 | N/A | 4 | 10
Ipsos MRBI | Irish Times | 2022-10-23 | 2022-10-25 | N | 1200 | N/A | 1 | 22 | 21 | 35 | N/A | 3 | 2 | 3 | 4 | N/A | 1 | 10
Behaviour and Attitudes | Sunday Times | 2022-10-03 | 2022-10-15 | N | 931 | N/A | 1 | 21 | 22 | 34 | N/A | 2 | 2 | 6 | 4 | N/A | 0 | 9
Ireland Thinks | Sunday Independent | 2022-10-01 | 2022-10-01 | N | 1254 | N/A | 1 | 21 | 17 | 37 | N/A | 3 | 4 | 3 | 4 | N/A | 3 | 8
Red C | Business Post | 2022-09-01 | 2022-09-06 | N | 1004 | N/A | 1 | 18 | 17 | 35 | N/A | 4 | 3 | 4 | 5 | N/A | 2 | 12
Behaviour and Attitudes | Sunday Times | 2022-08-25 | 2022-09-06 | N | 905 | N/A | 1 | 20 | 24 | 35 | N/A | 3 | 2 | 4 | 5 | N/A | 0 | 8
Ireland Thinks | Sunday Independent | 2022-09-02 | 2022-09-02 | N | N/A | N/A | 1 | 21 | 16 | 36 | N/A | 4 | 5 | 3 | 2 | N/A | 3 | 11
Ireland Thinks | Sunday Independent | 2022-08-06 | 2022-08-06 | N | N/A | N/A | 1 | 22 | 17 | 36 | N/A | 4 | 4 | 3 | 4 | N/A | 3 | 9
Ipsos MRBI | Irish Times | 2022-07-10 | 2022-07-12 | N | N/A | N/A | 1 | 18 | 20 | 36 | N/A | 2 | 3 | 4 | 3 | N/A | 1 | 14
Ireland Thinks | Sunday Independent | 2022-07-01 | 2022-07-01 | N | 1133 | N/A | 1 | 22 | 15 | 36 | N/A | 3 | 3 | 4 | 4 | N/A | 3 | 10
Red C | Business Post | 2022-06-17 | 2022-06-22 | N | 1004 | N/A | 1 | 19 | 14 | 36 | N/A | 4 | 4 | 3 | 4 | N/A | 3 | 12
Behaviour and Attitudes | The Sunday Times | 2022-05-25 | 2022-06-07 | N | N/A | N/A | 1 | 23 | 22 | 37 | N/A | 0 | 1 | 5 | 4 | N/A | 1 | 8
Ireland Thinks | Sunday Independent | 2022-06-04 | 2022-06-04 | N | 1211 | N/A | 1 | 20 | 17 | 35 | N/A | 5 | 3 | 4 | 3 | N/A | 3 | 8
Red C | Business Post | 2022-05-20 | 2022-05-25 | N | 1002 | N/A | 1 | 20 | 15 | 36 | N/A | 4 | 3 | 3 | 5 | N/A | 2 | 11
Behaviour and Attitudes | The Sunday Times | 2022-04-28 | 2022-05-10 | N | 908 | N/A | 1 | 19 | 24 | 36 | N/A | 2 | 2 | 5 | 2 | N/A | 1 | 9
Ireland Thinks | Sunday Independent | 2022-05-07 | 2022-05-07 | N | 1002 | N/A | 1 | 23 | 16 | 34 | N/A | 4 | 4 | 4 | 3 | N/A | 3 | 8
Red C | Business Post | 2022-04-22 | 2022-04-27 | N | 1014 | N/A | 1 | 21 | 16 | 34 | N/A | 5 | 3 | 4 | 4 | N/A | 2 | 11
Ireland Thinks | Sunday Independent | 2022-04-01 | 2022-04-01 | N | 1135 | N/A | 1 | 22 | 18 | 33 | N/A | 6 | 2 | 4 | 3 | N/A | 3 | 10
Red C | Business Post | 2022-03-18 | 2022-03-23 | N | 1001 | N/A | 1 | 19 | 16 | 33 | N/A | 5 | 3 | 5 | 5 | N/A | 2 | 12
Behaviour and Attitudes | The Sunday Times | 2022-02-24 | 2022-03-08 | N | 928 | N/A | 1 | 24 | 23 | 33 | N/A | 1 | 2 | 3 | 4 | N/A | 1 | 9
Ireland Thinks | Sunday Independent | 2022-03-04 | 2022-03-04 | N | 1011 | N/A | 1 | 21 | 20 | 33 | N/A | 6 | 4 | 3 | 4 | N/A | 2 | 9
Red C | Business Post | 2022-02-18 | 2022-02-23 | N | 1001 | N/A | 1 | 20 | 17 | 33 | N/A | 4 | 3 | 4 | 5 | N/A | 2 | 11
