Polling Firm | Commissioners | Fieldwork Start | Fieldwork End | Scope | Sample Size | Participation | Precision | D | S | V | M | P | B | F | C | J | Other
Gallup | N/A | 2023-11-01 | 2023-11-30 | N | 9721 | 47.8 | 0.1 | 19.8 | 28.1 | 5.1 | 9.4 | 9.3 | 8.6 | 6.9 | 7.9 | 4.2 | N/A
Maskína | N/A | 2023-11-03 | 2023-11-26 | N | 2376 | N/A | 0.1 | 17.9 | 26.0 | 6.1 | 8.4 | 10.0 | 10.4 | 6.4 | 10.3 | 4.4 | N/A
Gallup | N/A | 2023-10-02 | 2023-10-31 | N | 10463 | 49.8 | 0.1 | 20.5 | 29.1 | 6.0 | 8.6 | 10.2 | 7.4 | 6.5 | 7.5 | 4.1 | N/A
Maskína | N/A | 2023-10-12 | 2023-10-24 | N | 1935 | N/A | 0.1 | 17.7 | 27.8 | 5.9 | 8.2 | 10.8 | 9.8 | 6.1 | 9.3 | 4.3 | N/A
Gallup | N/A | 2023-09-01 | 2023-10-03 | N | 11005 | 48.5 | 0.1 | 20.4 | 30.1 | 5.7 | 8.6 | 9.6 | 8.1 | 5.7 | 7.9 | 3.9 | N/A
Maskína | N/A | 2023-09-15 | 2023-09-29 | N | 1466 | N/A | 0.1 | 19.6 | 24.4 | 6.5 | 7.0 | 10.8 | 8.8 | 6.5 | 11.6 | 4.8 | N/A
Gallup | N/A | 2023-08-01 | 2023-08-31 | N | 10076 | 49.5 | 0.1 | 21.1 | 28.5 | 5.9 | 8.7 | 10.3 | 7.5 | 6.3 | 7.2 | 4.4 | N/A
Maskína | N/A | 2023-08-17 | 2023-08-22 | N | 954 | N/A | 0.1 | 17.6 | 26.1 | 6.4 | 7.9 | 13.1 | 9.2 | 5.9 | 9.5 | 4.2 | N/A
Gallup | N/A | 2023-07-03 | 2023-07-30 | N | 10491 | 46.1 | 0.1 | 21.0 | 28.6 | 6.1 | 8.5 | 10.5 | 8.9 | 5.7 | 7.0 | 3.6 | N/A
Maskína | N/A | 2023-07-06 | 2023-07-24 | N | 836 | N/A | 0.1 | 19.3 | 25.3 | 8.0 | 5.9 | 11.0 | 9.6 | 6.0 | 10.4 | 4.5 | N/A
Prósent | N/A | 2023-06-22 | 2023-07-22 | N | 2300 | 51.8 | 0.1 | 16.1 | 27.4 | 7.3 | 7.2 | 14.5 | 7.1 | 8.5 | 8.9 | 2.9 | N/A
Gallup | N/A | 2023-06-01 | 2023-07-02 | N | 11331 | 48.8 | 0.1 | 20.8 | 28.4 | 6.2 | 7.8 | 9.7 | 8.7 | 5.7 | 8.1 | 4.6 | N/A
Maskína | N/A | 2023-06-01 | 2023-06-22 | N | 1691 | N/A | 0.1 | 18.5 | 27.2 | 7.0 | 6.3 | 11.3 | 8.8 | 6.6 | 9.7 | 4.7 | N/A
Gallup | N/A | 2023-05-02 | 2023-05-31 | N | 10316 | 48.2 | 0.1 | 20.8 | 28.4 | 5.7 | 6.9 | 10.1 | 10.2 | 5.5 | 7.6 | 4.9 | N/A
Maskína | N/A | 2023-05-04 | 2023-05-16 | N | 1726 | N/A | 0.1 | 19.2 | 27.3 | 6.1 | 6.4 | 11.0 | 10.0 | 5.6 | 9.1 | 5.2 | N/A
Gallup | N/A | 2023-04-03 | 2023-05-01 | N | 9916 | 48.7 | 0.1 | 21.9 | 27.8 | 6.6 | 6.2 | 10.0 | 9.6 | 6.0 | 7.4 | 4.3 | N/A
Maskína | N/A | 2023-04-13 | 2023-04-19 | N | 852 | N/A | 0.1 | 18.7 | 25.7 | 8.2 | 6.0 | 11.4 | 10.2 | 4.4 | 10.6 | 4.9 | N/A
Gallup | N/A | 2023-03-01 | 2023-04-02 | N | 1128 | N/A | 0.1 | 22.3 | 25.1 | 7.1 | 6.3 | 9.4 | 9.9 | 5.6 | 9.1 | 5.1 | N/A
Maskína | N/A | 2023-03-06 | 2023-03-20 | N | 1599 | N/A | 0.1 | 20.2 | 24.4 | 6.0 | 5.7 | 10.2 | 13.2 | 5.2 | 9.1 | 6.0 | N/A
Gallup | N/A | 2023-02-01 | 2023-02-28 | N | 9517 | 49.6 | 0.1 | 22.5 | 24.0 | 6.8 | 5.3 | 12.1 | 10.8 | 5.6 | 7.7 | 5.0 | N/A
Maskína | N/A | 2023-02-03 | 2023-02-13 | N | 1892 | N/A | 0.1 | 20.1 | 23.3 | 6.7 | 5.8 | 12.7 | 12.3 | 5.9 | 8.2 | 5.0 | N/A
