Polling Firm | Commissioners | Fieldwork Start | Fieldwork End | Scope | Sample Size | Participation | Precision | M5S | Lega | PD | FI | FdI | LS | PaP | +Eu | NcI | CPI | C! | EV | Az | IV | SI | Art.1 | CI | Italexit | IpF | IC | AVS | NM | UP | ISP | DSP | Other
Ixè | N/A | 2023-12-11 | 2023-12-15 | N | 1000 | N/A | 0.1 | 17.6 | 8.1 | 18.9 | 6.8 | 29.3 | N/A | N/A | 2.7 | N/A | N/A | N/A | N/A | 4.0 | 2.1 | N/A | N/A | N/A | 2.1 | N/A | N/A | 3.7 | 1.0 | N/A | N/A | N/A | 3.7
Tecnè | N/A | 2023-12-10 | 2023-12-11 | N | 998 | N/A | 0.1 | 16.0 | 8.3 | 19.2 | 9.9 | 28.5 | N/A | N/A | 2.4 | N/A | N/A | N/A | N/A | 4.1 | 3.1 | N/A | N/A | N/A | N/A | N/A | N/A | 3.5 | N/A | N/A | N/A | N/A | 5.0
EMG | Il Tirreno | 2023-12-07 | 2023-12-08 | N | 1000 | N/A | 0.1 | 17.0 | 8.0 | 18.8 | 8.5 | 27.5 | N/A | N/A | 2.5 | N/A | N/A | N/A | N/A | 4.0 | 4.0 | N/A | N/A | N/A | 2.5 | N/A | N/A | 3.0 | 1.0 | 1.5 | N/A | N/A | N/A
Demopolis | N/A | 2023-12-06 | 2023-12-07 | N | 1500 | N/A | 0.1 | 16.0 | 9.5 | 19.8 | 7.3 | 28.5 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 3.8 | 3 | N/A | N/A | N/A | N/A | N/A | N/A | 3.5 | N/A | N/A | N/A | N/A | N/A
Tecnè | Agenzia Dire | 2023-12-06 | 2023-12-07 | N | 1001 | N/A | 0.1 | 15.9 | 8.5 | 19.2 | 9.9 | 28.7 | N/A | N/A | 2.6 | N/A | N/A | N/A | N/A | 4.0 | 3.1 | N/A | N/A | N/A | N/A | N/A | N/A | 3.4 | N/A | N/A | N/A | N/A | 4.7
Quorum – YouTrend | Sky TG24 | 2023-12-06 | 2023-12-07 | N | 805 | N/A | 0.1 | 13.5 | 9.9 | 19.3 | 6.2 | 28.9 | N/A | N/A | 2.2 | N/A | N/A | N/A | N/A | 4.1 | 3.2 | N/A | N/A | N/A | 1.8 | N/A | N/A | 3.7 | 1.8 | N/A | N/A | N/A | 5.4
Lab2101 | Affari Italiani | 2023-12-01 | 2023-12-07 | N | 1000 | N/A | 0.1 | 16.2 | 10.5 | 19.8 | 5.6 | 29.1 | N/A | N/A | 2.5 | N/A | N/A | N/A | N/A | 3.8 | 2.9 | N/A | N/A | N/A | 2.5 | N/A | N/A | 4.2 | 0.8 | N/A | N/A | N/A | 2.1
Tecnè | N/A | 2023-12-06 | 2023-12-06 | N | 1001 | N/A | 0.1 | 16.1 | 8.5 | 19.4 | 9.9 | 28.6 | N/A | N/A | 2.5 | N/A | N/A | N/A | N/A | 3.9 | 3.3 | N/A | N/A | N/A | N/A | N/A | N/A | 3.0 | N/A | N/A | N/A | N/A | 4.8
Eumetra | La7 | 2023-12-05 | 2023-12-06 | N | 800 | N/A | 0.1 | 16.0 | 9.4 | 19.3 | 7.5 | 28.5 | N/A | N/A | 2.6 | N/A | N/A | N/A | N/A | 3.9 | 3.1 | N/A | N/A | N/A | 1.8 | N/A | N/A | 3.4 | 1.0 | N/A | N/A | N/A | 3.5
SWG | La7 | 2023-12-04 | 2023-12-04 | N | 1200 | N/A | 0.1 | 16.7 | 9.2 | 19.3 | 7.3 | 28.1 | N/A | N/A | 2.7 | N/A | N/A | N/A | N/A | 3.8 | 3.2 | N/A | N/A | N/A | 1.8 | N/A | N/A | 3.4 | 1.0 | 1.4 | N/A | N/A | 2.1
