Polling Firm | Commissioners | Fieldwork Start | Fieldwork End | Scope | Sample Size | Participation | Precision | LVŽS | TS-LKD | LSDP | LRLS | TT | LLRA-KŠS | DP | TTS | LŽP | LS | LRP | LP | LT | DSVL | NS | JL | KS | Other
Spinter tyrimai | Delfi | 2024-07-19 | 2024-07-29 | N | 1007 | N/A | 0.1 | 13.3 | 16.8 | 21.5 | 10.7 | N/A | N/A | 3.5 | N/A | N/A | N/A | N/A | 5.3 | N/A | 11.8 | N/A | N/A | N/A | N/A
Vilmorus | N/A | 2024-07-11 | 2024-07-21 | N | 1000 | N/A | 0.1 | 13.8 | 15.7 | 26.4 | 7.1 | N/A | 1.7 | 4.3 | N/A | N/A | N/A | 4.8 | 4.3 | N/A | 10.2 | N/A | N/A | N/A | N/A
Baltijos tyrimai | LRT | 2024-06-21 | 2024-07-07 | N | 1005 | N/A | 0.1 | 10.1 | 12.3 | 23.2 | 7.5 | N/A | 2.8 | 4.6 | 2.5 | N/A | N/A | 5.0 | 3.4 | 1.7 | 14.3 | 1.4 | N/A | N/A | N/A
Spinter tyrimai | Delfi | 2024-06-18 | 2024-06-28 | N | 1013 | N/A | 0.1 | 8.8 | 15.6 | 21.3 | 9.1 | N/A | N/A | 3.2 | N/A | N/A | N/A | N/A | 6.0 | N/A | 8.9 | N/A | N/A | N/A | N/A
Spinter tyrimai | Delfi | 2024-05-17 | 2024-05-26 | N | 1016 | N/A | 0.1 | 9.2 | 16.4 | 19.3 | 9.2 | N/A | N/A | 2.9 | N/A | N/A | N/A | N/A | 6.3 | N/A | 9.1 | 2.9 | N/A | N/A | N/A
Baltijos tyrimai | LRT | 2024-05-16 | 2024-05-25 | N | 1027 | N/A | 0.1 | 12.6 | 13.6 | 22.7 | 4.4 | N/A | 3.4 | 8.0 | 1.9 | N/A | N/A | 5.5 | 3.4 | 2.5 | 10.8 | 1.1 | N/A | N/A | N/A
Spinter tyrimai | Delfi | 2024-04-17 | 2024-04-25 | N | 1018 | 68.5 | 0.1 | 9.6 | 15.5 | 20.4 | 9.9 | N/A | N/A | 3.2 | N/A | N/A | N/A | N/A | 5.1 | N/A | 8.5 | 2.9 | N/A | N/A | 17.4
Baltijos tyrimai | LRT | 2024-04-10 | 2024-04-21 | E | 1020 | 58.7 | 0.1 | 11.6 | 14.3 | 27.1 | 6.6 | N/A | 0.7 | 8.9 | 0.9 | 1.4 | N/A | 5.1 | 4.1 | 2.7 | 13.3 | 1.4 | N/A | N/A | N/A
Spinter tyrimai | Delfi | 2024-03-18 | 2024-03-28 | N | 1009 | 67.7 | 0.1 | 11.4 | 13.7 | 21.1 | 9.6 | N/A | N/A | 3.7 | N/A | N/A | N/A | N/A | 7.4 | N/A | 7.8 | 4.0 | N/A | N/A | 15.7
Baltijos tyrimai | ELTA | 2024-03-15 | 2024-03-25 | N | 1115 | N/A | 0.1 | 15.4 | 11.8 | 23.2 | 6.5 | N/A | 2.8 | 7.4 | N/A | N/A | N/A | 5.2 | 2.6 | 2.8 | 12.1 | N/A | N/A | N/A | N/A
Vilmorus | N/A | 2024-03-15 | 2024-03-23 | N | 1001 | 66.8 | 0.1 | 14.8 | 11.1 | 30.4 | 9.4 | N/A | 2.4 | 7.0 | N/A | N/A | N/A | 5.2 | 4.2 | N/A | 14.4 | N/A | N/A | N/A | 1.0
Baltijos tyrimai | ELTA | 2024-02-22 | 2024-03-05 | N | 1021 | 77.2 | 0.1 | 11.3 | 12.7 | 22.3 | 4.8 | N/A | 3.2 | 5.8 | N/A | N/A | N/A | 4.7 | 4.3 | 3.2 | 15.3 | N/A | N/A | N/A | N/A
Spinter tyrimai | Delfi | 2024-02-18 | 2024-02-25 | N | 1017 | N/A | 0.1 | 7 | 10.7 | 14.9 | 5.9 | N/A | N/A | 3.2 | N/A | N/A | N/A | N/A | 3.8 | N/A | 5.6 | N/A | N/A | N/A | N/A
Vilmorus | N/A | 2024-02-08 | 2024-02-17 | N | 1002 | 64.1 | 0.1 | 13.6 | 17.6 | 29.6 | 7.0 | N/A | 1.7 | 7.3 | N/A | N/A | N/A | 5.1 | 2.5 | N/A | 13.6 | N/A | N/A | N/A | 1.9
Baltijos tyrimai | ELTA | 2024-01-19 | 2024-01-29 | N | 1021 | 77.2 | 0.1 | 13.7 | 12.0 | 22.3 | 5.8 | N/A | N/A | 7.4 | N/A | N/A | N/A | 5.2 | 4.8 | 4.1 | 13.7 | N/A | N/A | N/A | N/A
Spinter tyrimai | Delfi | 2024-01-19 | 2024-01-26 | N | 1012 | 70.7 | 0.1 | 10.9 | 15.1 | 22.9 | 8.2 | N/A | N/A | 3.0 | N/A | N/A | N/A | N/A | 5.7 | N/A | 9.8 | 3.0 | N/A | N/A | 15.6
Baltijos tyrimai | LRT | 2023-12-15 | 2023-12-30 | N | 1017 | N/A | 0.1 | 13.4 | 14.1 | 21.0 | 7.9 | N/A | 3.3 | 7.1 | 2.0 | N/A | N/A | 5.0 | 4.4 | 3.9 | 17.1 | N/A | N/A | N/A | N/A
Spinter tyrimai | Delfi | 2023-12-15 | 2023-12-23 | N | 1012 | 67.8 | 0.1 | 13.9 | 15.9 | 24.0 | 9.1 | N/A | 2.9 | 3.2 | N/A | N/A | N/A | 2.9 | 7.8 | 3.8 | 9.0 | N/A | N/A | N/A | 7.2
Vilmorus | N/A | 2023-11-22 | 2023-12-02 | N | 1000 | 60.7 | 0.1 | 12.5 | 12.7 | 32.8 | 5.9 | N/A | 2.0 | 5.9 | 3.6 | N/A | N/A | 5.1 | 4.6 | N/A | 12.4 | N/A | N/A | N/A | 2.5
Spinter tyrimai | Delfi | 2023-11-17 | 2023-11-29 | N | 1015 | N/A | 0.1 | 12.7 | 15.4 | 21.9 | 10.5 | N/A | 3.2 | N/A | N/A | N/A | N/A | 4.1 | 5.2 | 4.0 | 6.3 | N/A | N/A | N/A | N/A
Baltijos tyrimai | LRT | 2023-11-16 | 2023-11-27 | N | 1018 | N/A | 0.1 | 15.5 | 11.5 | 23.4 | 8.4 | N/A | 2.8 | 7.0 | 2.8 | N/A | N/A | 5.7 | 2.8 | N/A | 14.8 | N/A | N/A | N/A | N/A
Vilmorus | N/A | 2023-11-09 | 2023-11-19 | N | N/A | 63.2 | 0.1 | 12.2 | 12.7 | 32.1 | 9.0 | N/A | 2.1 | 4.4 | 3.8 | N/A | N/A | 3.8 | 3.0 | 4.3 | 10.6 | N/A | N/A | N/A | 2.2
Baltijos tyrimai | LRT | 2023-10-23 | 2023-11-07 | N | 1013 | N/A | 0.1 | 14.1 | 11.9 | 25.9 | 9.9 | N/A | 1.4 | 9.7 | 1.4 | N/A | N/A | 4.6 | 2.8 | 3.5 | 13.6 | N/A | N/A | N/A | N/A
