Polling Firm | Commissioners | Fieldwork Start | Fieldwork End | Scope | Sample Size | Participation | Precision | CSV | LSAP | DG | DP | ADR | DL | PPLU | KPL | PID | DK | DEM | VOLT | FOKUS | Other
Ilres | Luxemburger Wort and RTL | 2023-08-07 | 2023-08-16 | N | 1887 | N/A | 0.1 | 28.3 | 19.8 | 10.7 | 17.4 | 6.9 | 5.0 | 9.6 | 0.4 | N/A | 0.1 | 0.0 | 0.0 | 1.1 | N/A
TNS Ilres | Luxemburger Wort and RTL | 2023-03-23 | 2023-04-06 | N | 1885 | N/A | 0.1 | 27.1 | 17.9 | 12.8 | 17.1 | 7.5 | 4.3 | 10.0 | 0.5 | N/A | 0.0 | 0.3 | 0.4 | 2.0 | N/A
TNS Ilres | Luxemburger Wort and RTL | 2022-11-14 | 2022-11-28 | N | 1839 | N/A | 0.1 | 23.3 | 20.7 | 12.1 | 18.4 | 7.7 | 5.8 | 9.6 | 0.5 | N/A | 0.1 | 0.3 | 0.1 | 1.5 | N/A
TNS Ilres | Luxemburger Wort and RTL | 2022-05-24 | 2022-06-07 | N | 1868 | N/A | 0.1 | 23.0 | 18.0 | 13.7 | 18.1 | 7.6 | 5.6 | 9.7 | 0.4 | N/A | 0.2 | 0.3 | 0.5 | 2.9 | N/A
TNS Ilres | Luxemburger Wort and RTL | 2021-11-10 | 2021-11-24 | N | 1879 | N/A | 0.1 | 21.6 | 20.2 | 12.4 | 16.2 | 11.3 | 5.0 | 11.1 | 0.8 | N/A | 0.5 | 0.6 | 0.3 | N/A | N/A
TNS Ilres | Luxemburger Wort and RTL | 2021-06-09 | 2021-06-21 | N | 1857 | N/A | 0.1 | 24.6 | 17.8 | 13.4 | 19.3 | 7.6 | 7.0 | 8.0 | 1.0 | N/A | 0.2 | 0.6 | 0.5 | N/A | N/A
TNS Ilres | Luxemburger Wort and RTL | 2020-11-10 | 2020-11-24 | N | 1879 | N/A | 0.1 | 25.7 | 19.8 | 11.5 | 19.9 | 9.6 | 5.8 | 5.9 | 0.9 | N/A | 0.3 | 0.5 | 0.1 | N/A | N/A
TNS Ilres | Luxemburger Wort and RTL | 2020-06-08 | 2020-06-24 | N | 1811 | N/A | 0.1 | 27.5 | 16.4 | 13.4 | 20.6 | 8.2 | 7.3 | 4.8 | 1.1 | N/A | 0.2 | 0.3 | N/A | N/A | N/A
TNS Ilres | Luxemburger Wort and RTL | 2019-11-14 | 2019-11-23 | N | 1859 | N/A | 0.1 | 30.1 | 15.0 | 15.9 | 16.6 | 10.4 | 5.5 | 5.4 | 0.8 | N/A | 0.2 | 0.1 | N/A | N/A | N/A
TNS Ilres | Luxemburger Wort and RTL | 2017-12-01 | 2018-05-31 | N | 3521 | N/A | 1 | 43 | 15 | 12 | 17 | 8 | 5 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A
TNS Ilres | Luxemburger Wort and RTL | 2017-12-01 | 2017-12-01 | N | 1807 | N/A | 0.1 | 36.7 | 20.6 | 10.7 | 10.0 | 7.9 | 7.7 | 3.0 | 2.2 | 1.1 | N/A | N/A | N/A | N/A | N/A
Ifop | Tageblatt | 2017-10-09 | 2017-10-19 | N | 827 | N/A | 1 | 39 | 15 | 13 | 13 | 8 | 6 | 3 | 1 | 1 | N/A | N/A | N/A | N/A | 1
