Polling Firm | Commissioners | Fieldwork Start | Fieldwork End | Scope | Sample Size | Participation | Precision | PAS | BCS | ȘOR | PN | PPDA | PSDE | PDA | AUR | PDCM | PUN | MAN | Other
iData | N/A | 2024-03-18 | 2024-03-24 | N | 1131 | N/A | 0.1 | 36.3 | 27.6 | N/A | 4.7 | 1.9 | N/A | N/A | N/A | 3.3 | N/A | 1.6 | 3.1
IMAS | Independent News | 2024-02-09 | 2024-02-27 | N | 1091 | N/A | 0.1 | 38.4 | 28.7 | N/A | 4.6 | 1.6 | 0.8 | 1.5 | N/A | 4.0 | N/A | 2.2 | 2.7
IRI | N/A | 2024-01-27 | 2024-02-22 | N | 1247 | N/A | 0.1 | 36.5 | 28.4 | N/A | 4.0 | 1.4 | N/A | 1.4 | N/A | 4.0 | N/A | 5.4 | 5.4
CBS-Axa | IPP | 2024-02-07 | 2024-02-12 | N | 1104 | N/A | 0.1 | 34.3 | 29.3 | N/A | 4.7 | 1.5 | 2.2 | 2.6 | N/A | 3.8 | N/A | 1.5 | 8.0
iData | N/A | 2024-01-26 | 2024-01-30 | N | 1011 | N/A | 0.1 | 37.2 | 23.5 | N/A | 3.1 | 1.2 | 2.8 | N/A | N/A | 2.9 | N/A | 4.7 | 1.8
IMAS | N/A | 2023-11-29 | 2023-12-16 | N | 954 | N/A | 0.1 | 34.7 | 30.4 | N/A | 5.7 | 2.0 | 0.9 | 0.5 | N/A | 3.8 | N/A | 4.0 | 2.8
iData | N/A | 2023-12-02 | 2023-12-15 | N | 997 | N/A | 0.1 | 35.5 | 21.7 | N/A | 4.0 | 2.4 | 2.5 | 1.2 | N/A | 3.7 | N/A | 7.2 | 1.9
iData | N/A | 2023-10-22 | 2023-10-29 | N | 1322 | N/A | 0.1 | 35.6 | 22.1 | N/A | 4.6 | 2.1 | 3.3 | N/A | N/A | 5.1 | N/A | 5.2 | 1.0
iData | N/A | 2023-09-24 | 2023-09-30 | N | 1002 | N/A | 0.1 | 45.4 | 31.6 | N/A | 3.8 | 1.6 | 1.8 | N/A | N/A | 5.0 | N/A | 4.2 | 1.3
IMAS | N/A | 2023-09-02 | 2023-09-24 | N | 822 | N/A | 0.1 | 39.1 | 30.1 | N/A | 9.5 | 1.1 | 0.5 | 1.7 | N/A | 4.4 | N/A | 2.3 | 6.0
iData | N/A | 2023-08-31 | 2023-09-07 | N | 1021 | N/A | 0.1 | 49.4 | 29.6 | N/A | 3.4 | 1.8 | 1.0 | N/A | N/A | 5.6 | N/A | 3.0 | N/A
CBS-Axa | IPP | 2023-08-09 | 2023-08-23 | N | 1215 | N/A | 0.1 | 42.6 | 30.1 | N/A | 1.9 | 2.7 | 2.1 | N/A | N/A | 1.8 | N/A | 1.1 | 2.6
IPRE & CBS-Axa | N/A | 2023-06-13 | 2023-06-28 | N | 1120 | N/A | 0.1 | 44.0 | 25.7 | 15.5 | 4.5 | 1.7 | 1.6 | N/A | 0.5 | 1.1 | N/A | 1.3 | 4.2
Intellect Group | N/A | 2023-06-15 | 2023-06-19 | N | 1056 | N/A | 0.1 | 38.1 | 25.6 | 22.6 | 4.7 | N/A | N/A | N/A | N/A | 3.4 | N/A | 4.8 | 0.8
Watchdog & CBS-Axa | N/A | 2023-06-10 | 2023-06-19 | N | 1121 | N/A | 0.1 | 44.3 | 21.5 | 13.6 | 4.1 | 1.9 | 1.5 | N/A | N/A | 4.0 | N/A | 3.7 | 5.4
iData | N/A | 2023-05-23 | 2023-05-30 | N | 1032 | N/A | 0.1 | 38.5 | 24.2 | 25.1 | 1.9 | 1.4 | 0.8 | N/A | N/A | 2.7 | N/A | 2.1 | 3.3
iData | N/A | 2023-04-27 | 2023-05-08 | N | 1049 | N/A | 0.1 | 36.8 | 25.9 | 22.8 | 3.5 | 1.3 | 1.2 | N/A | N/A | 3.8 | N/A | 1.8 | 2.9
Watchdog & CBS-Axa | N/A | 2023-04-04 | 2023-04-13 | N | 1015 | N/A | 0.1 | 47.1 | 26.6 | 10.1 | 2.6 | 1.5 | 1.8 | N/A | N/A | 3.5 | N/A | 2.4 | 4.3
iData | N/A | 2023-03-15 | 2023-03-26 | N | 1065 | N/A | 0.1 | 38.4 | 27.1 | 16.1 | 1.9 | 2.8 | 1.3 | N/A | N/A | 2.7 | N/A | 5.4 | 4.4
Watchdog & CBS-Axa | N/A | 2023-02-24 | 2023-03-03 | N | 1000 | N/A | 0.1 | 46.5 | 31.7 | 10.4 | 2.8 | 1.1 | N/A | N/A | N/A | 2.3 | N/A | 2.0 | 3.1
iData | N/A | 2023-02-15 | 2023-02-24 | N | 1040 | N/A | 0.1 | 34.5 | 29.4 | 20.6 | 2.3 | 1.8 | 1.4 | N/A | N/A | 2.1 | N/A | 4.8 | 3.1
IMAS | N/A | 2023-02-06 | 2023-02-23 | N | 1100 | N/A | 0.1 | 32.3 | 34.4 | 14.6 | 5.4 | 1.6 | 0.2 | 1.8 | 0.4 | 3.1 | 0.1 | 4.6 | 1.5
Intellect Group | N/A | 2023-02-12 | 2023-02-22 | N | 1198 | N/A | 0.1 | 38.3 | 28.8 | 20.7 | 4.9 | N/A | N/A | N/A | N/A | N/A | N/A | 4.3 | 3.0
Watchdog & CBS-Axa | N/A | 2023-01-17 | 2023-01-26 | N | 1001 | N/A | 0.1 | 33.1 | 31.1 | 16.0 | 3.1 | 2.6 | N/A | N/A | 2.2 | 2.3 | N/A | 4.1 | 5.5
iData | N/A | 2022-12-15 | 2022-12-26 | N | 1006 | N/A | 0.1 | 34.7 | 33.8 | 16.3 | 0.5 | 3.3 | 0.7 | 0.4 | 0.4 | 1.7 | N/A | 5.5 | 2.9
Intellect Group | N/A | 2022-12-01 | 2022-12-20 | N | 1209 | N/A | 0.1 | 41.5 | 25.7 | 24.1 | 3.9 | N/A | N/A | N/A | N/A | N/A | N/A | 4.4 | 0.4
IMAS | N/A | 2022-11-10 | 2022-11-29 | N | 1100 | N/A | 0.1 | 34.8 | 33.7 | 16.9 | 3.1 | 1.4 | 1.1 | 1.5 | 0.3 | 2.6 | 0.3 | 3.1 | 1.2
IDIS, ISPRI and CBS Research | N/A | 2022-11-16 | 2022-11-23 | N | 1015 | N/A | 0.1 | 36.5 | 35.7 | 13.3 | 3.3 | 3.3 | 2.2 | N/A | N/A | N/A | 0.4 | 2.2 | 3.1
IRI | N/A | 2022-10-01 | 2022-11-15 | N | 1233 | N/A | 0.1 | 36.4 | 30.3 | 15.2 | 3.0 | 1.5 | 1.5 | 1.5 | N/A | N/A | N/A | 4.5 | 6.1
CBS-Research | IPP | 2022-10-29 | 2022-11-10 | N | 1134 | N/A | 0.1 | 40.6 | 33.8 | 16.7 | N/A | 1.8 | 1.8 | N/A | N/A | 0.7 | 0.7 | 1.0 | 3.0
IDIS, ISPRI and CBS Research | N/A | 2022-09-29 | 2022-10-11 | N | 1066 | N/A | 0.1 | 38.7 | 36.9 | 12.8 | 2.3 | 2.8 | 1.4 | N/A | N/A | 1.0 | N/A | 1.0 | 3.2
iData | N/A | 2022-10-04 | 2022-10-10 | N | 1020 | N/A | 0.1 | 31.5 | 28.9 | 27.2 | 1.1 | 5.1 | N/A | N/A | N/A | 1.1 | N/A | 2.1 | 3.2
Intellect Group | N/A | 2022-04-16 | 2022-09-25 | N | 1088 | N/A | 0.1 | 33.4 | 43.9 | 16.3 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 6.4
iData | N/A | 2022-09-03 | 2022-09-12 | N | 1012 | N/A | 0.1 | 29.7 | 31.9 | 25.6 | 1.2 | 4.4 | N/A | N/A | N/A | 1.8 | N/A | 3.5 | 1.8
