Polling Firm | Commissioners | Fieldwork Start | Fieldwork End | Scope | Sample Size | Participation | Precision | DPS | DF | DCG | SNP | DEMOS | SDP | BS | SD | URA | FORCA | ASh | Prava | UCG | Dsi | LSh | ЗБЦГ | MjNN | CnB | UDSH | LP | PD | DNP | NSD | PzP | DP | PES! | Civis | Other
CeDem | N/A | 2023-05-01 | 2023-05-31 | N | N/A | N/A | 0.1 | 24.1 | N/A | 11.1 | 2.1 | N/A | 2.2 | 5.1 | 1.9 | 4.4 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 29.1 | N/A | 5.2
NSPM | N/A | 2023-05-19 | 2023-05-28 | N | 1000 | N/A | 0.1 | N/A | N/A | N/A | N/A | N/A | N/A | 4.3 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 32.5 | N/A | 8.3
Redfield & Wilton Strategies | N/A | 2023-04-10 | 2023-04-14 | N | 1108 | N/A | 1 | 20 | N/A | 6 | 1 | N/A | 1 | 1 | 1 | 6 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 44 | N/A | 3
CeDem | N/A | 2023-01-17 | 2023-02-17 | N | 3700 | N/A | 0.1 | 28.9 | N/A | 13.3 | 1.4 | 0.4 | 3.9 | 4.0 | 2.9 | 4.5 | N/A | 2.4 | 0.6 | 0.6 | N/A | N/A | N/A | N/A | N/A | 0.4 | 0.1 | N/A | N/A | N/A | N/A | 0.9 | 17.4 | N/A | 2.0
CeDem | N/A | 2023-01-17 | 2023-02-17 | N | 3700 | N/A | 0.1 | N/A | N/A | N/A | N/A | N/A | N/A | 4.6 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 3.6 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 18.2 | N/A | N/A
CeDem | N/A | 2022-12-02 | 2022-12-17 | N | N/A | N/A | 0.1 | 27.7 | N/A | 13.1 | 3.2 | 0.4 | 3.3 | 4.1 | 2.9 | 4.9 | 0.8 | 1.3 | 1.1 | 0.9 | N/A | N/A | N/A | N/A | N/A | 1.7 | 0.4 | N/A | N/A | N/A | N/A | 2.2 | 15.2 | 0.4 | 0.8
Datapraxis and Ipsos | N/A | 2022-09-20 | 2022-09-26 | N | 1236 | N/A | 0.1 | 31.8 | N/A | 9.4 | 2.3 | 1.6 | 6.2 | 3.2 | 2.0 | N/A | N/A | 0.7 | 0.9 | 2.1 | N/A | N/A | N/A | N/A | 10.2 | N/A | 1.3 | N/A | N/A | N/A | N/A | N/A | 13.6 | N/A | 2.4
CeDem | N/A | 2022-06-11 | 2022-06-27 | N | 1026 | 71.5 | 0.1 | 28.2 | N/A | 14.9 | 3.8 | N/A | 3.4 | 3.3 | 2.6 | 4.8 | N/A | 2.3 | 1.6 | 1.0 | N/A | N/A | N/A | N/A | N/A | 1.8 | N/A | N/A | N/A | N/A | N/A | N/A | 10.9 | N/A | 6.1
RMA | N/A | 2022-05-14 | 2022-05-22 | N | 1570 | N/A | 0.1 | 23.5 | N/A | 12.4 | 8.5 | 1.5 | 5.8 | 6.4 | 2.8 | 9.2 | N/A | N/A | 2.3 | 2.0 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 3.7 | N/A | 4.0
NSPM | N/A | 2022-01-25 | 2022-01-31 | N | N/A | N/A | 0.1 | N/A | N/A | 17.1 | 2.8 | 1.2 | 5.6 | 3.7 | 2.2 | 7.8 | N/A | 2.1 | 2.5 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 11.0 | N/A | N/A | 2.6
CeDem | N/A | 2021-10-01 | 2021-10-11 | N | 1022 | 71.0 | 0.1 | 30.5 | N/A | N/A | 2.9 | N/A | 4.3 | 6.1 | 2.4 | 6.2 | N/A | 2.4 | 1.8 | 2.0 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1.7
Cuvamo Nase | Borba | 2021-09-30 | 2021-10-08 | N | 1100 | N/A | 0.1 | 28.7 | N/A | 16.2 | 4.1 | 2.8 | 1.9 | 5.1 | 3.8 | 3.1 | N/A | N/A | 2.1 | N/A | N/A | 1.6 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A
CeDem | N/A | 2021-06-18 | 2021-06-26 | N | 1015 | 69.4 | 0.1 | 29.6 | N/A | 17.5 | 3.3 | 1.5 | 2.9 | 4.2 | 3.2 | 6.1 | 1.0 | 1.7 | 1.8 | 1.2 | N/A | N/A | N/A | N/A | N/A | 1.1 | N/A | N/A | N/A | N/A | N/A | 4.7 | N/A | N/A | 2.2
