Polling Firm | Commissioners | Fieldwork Start | Fieldwork End | Scope | Sample Size | Participation | Precision | VMRO–DPMNE | SDSM | BDI | ASH | Levica | BESA | A | PDSH | DOM | LDP | DIMI | Other
IPDV | N/A | 2023-11-05 | 2023-11-09 | N | 1050 | 54.7 | 0.1 | 35.6 | 23.0 | 9.7 | 8.2 | 5.9 | 4.4 | 1.6 | N/A | N/A | N/A | N/A | N/A
IPIS | N/A | 2023-10-25 | 2023-10-27 | N | 1055 | N/A | 0.1 | 39.2 | 21.8 | 10.8 | 3.9 | 6.8 | 4.4 | 3.5 | N/A | N/A | N/A | 5.6 | N/A
Kantar TNS Brima | N/A | 2023-06-01 | 2023-06-21 | N | 1211 | N/A | 0.1 | 35.7 | 24.9 | 10.8 | 5.9 | 4.6 | 8.8 | 0.7 | 2.4 | 0.2 | 0.5 | N/A | N/A
IPIS | N/A | 2023-05-23 | 2023-05-26 | N | 1112 | N/A | 0.1 | 38.2 | 24.6 | 12.4 | 5.0 | 6.3 | 4.4 | N/A | N/A | N/A | N/A | 5.7 | 0.8
НДИ | N/A | 2023-04-13 | 2023-04-14 | N | 1003 | N/A | 0.1 | 39.6 | 25.6 | 11.4 | 6.3 | 5.3 | 6.6 | N/A | N/A | N/A | N/A | 3.1 | 2.1
IPIS | N/A | 2023-03-01 | 2023-03-31 | N | 1114 | N/A | 0.1 | 39.2 | N/A | N/A | 4.9 | 8.1 | 8.5 | N/A | N/A | N/A | N/A | 9.2 | N/A
ИДСЦС | N/A | 2023-02-22 | 2023-03-09 | N | 1002 | N/A | 1 | 38 | 27 | 18 | 7 | 9 | 2 | N/A | N/A | N/A | N/A | N/A | N/A
МКД.мк | N/A | 2023-02-06 | 2023-02-16 | N | 1200 | N/A | 0.1 | 39.2 | 22.3 | 14.7 | 6.7 | 8.1 | 4.1 | N/A | N/A | N/A | N/A | N/A | 3.4
ИРИ | N/A | 2022-12-19 | 2022-12-19 | N | 1200 | N/A | 0.1 | 33.3 | 16.3 | 13.3 | 7.8 | 12.3 | 7.0 | N/A | N/A | N/A | N/A | N/A | 8.8
IPIS | N/A | 2022-12-11 | 2022-12-14 | N | 1117 | N/A | 0.1 | 38.3 | 25.1 | 11.7 | 5.6 | 7.6 | 4.3 | 1.8 | N/A | N/A | N/A | N/A | N/A
МКД.мк | N/A | 2022-11-07 | 2022-11-13 | N | 1200 | N/A | 0.1 | 40.5 | 20.1 | 13.5 | 3.9 | 8.8 | 7.2 | 3.5 | 0.7 | N/A | N/A | N/A | 1.1
IPIS | N/A | 2022-05-04 | 2022-05-06 | N | 1111 | N/A | 0.1 | 39.4 | 30.1 | 13.4 | 7.1 | 5.4 | 2.8 | 1.9 | N/A | N/A | N/A | N/A | N/A
IPIS | N/A | 2021-10-19 | 2021-10-22 | N | 1102 | N/A | 0.1 | 37.7 | 28.9 | 11.0 | N/A | 6.6 | 2.6 | N/A | N/A | N/A | N/A | N/A | N/A
Kantar TNS Brima | N/A | 2021-08-27 | 2021-09-09 | N | 1201 | N/A | 0.1 | 27.6 | 30.8 | 11.4 | 9.5 | 7.4 | 7.4 | N/A | 1.7 | N/A | N/A | N/A | N/A
Kantar TNS Brima | N/A | 2021-05-28 | 2021-06-16 | N | 1194 | N/A | 0.1 | 28.5 | 33.0 | 11.0 | 10.3 | 7.5 | 6.8 | N/A | 2.8 | N/A | N/A | N/A | N/A
Kantar TNS Brima | N/A | 2021-03-04 | 2021-04-06 | N | 1222 | N/A | 0.1 | 27.9 | 27.9 | 11.5 | 9.8 | 8.2 | 6.6 | N/A | 1.6 | N/A | N/A | N/A | N/A
IPIS | N/A | 2021-03-01 | 2021-03-04 | N | 1109 | N/A | 0.1 | 34.7 | 31.9 | 10.4 | N/A | 6.6 | 1.7 | N/A | N/A | N/A | N/A | N/A | N/A
M-Prospect | MCMS and Telma | 2020-12-16 | 2020-12-24 | N | 1000 | N/A | 0.1 | 30.8 | 31.7 | 11.4 | 7.8 | 10.6 | 4.1 | 0.9 | 2.4 | N/A | N/A | N/A | N/A
