Polling Firm | Commissioners | Fieldwork Start | Fieldwork End | Scope | Sample Size | Participation | Precision | PL | PN | AD | PD | MPM | ADPD | Other
MaltaToday | N/A | 2023-11-28 | 2023-12-06 | N | 650 | 69.8 | 0.1 | 47.3 | 43.1 | N/A | N/A | N/A | N/A | 9.6
Esprimi | Times of Malta | 2023-10-14 | 2023-10-26 | N | 600 | 72.2 | 0.1 | 50.0 | 44.8 | N/A | N/A | N/A | N/A | 5.2
MaltaToday | N/A | 2023-09-25 | 2023-10-04 | N | 657 | 69 | 0.1 | 43.8 | 45.8 | N/A | N/A | N/A | N/A | 10.4
Malta Survey | Independent | 2023-09-01 | 2023-09-08 | N | 1600 | 79.7 | 0.1 | 43.8 | 44.3 | N/A | N/A | N/A | 6.1 | 5.8
MaltaToday | N/A | 2023-07-10 | 2023-07-20 | N | 749 | 63.5 | 0.1 | 46.6 | 47.6 | N/A | N/A | N/A | 1.9 | 1.9
MaltaToday | N/A | 2023-05-10 | 2023-05-19 | N | 574 | 64.5 | 0.1 | 51.3 | 44.5 | N/A | N/A | N/A | 0.6 | 1.1
Esprimi | Times of Malta | 2023-03-09 | 2023-03-16 | N | 600 | N/A | 0.1 | 51.6 | 42.9 | N/A | N/A | N/A | N/A | 5.5
MaltaToday | N/A | 2023-03-03 | 2023-03-10 | N | 574 | 65.2 | 0.1 | 47.2 | 43.6 | N/A | N/A | N/A | 3.2 | 4.0
MaltaToday | N/A | 2023-01-24 | 2023-02-01 | N | 646 | 65.6 | 0.1 | 59.0 | 34.8 | N/A | N/A | N/A | 1.1 | 3.0
MaltaToday | N/A | 2022-11-22 | 2022-12-01 | N | 650 | 64.6 | 0.1 | 57.1 | 38.0 | N/A | N/A | N/A | 3.6 | 1.3
MaltaToday | N/A | 2022-09-13 | 2022-09-30 | N | 647 | 62.6 | 0.1 | 62.1 | 31.4 | N/A | N/A | N/A | 5.0 | 1.4
MaltaToday | N/A | 2022-07-06 | 2022-07-14 | N | 656 | 71.4 | 0.1 | 59.4 | 36.5 | N/A | N/A | N/A | 2.8 | 1.3
MaltaToday | N/A | 2022-05-16 | 2022-05-25 | N | 656 | 77.4 | 0.1 | 57.7 | 37.8 | N/A | N/A | N/A | 3.7 | 0.8
Sagalytics | N/A | 2022-03-24 | 2022-03-24 | N | N/A | N/A | 0.1 | 55.9 | 42.8 | N/A | N/A | N/A | N/A | 1.3
MaltaToday | N/A | 2022-03-21 | 2022-03-24 | N | 2955 | N/A | 0.5 | 53.5 | 44.5 | N/A | N/A | N/A | N/A | 2.0
MaltaToday | N/A | 2022-03-23 | 2022-03-23 | N | N/A | N/A | 0.1 | 53.3 | 44.7 | N/A | N/A | N/A | N/A | 2.0
MaltaToday | N/A | 2022-03-22 | 2022-03-22 | N | N/A | N/A | 0.1 | 53.3 | 44.6 | N/A | N/A | N/A | N/A | 2.1
MaltaToday | N/A | 2022-03-21 | 2022-03-21 | N | N/A | N/A | 0.1 | 53.8 | 44.4 | N/A | N/A | N/A | N/A | 1.9
Sagalytics | N/A | 2022-03-21 | 2022-03-21 | N | N/A | N/A | 0.1 | 55.6 | 43.0 | N/A | N/A | N/A | N/A | 1.4
Esprimi | Times of Malta | 2022-03-20 | 2022-03-20 | N | 600 | N/A | 0.1 | 55.1 | 43.5 | N/A | N/A | N/A | N/A | 1.4
MaltaToday | N/A | 2022-03-17 | 2022-03-17 | N | N/A | N/A | 0.1 | 53.3 | 44.7 | N/A | N/A | N/A | N/A | 2.0
MaltaToday | N/A | 2022-03-15 | 2022-03-15 | N | N/A | N/A | 0.1 | 52.9 | 45.1 | N/A | N/A | N/A | N/A | 2.0
MaltaToday | N/A | 2022-03-13 | 2022-03-13 | N | N/A | N/A | 0.1 | 53.2 | 44.8 | N/A | N/A | N/A | N/A | 2.0
Sagalytics | N/A | 2022-03-13 | 2022-03-13 | N | N/A | N/A | 0.1 | 55.5 | 42.7 | N/A | N/A | N/A | N/A | 1.8
MaltaToday | N/A | 2022-03-03 | 2022-03-09 | N | N/A | N/A | 0.1 | 53.2 | 44.8 | N/A | N/A | N/A | N/A | 2.0
MaltaToday | N/A | 2022-03-02 | 2022-03-08 | N | N/A | N/A | 0.1 | 53.0 | 44.8 | N/A | N/A | N/A | N/A | 1.8
MaltaToday | N/A | 2022-03-01 | 2022-03-07 | N | 1000 | N/A | 0.1 | 52.7 | 42.3 | N/A | N/A | N/A | 0.4 | 4.6
MaltaToday | N/A | 2022-02-21 | 2022-03-04 | N | 1220 | N/A | 0.1 | 55.0 | 44.1 | N/A | N/A | N/A | N/A | 0.9
Sagalytics | N/A | 2022-02-26 | 2022-03-03 | N | 1000 | N/A | 0.1 | 55.2 | 43.0 | N/A | N/A | 0.0 | N/A | 1.8
MaltaToday | N/A | 2022-02-21 | 2022-02-26 | N | 597 | N/A | 0.1 | 53.3 | 44.9 | N/A | N/A | N/A | 0.1 | 1.6
Sagalytics | N/A | 2022-02-22 | 2022-02-25 | N | N/A | N/A | 0.1 | 55.9 | 42.5 | N/A | N/A | 0.0 | 1.6 | 0.0
Esprimi | Times of Malta | 2022-02-14 | 2022-02-24 | N | 600 | N/A | 0.1 | 56.2 | 42.4 | N/A | N/A | N/A | N/A | 1.4
MaltaToday | N/A | 2022-01-31 | 2022-02-04 | N | 643 | N/A | 0.1 | 56.4 | 41.4 | N/A | N/A | N/A | 2.2 | N/A
Sagalytics | N/A | 2022-01-28 | 2022-02-02 | N | N/A | N/A | 0.1 | 56.0 | 42.4 | N/A | N/A | N/A | 1.6 | 0.0
MaltaToday | N/A | 2022-01-05 | 2022-01-12 | N | 647 | N/A | 0.1 | 59.6 | 39.2 | N/A | N/A | N/A | 1.2 | N/A
MaltaToday | N/A | 2021-11-26 | 2021-12-02 | N | 652 | N/A | 0.1 | 58.9 | 41.0 | N/A | N/A | N/A | 0.1 | N/A
MaltaToday | N/A | 2021-10-28 | 2021-11-03 | N | 852 | N/A | 0.1 | 58.6 | 40.3 | N/A | N/A | N/A | 1.1 | N/A
MaltaToday | N/A | 2021-09-27 | 2021-10-06 | N | 647 | N/A | 0.1 | 59.9 | 37.9 | N/A | N/A | N/A | 2.2 | N/A
MaltaToday | N/A | 2021-08-25 | 2021-09-02 | N | 651 | N/A | 0.1 | 57.6 | 40.8 | N/A | N/A | N/A | 1.6 | 0.0
MaltaToday | N/A | 2021-06-28 | 2021-07-06 | N | 651 | N/A | 0.1 | 57.3 | 41.3 | N/A | N/A | N/A | 1.4 | 0.0
MaltaToday | N/A | 2021-05-31 | 2021-06-04 | N | 650 | N/A | 0.1 | 60.3 | 38.7 | N/A | N/A | N/A | 1.1 | 0.0
MaltaToday | N/A | 2021-05-03 | 2021-05-07 | N | 649 | N/A | 0.1 | 59.5 | 39.8 | N/A | N/A | N/A | 0.7 | 0.0
MaltaToday | N/A | 2021-04-05 | 2021-04-09 | N | 647 | N/A | 0.1 | 53.7 | 45.8 | N/A | N/A | N/A | 0.5 | 0.0
MaltaToday | N/A | 2021-03-01 | 2021-03-05 | N | 649 | N/A | 0.1 | 53.3 | 44.4 | N/A | N/A | N/A | 2.3 | 0.0
MaltaToday | N/A | 2021-02-01 | 2021-02-05 | N | 649 | N/A | 0.1 | 55.0 | 44.2 | N/A | N/A | N/A | 0.8 | N/A
MaltaToday | N/A | 2020-11-30 | 2020-12-04 | N | 641 | N/A | 0.1 | 58.4 | 41.2 | N/A | N/A | N/A | 0.4 | N/A
MaltaToday | N/A | 2020-11-02 | 2020-11-06 | N | 654 | N/A | 0.1 | 57.3 | 41.9 | N/A | N/A | N/A | 0.9 | N/A
Sagalytics | N/A | 2020-10-08 | 2020-10-15 | N | 600 | N/A | 1 | 56 | 42 | N/A | N/A | N/A | 2 | N/A
MaltaToday | N/A | 2020-10-05 | 2020-10-09 | N | 654 | N/A | 0.1 | 56.4 | 42.0 | N/A | N/A | N/A | 1.3 | N/A
Sagalytics | N/A | 2020-09-14 | 2020-09-18 | N | 600 | N/A | 1 | 59 | 39 | 2 | N/A | N/A | N/A | N/A
MaltaToday | N/A | 2020-08-31 | 2020-09-04 | N | 655 | N/A | 0.1 | 65.3 | 34.1 | N/A | 0.6 | N/A | N/A | N/A
Sagalytics | N/A | 2020-08-03 | 2020-08-07 | N | 600 | N/A | 1 | 56 | 41 | 3 | N/A | N/A | N/A | N/A
