Polling Firm | Commissioners | Fieldwork Start | Fieldwork End | Scope | Sample Size | Participation | Precision | VVD | D66 | PVV | CDA | GL | SP | PvdA | PvdD | CU | P50+ | SGP | FVD | DENK | PPNL | PvdT | CO | JA21 | BIJ1 | Volt | BBB | Splinter | BVNL | NSC | Other
Peil.nl | N/A | 2023-11-03 | 2023-11-04 | N | 3000 | N/A | 1 | 17 | 5 | 13 | 3 | N/A | 3 | N/A | 3 | 3 | 0 | 1 | 3 | 2 | N/A | N/A | N/A | 1 | 1 | 3 | 6 | N/A | 1 | 20 | 0
Ipsos | EenVandaag | 2023-10-27 | 2023-10-30 | N | 1924 | N/A | 1 | 19 | 5 | 11 | 3 | N/A | 3 | N/A | 5 | 3 | 0 | 2 | 3 | 3 | N/A | N/A | N/A | 1 | 1 | 2 | 8 | N/A | 0 | 17 | 0
Peil.nl | N/A | 2023-10-27 | 2023-10-28 | N | 3000 | N/A | 1 | 17 | 5 | 13 | 3 | N/A | 3 | N/A | 3 | 3 | 0 | 1 | 3 | 2 | N/A | N/A | N/A | 1 | 0 | 3 | 6 | N/A | 1 | 21 | 0
I&O Research | N/A | 2023-10-22 | 2023-10-24 | N | 1541 | N/A | 0.1 | 16.5 | 4.0 | 11.9 | 2.7 | N/A | 2.7 | N/A | 4.4 | 2.4 | 0.5 | 2.3 | 2.8 | 2.2 | N/A | N/A | N/A | 1.3 | 0.3 | 3.6 | 7.2 | N/A | 0.3 | 17.4 | 0.5
Peil.nl | N/A | 2023-10-20 | 2023-10-21 | N | 3000 | N/A | 1 | 17 | 5 | 13 | 3 | N/A | 3 | N/A | 3 | 3 | 0 | 1 | 3 | 2 | N/A | N/A | N/A | 1 | 0 | 3 | 7 | N/A | 1 | 19 | 0
Ipsos | EenVandaag | 2023-10-13 | 2023-10-16 | N | 1013 | N/A | 0.1 | 17.9 | 4.8 | 11.5 | 2.9 | N/A | 3.9 | N/A | 4.4 | 3.1 | 0.4 | 2.0 | 3.0 | 3.1 | N/A | N/A | N/A | 1.3 | 1.0 | 1.9 | 7.6 | N/A | N/A | 17.4 | 1.3
Peil.nl | N/A | 2023-10-13 | 2023-10-14 | N | 3000 | N/A | 1 | 17 | 5 | 13 | 4 | N/A | 3 | N/A | 3 | 3 | 0 | 1 | 3 | 1 | N/A | N/A | N/A | 1 | 0 | 3 | 8 | N/A | 1 | 19 | 0
I&O Research | N/A | 2023-10-06 | 2023-10-09 | N | 2293 | N/A | 0.1 | 16.8 | 3.9 | 11.6 | 3.4 | N/A | 3.4 | N/A | 4.1 | 1.9 | 0.5 | 2.3 | 3.6 | 2.4 | N/A | N/A | N/A | 1.6 | 0.3 | 3.0 | 7.5 | N/A | 0.6 | 16.5 | 0.5
Peil.nl | N/A | 2023-10-06 | 2023-10-07 | N | 3000 | N/A | 1 | 17 | 5 | 13 | 4 | N/A | 3 | N/A | 3 | 3 | 0 | 1 | 3 | 1 | N/A | N/A | N/A | 1 | 0 | 3 | 9 | N/A | 1 | 19 | 0
I&O Research | N/A | 2023-09-22 | 2023-09-25 | N | 1414 | N/A | 0.1 | 17.3 | 3.7 | 11.5 | 3.4 | N/A | 3.6 | N/A | 4.0 | 2.6 | 0.4 | 2.6 | 3.0 | 1.7 | N/A | N/A | N/A | 1.0 | 0.3 | 2.3 | 7.8 | N/A | 0.6 | 16.0 | 0.3
