Polling Firm | Commissioners | Fieldwork Start | Fieldwork End | Scope | Sample Size | Participation | Precision | H | Ap | FrP | Sp | SV | V | KrF | MDG | R | ND | INP | Lib | Pp | K | Kp | Hp | FP | Other
InFact | Nettavisen | 2023-12-13 | 2023-12-13 | N | 1161 | N/A | 0.1 | 24.5 | 18.9 | 14.2 | 7.8 | 9.7 | 6.0 | 3.3 | 3.5 | 5.7 | 0.2 | 4.7 | 0.1 | 0.1 | 0.1 | N/A | N/A | 0.1 | 1.1
Respons Analyse | VG | 2023-12-07 | 2023-12-12 | N | 1000 | N/A | 0.1 | 26.5 | 18.2 | 12.3 | 6.2 | 11.7 | 5.6 | 4.2 | 3.6 | 4.9 | N/A | 4.2 | 0.1 | 0.5 | 0.3 | N/A | N/A | N/A | 1.8
Norstat | Dagbladet and Vårt Land | 2023-12-04 | 2023-12-08 | N | 987 | 74.0 | 0.1 | 27.3 | 17.9 | 12.2 | 6.5 | 12.0 | 5.5 | 3.7 | 4.8 | 6.0 | N/A | 2.9 | N/A | N/A | N/A | N/A | N/A | N/A | 1.6
Norfakta | Klassekampen and Nationen | 2023-12-05 | 2023-12-06 | N | 1005 | N/A | 0.1 | 25.0 | 17.7 | 16.0 | 5.5 | 10.8 | 5.9 | 3.8 | 3.7 | 5.4 | N/A | 3.4 | N/A | N/A | N/A | N/A | N/A | N/A | 2.7
Opinion Perduco | Dagsavisen, Fagbladet and FriFagbevegelse | 2023-11-28 | 2023-12-04 | N | 1000 | N/A | 0.1 | 23.9 | 19.9 | 14.2 | 7.4 | 9.9 | 6.1 | 3.8 | 3.3 | 4.9 | N/A | 3.5 | N/A | N/A | N/A | N/A | N/A | N/A | 3.1
Norstat | Aftenposten and NRK | 2023-11-27 | 2023-12-01 | N | 1000 | N/A | 0.1 | 26.3 | 18.6 | 13.6 | 6.1 | 11.4 | 4.0 | 4.7 | 3.9 | 3.8 | 1.0 | 4.1 | N/A | 0.8 | N/A | N/A | N/A | N/A | 0.7
Verian | TV2 | 2023-11-27 | 2023-12-01 | N | 989 | N/A | 0.1 | 25.4 | 20.9 | 11.0 | 7.9 | 10.8 | 4.7 | 3.1 | 2.6 | 6.4 | N/A | 4.4 | N/A | N/A | N/A | N/A | N/A | N/A | 2.9
Opinion Perduco | ABC Nyheter and Altinget | 2023-11-21 | 2023-11-25 | N | 1000 | 74 | 0.1 | 25.5 | 17.6 | 13.1 | 5.0 | 10.2 | 7.2 | 4.3 | 4.0 | 6.8 | 0.8 | 3.9 | 0.1 | 0.3 | 0.9 | N/A | N/A | N/A | 0.4
Respons Analyse | VG | 2023-11-08 | 2023-11-13 | N | 1000 | N/A | 0.1 | 26.9 | 18.4 | 13.3 | 6.4 | 9.3 | 6.8 | 4.7 | 3.5 | 5.4 | N/A | 3.6 | N/A | N/A | N/A | N/A | N/A | N/A | 1.7
Norfakta | Klassekampen and Nationen | 2023-11-07 | 2023-11-08 | N | 1038 | N/A | 0.1 | 27.2 | 22.2 | 11.1 | 6.5 | 10.3 | 5.5 | 3.7 | 2.9 | 4.9 | N/A | 3.5 | N/A | N/A | N/A | N/A | N/A | N/A | 2.2
Opinion Perduco | Dagsavisen, Fagbladet and FriFagbevegelse | 2023-11-07 | 2023-11-07 | N | 1000 | N/A | 0.1 | 27.9 | 21.0 | 13.2 | 5.3 | 8.2 | 6.6 | 3.6 | 4.0 | 3.9 | N/A | 3.4 | 0.4 | 0.7 | 1.4 | N/A | N/A | N/A | 0.5
Verian | TV2 | 2023-11-03 | 2023-11-03 | N | 1000 | N/A | 0.1 | 27.5 | 16.8 | 12.1 | 6.2 | 9.9 | 6.2 | 4.7 | 4.7 | 5.6 | N/A | 4.3 | N/A | N/A | N/A | N/A | N/A | N/A | 2.1
InFact | Nettavisen | 2023-11-02 | 2023-11-02 | N | 1038 | N/A | 0.1 | 24.1 | 19.8 | 14.8 | 5.0 | 9.3 | 5.0 | 3.9 | 4.4 | 5.9 | N/A | 5.3 | N/A | N/A | N/A | N/A | N/A | N/A | 2.6
Opinion Perduco | ABC Nyheter and Altinget | 2023-10-24 | 2023-10-30 | N | 1000 | 73 | 0.1 | 26.3 | 18.0 | 13.3 | 5.9 | 11.0 | 5.8 | 3.8 | 4.4 | 4.9 | N/A | 3.7 | N/A | N/A | N/A | N/A | N/A | N/A | 2.9
Norstat | Aftenposten and NRK | 2023-10-23 | 2023-10-30 | N | 994 | N/A | 0.1 | 24.6 | 20.2 | 12.9 | 5.6 | 10.6 | 6.4 | 4.0 | 4.6 | 4.2 | N/A | 4.3 | N/A | N/A | N/A | N/A | N/A | N/A | 2.8
Opinion Perduco | Dagsavisen, Fagbladet and FriFagbevegelse | 2023-10-03 | 2023-10-09 | N | 1000 | N/A | 0.1 | 25.1 | 19.3 | 13.3 | 7.6 | 9.9 | 5.2 | 3.6 | 3.8 | 4.7 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 7.5
Norfakta | Klassekampen and Nationen | 2023-10-03 | 2023-10-04 | N | 1004 | 82 | 0.1 | 26.5 | 21.0 | 12.8 | 5.5 | 10.5 | 5.6 | 4.1 | 3.0 | 5.0 | N/A | 4.1 | 0.1 | 0.9 | 0.7 | N/A | N/A | N/A | 0.2
InFact | Nettavisen | 2023-10-02 | 2023-10-02 | N | 1045 | N/A | 0.1 | 25.0 | 20.7 | 14.0 | 5.8 | 8.6 | 5.3 | 4.2 | 4.0 | 5.2 | N/A | 4.0 | N/A | N/A | N/A | N/A | N/A | N/A | 3.3
