Polling Firm | Commissioners | Fieldwork Start | Fieldwork End | Scope | Sample Size | Participation | Precision | PS | PSD | BE | CDU | CDS–PP | PAN | A | L | IL | CH | Other
Intercampus | CMTV, Correio da Manhã and Negócios | 2023-11-07 | 2023-11-08 | N | 602 | N/A | 0.1 | 22.2 | 27.0 | 9.8 | 4.0 | 2.5 | 2.8 | N/A | 3.3 | 8.7 | 16.1 | 3.6
Aximage | Diário de Notícias, Jornal de Notícias and TSF Rádio Notícias | 2023-10-18 | 2023-10-24 | N | 805 | N/A | 0.1 | 28.6 | 24.9 | 7.1 | 3.8 | 1.6 | 4.8 | N/A | 2.9 | 6.7 | 14.6 | 5.0
Intercampus | CMTV, Correio da Manhã and Negócios | 2023-10-18 | 2023-10-23 | N | 604 | N/A | 0.1 | 27.3 | 27.9 | 7.3 | 4.4 | 1.7 | 3.5 | N/A | 1.5 | 9.0 | 12.7 | 4.7
Aximage | CNN Portugal and TVI | 2023-10-02 | 2023-10-05 | N | 601 | N/A | 0.1 | 29.3 | 25.6 | 7.1 | 4.3 | 2.6 | 3.6 | N/A | 2.8 | 5.3 | 13.6 | 5.8
ICS/ISCTE | Expresso and SIC Notícias | 2023-09-16 | 2023-09-25 | N | 804 | N/A | 1 | 31 | 25 | 6 | 6 | 2 | 2 | N/A | 2 | 3 | 13 | 10
Intercampus | CMTV, Correio da Manhã and Negócios | 2023-09-09 | 2023-09-14 | N | 614 | N/A | 0.1 | 30.0 | 28.6 | 6.4 | 4.3 | 0.8 | 2.1 | N/A | 2.3 | 9.3 | 12.8 | 3.4
Intercampus | CMTV | 2023-08-07 | 2023-08-11 | N | 607 | N/A | 0.1 | 27.9 | 26.6 | 8.0 | 3.7 | 1.1 | 3.4 | N/A | 2.8 | 8.3 | 13.4 | 4.8
CESOP–UCP | Público and RTP | 2023-07-06 | 2023-07-15 | N | 1006 | N/A | 1 | 32 | 33 | 7 | 4 | 1 | 1 | N/A | 2 | 7 | 10 | 3
Aximage | Diário de Notícias, Jornal de Notícias and TSF Rádio Notícias | 2023-07-06 | 2023-07-11 | N | 800 | N/A | 0.1 | 28.8 | 27.7 | 8.0 | 3.2 | 1.1 | 3.8 | N/A | 2.7 | 5.2 | 13.0 | 6.5
Intercampus | CMTV, Correio da Manhã and Negócios | 2023-07-03 | 2023-07-06 | N | 623 | N/A | 0.1 | 25.2 | 24.5 | 9.5 | 4.6 | 1.2 | 4.8 | N/A | 2.5 | 9.8 | 13.6 | 4.3
