Polling Firm | Commissioners | Fieldwork Start | Fieldwork End | Scope | Sample Size | Participation | Precision | PSD | USR(16) | PNL | ALDE | RMDSZ | PMP | PLUS | PRO | USR PLUS | AUR | PUSL | USR | PER | APP | FD | REPER | SOSRO | PV | Other
INSCOP | News.ro | 2023-11-20 | 2023-11-27 | N | 1100 | N/A | 0.1 | 30.2 | N/A | 20.1 | N/A | 4.9 | 1.3 | N/A | 2.0 | N/A | 19.5 | N/A | 11.9 | N/A | N/A | 0.6 | 0.3 | 5.2 | 1.9 | 1.3
INSCOP | News.ro | 2023-10-23 | 2023-11-02 | N | 1100 | N/A | 0.1 | 29.5 | N/A | 18.4 | N/A | 3.8 | 1.7 | N/A | 2.6 | N/A | 20.2 | N/A | 14.1 | N/A | N/A | 1.0 | 0.5 | 4.3 | 2.6 | 1.4
INSCOP | News.ro | 2023-09-15 | 2023-09-22 | N | 1550 | N/A | 0.1 | 29.1 | N/A | 20.4 | N/A | 4.6 | 1.7 | N/A | 1.5 | N/A | 22.4 | N/A | 11 | N/A | N/A | 1 | 0.7 | 3.1 | 2.7 | 1.8
CURS | N/A | 2023-09-12 | 2023-09-22 | N | 1008 | N/A | 1 | 31 | N/A | 19 | N/A | 4 | 4 | N/A | 2 | N/A | 18 | 4 | 11 | N/A | N/A | N/A | N/A | N/A | N/A | 7
INSOMAR | N/A | 2023-08-28 | 2023-08-31 | E | 1030 | N/A | 1 | 25 | N/A | 15 | N/A | 4 | 3 | N/A | N/A | N/A | 27 | 2 | 7 | N/A | N/A | 3 | N/A | 4 | N/A | 10
CURS | N/A | 2023-07-08 | 2023-07-20 | N | 1064 | N/A | 1 | 31 | N/A | 18 | N/A | 4 | 4 | N/A | 2 | N/A | 20 | 4 | 12 | N/A | N/A | N/A | N/A | N/A | N/A | 5
INSCOP | N/A | 2023-06-01 | 2023-06-30 | N | N/A | N/A | 0.1 | 28.7 | N/A | 18.0 | N/A | N/A | N/A | N/A | N/A | N/A | 20.1 | N/A | 12.7 | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Geeks for Democracy | N/A | 2023-05-01 | 2023-06-30 | N | 806 | N/A | 1 | 31 | N/A | 19 | N/A | 5 | N/A | N/A | N/A | N/A | 18 | N/A | 11 | N/A | N/A | N/A | N/A | N/A | N/A | 16
CURS | N/A | 2023-05-19 | 2023-05-27 | N | 1082 | N/A | 1 | 31 | N/A | 20 | N/A | 5 | 5 | N/A | N/A | N/A | 17 | 4 | 11 | N/A | N/A | N/A | N/A | N/A | N/A | 7
CURS | N/A | 2023-05-12 | 2023-05-17 | N | 1067 | N/A | 1 | 32 | N/A | 20 | N/A | 5 | 5 | N/A | N/A | N/A | 17 | 3 | 10 | N/A | N/A | N/A | N/A | N/A | N/A | 8
CURS | N/A | 2023-03-10 | 2023-03-20 | N | 1105 | N/A | 1 | 33 | N/A | 21 | N/A | 5 | 5 | N/A | N/A | N/A | 16 | 4 | 9 | N/A | N/A | N/A | N/A | N/A | N/A | 7
INSCOP | N/A | 2023-02-05 | 2023-02-19 | N | 3000 | N/A | 0.1 | 31.7 | N/A | 22.3 | N/A | 4.6 | 2.9 | N/A | 2.4 | N/A | 18.2 | N/A | 11.2 | N/A | N/A | N/A | N/A | N/A | 1.4 | 5.4
INSCOP | N/A | 2023-02-01 | 2023-02-13 | N | 1000 | N/A | 0.1 | 30.4 | N/A | 21.6 | N/A | 4.3 | 3.0 | N/A | 2.9 | N/A | 19.1 | N/A | 10.9 | 1.6 | N/A | 0.7 | 0.1 | N/A | 2.7 | 2.7
Atlas Intel | N/A | 2023-01-27 | 2023-01-30 | N | 2000 | N/A | 0.1 | 24.8 | N/A | 17.2 | N/A | 6.4 | 5.9 | N/A | 4.0 | N/A | 17.9 | N/A | 12.4 | N/A | N/A | 2.9 | 1.9 | N/A | N/A | 2.8
CURS | N/A | 2023-01-10 | 2023-01-20 | N | 1067 | N/A | 1 | 36 | N/A | 22 | N/A | 5 | 4 | N/A | 4 | N/A | 14 | 4 | 8 | N/A | N/A | N/A | N/A | N/A | N/A | 3
INSCOP | N/A | 2022-12-01 | 2022-12-31 | N | N/A | N/A | 0.1 | 31.5 | N/A | 20.2 | N/A | N/A | N/A | N/A | N/A | N/A | 18.1 | N/A | 10.9 | N/A | N/A | N/A | N/A | N/A | N/A | N/A
CURS | N/A | 2022-11-08 | 2022-11-22 | N | 1067 | N/A | 1 | 34 | N/A | 24 | N/A | 5 | 4 | N/A | N/A | N/A | 12 | 4 | 9 | N/A | N/A | N/A | N/A | N/A | N/A | 8
Sociopol | N/A | 2022-10-01 | 2022-10-31 | N | N/A | N/A | 1 | 36 | N/A | 19 | N/A | 4 | 2 | N/A | 2 | N/A | 14 | 0 | 11 | 3 | 0 | 1 | 4 | N/A | N/A | 4
CURS | N/A | 2022-09-08 | 2022-09-22 | N | 1015 | N/A | 1 | 35 | N/A | 22 | N/A | 5 | N/A | N/A | 4 | N/A | 15 | 4 | 8 | N/A | N/A | N/A | N/A | 2 | N/A | 6
Sociopol | N/A | 2022-08-01 | 2022-08-31 | N | N/A | N/A | 1 | 32 | N/A | 15 | N/A | 6 | N/A | N/A | N/A | N/A | 25 | N/A | 11 | N/A | N/A | N/A | N/A | N/A | N/A | 11
CURS | N/A | 2022-08-05 | 2022-08-17 | N | N/A | N/A | 1 | 32 | N/A | 23 | N/A | N/A | 4 | N/A | 2 | N/A | 13 | 4 | 10 | 3 | 3 | 2 | N/A | N/A | N/A | 4
Avangarde | N/A | 2022-07-22 | 2022-07-31 | N | 900 | N/A | 1 | 37 | N/A | 23 | N/A | 5 | 4 | N/A | 1 | N/A | 11 | 3 | 9 | N/A | 2 | 2 | 1 | N/A | N/A | 3
Avangarde | N/A | 2022-06-22 | 2022-06-30 | N | 903 | N/A | 1 | 35 | N/A | 20 | N/A | 5 | 5 | N/A | 2 | N/A | 12 | 4 | 9 | N/A | 2 | 2 | 2 | N/A | N/A | 4
CURS | N/A | 2022-05-16 | 2022-05-26 | N | 2750 | N/A | 1 | 35 | N/A | 23 | N/A | 5 | 6 | N/A | 3 | N/A | 10 | 4 | 9 | 2 | 2 | N/A | N/A | N/A | N/A | 4
Avangarde | N/A | 2022-04-12 | 2022-04-20 | N | 906 | N/A | 1 | 36 | N/A | 19 | N/A | 5 | N/A | N/A | N/A | N/A | 14 | N/A | 11 | N/A | N/A | N/A | N/A | N/A | N/A | 16
CURS | N/A | 2022-03-28 | 2022-04-11 | N | 2750 | N/A | 1 | 35 | N/A | 23 | N/A | 5 | 5 | N/A | 3 | N/A | 12 | 2 | 11 | N/A | 1 | 1 | N/A | N/A | N/A | 2
Avangarde | N/A | 2022-03-22 | 2022-03-29 | N | 900 | N/A | 1 | 35 | N/A | 16 | N/A | N/A | N/A | N/A | N/A | N/A | 15 | N/A | 12 | N/A | N/A | N/A | N/A | N/A | N/A | 22
CURS | N/A | 2022-03-02 | 2022-03-11 | N | 1172 | N/A | 1 | 36 | N/A | 20 | N/A | 5 | 4 | N/A | 2 | N/A | 14 | 4 | 8 | 2 | 2 | N/A | N/A | N/A | N/A | 3
INSCOP | N/A | 2022-03-02 | 2022-03-07 | N | 1077 | N/A | 0.1 | 32.0 | N/A | 19.9 | N/A | N/A | N/A | N/A | N/A | N/A | 18.9 | N/A | 10.8 | N/A | N/A | N/A | N/A | N/A | N/A | 18.4
Sociopol | N/A | 2022-02-09 | 2022-02-19 | N | 1001 | N/A | 1 | 35 | N/A | 16 | N/A | 6 | 1 | N/A | 2 | N/A | 22 | 0 | 13 | 0 | 2 | 1 | N/A | N/A | N/A | 0
Avangarde | N/A | 2022-01-20 | 2022-01-31 | N | 903 | N/A | 1 | 35 | N/A | 16 | N/A | N/A | N/A | N/A | N/A | N/A | 18 | N/A | 12 | N/A | N/A | N/A | N/A | N/A | N/A | 19
CURS | N/A | 2022-01-22 | 2022-01-29 | N | 1003 | N/A | 1 | 35 | N/A | 17 | N/A | 5 | 4 | N/A | 2 | N/A | 16 | 4 | 10 | 3 | 2 | 3 | N/A | N/A | N/A | 2
INSCOP | N/A | 2022-01-10 | 2022-01-18 | N | 1162 | N/A | 0.1 | 34.3 | N/A | 16.6 | N/A | 4.2 | 2.1 | N/A | 2.9 | N/A | 20.6 | 1.3 | 12.5 | N/A | 1.0 | 1.7 | N/A | N/A | N/A | 1.5
Avangarde | N/A | 2021-12-15 | 2021-12-23 | N | 907 | N/A | 1 | 39 | N/A | 18 | N/A | 5 | 3 | N/A | 2 | N/A | 17 | 4 | 10 | N/A | 1 | N/A | N/A | N/A | N/A | 1
Sociopol | N/A | 2021-12-17 | 2021-12-22 | N | 1001 | N/A | 1 | 33 | N/A | 15 | 1 | 5 | 2 | N/A | 2 | N/A | 23 | N/A | 12 | 1 | 1 | 3 | N/A | N/A | N/A | 2
CURS | N/A | 2021-12-13 | 2021-12-17 | N | 1100 | N/A | 1 | 38 | N/A | 19 | N/A | 5 | 5 | N/A | N/A | N/A | 13 | 4 | 11 | N/A | N/A | N/A | N/A | N/A | N/A | 5
Avangarde | N/A | 2021-11-16 | 2021-11-24 | N | 906 | N/A | 1 | 40 | N/A | 17 | 1 | 5 | 4 | N/A | 1 | N/A | 15 | 4 | 11 | N/A | N/A | N/A | N/A | N/A | N/A | 2
CURS | N/A | 2021-11-17 | 2021-11-22 | N | 1100 | N/A | 1 | 38 | N/A | 18 | 1 | 5 | 4 | N/A | 3 | N/A | 14 | 3 | 11 | N/A | N/A | N/A | N/A | N/A | N/A | 3
CURS | N/A | 2021-10-25 | 2021-10-30 | N | 1100 | N/A | 1 | 39 | N/A | 19 | N/A | 5 | 5 | N/A | 3 | N/A | 12 | 4 | 11 | N/A | N/A | N/A | N/A | N/A | N/A | 2
Avangarde | N/A | 2021-10-17 | 2021-10-26 | N | 900 | N/A | 1 | 40 | N/A | 17 | 1 | 5 | 4 | N/A | 2 | N/A | 14 | 4 | 13 | N/A | N/A | N/A | N/A | N/A | N/A | 0
INSCOP | N/A | 2021-10-15 | 2021-10-25 | N | 1100 | N/A | 0.1 | 35.5 | N/A | 21.9 | N/A | 5.0 | 2.9 | N/A | 3.2 | N/A | 14.2 | 0.5 | 12.4 | N/A | 1.7 | N/A | N/A | N/A | N/A | 2.8
CURS | N/A | 2021-10-12 | 2021-10-20 | N | 1202 | N/A | 1 | 39 | N/A | 21 | N/A | 5 | N/A | N/A | N/A | N/A | 13 | N/A | 11 | N/A | N/A | N/A | N/A | N/A | N/A | 11
INSCOP | N/A | 2021-10-12 | 2021-10-17 | N | 1100 | N/A | 0.1 | 36.7 | N/A | 19.8 | N/A | 3.0 | 2.1 | N/A | 3.0 | N/A | 15.3 | N/A | 16.4 | N/A | N/A | N/A | N/A | N/A | N/A | 3.8
Sociopol | N/A | 2021-10-11 | 2021-10-15 | N | 1002 | N/A | 1 | 32 | N/A | 20 | N/A | 6 | N/A | N/A | N/A | N/A | 21 | N/A | 13 | N/A | N/A | N/A | N/A | N/A | N/A | 8
Gazeta Civică | N/A | 2021-09-26 | 2021-09-29 | N | 1202 | N/A | 0.5 | 28.0 | N/A | 17.0 | 1.0 | 5.0 | 5.5 | N/A | 4.0 | N/A | 17.5 | N/A | 18.0 | N/A | 3.0 | N/A | N/A | N/A | N/A | 2.0
INSOMAR | N/A | 2021-09-28 | 2021-09-28 | N | 1030 | N/A | 0.1 | 31.6 | N/A | 25.9 | N/A | 4.6 | 2.5 | N/A | 2.3 | N/A | 17.0 | N/A | 15.0 | N/A | 1.2 | N/A | N/A | N/A | N/A | 0.0
INSCOP | N/A | 2021-09-15 | 2021-09-27 | N | 1204 | N/A | 0.1 | 35.4 | N/A | 21.9 | N/A | N/A | 2.9 | N/A | 4.4 | N/A | 17.1 | N/A | 9.8 | N/A | N/A | N/A | N/A | N/A | N/A | 8.5
Avangarde | N/A | 2021-09-14 | 2021-09-21 | N | 900 | N/A | 1 | 37 | N/A | 20 | 1 | 5 | 4 | N/A | 1 | N/A | 14 | 4 | 13 | N/A | N/A | N/A | N/A | N/A | N/A | 1
CURS | N/A | 2021-09-08 | 2021-09-10 | N | 861 | N/A | 1 | 36 | N/A | 19 | 2 | 5 | 5 | N/A | 3 | N/A | 14 | 4 | 11 | N/A | N/A | N/A | N/A | N/A | N/A | 1
CURS | N/A | 2021-09-03 | 2021-09-05 | N | 853 | N/A | 1 | 35 | N/A | 20 | 3 | 5 | 5 | N/A | 3 | N/A | 12 | 4 | 11 | N/A | N/A | N/A | N/A | N/A | N/A | 2
Avangarde | N/A | 2021-08-20 | 2021-08-24 | N | 900 | N/A | 1 | 35 | N/A | 21 | N/A | 5 | 5 | N/A | 2 | N/A | 15 | 1 | 14 | N/A | N/A | N/A | N/A | N/A | N/A | 2
CURS | N/A | 2021-08-12 | 2021-08-20 | N | 1100 | N/A | 1 | 34 | N/A | 20 | 3 | 5 | 5 | N/A | 3 | N/A | 11 | 4 | 12 | N/A | N/A | N/A | N/A | N/A | N/A | N/A
IRES | N/A | 2021-08-15 | 2021-08-19 | N | 1006 | N/A | 1 | 35 | N/A | 27 | 1 | 5 | 2 | N/A | 2 | N/A | 14 | N/A | 14 | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Sociopol | N/A | 2021-07-01 | 2021-07-15 | N | 1100 | N/A | 1 | 31 | N/A | 27 | 1 | 7 | 2 | N/A | 3 | N/A | 10 | N/A | 15 | 2 | N/A | N/A | N/A | N/A | N/A | 3
INSOMAR | Realitatea.net | 2021-07-01 | 2021-07-15 | N | 1030 | N/A | 0.1 | 38.1 | N/A | 15.1 | N/A | 5.1 | N/A | N/A | N/A | N/A | 15.0 | N/A | 11.1 | N/A | N/A | N/A | N/A | N/A | N/A | N/A
