Polling Firm | Commissioners | Fieldwork Start | Fieldwork End | Scope | Sample Size | Participation | Precision | SNS | SSP | SPS | NDSS | Dveri | ZZS | NDBGD | SSZ | DS | SRCE | SDS | NS | PSG | JS | NADA | SRS | DJB | POKS | VMSZ | ZLF | EU | NPS | PEP | Other
OFID | N/A | 2023-12-03 | 2023-12-10 | N | 1200 | N/A | 0.1 | 38.7 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1.3 | N/A | N/A | 5.3 | 1.7 | N/A | N/A | 1.6 | N/A | N/A | N/A | N/A | 9.3
НСПМ | N/A | 2023-11-25 | 2023-12-04 | N | 1000 | N/A | 0.1 | 39.8 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 2.8 | N/A | N/A | 5.9 | 1.5 | N/A | N/A | 1.5 | N/A | N/A | N/A | N/A | 7.5
НСПМ | N/A | 2023-11-05 | 2023-11-12 | N | 1000 | N/A | 0.1 | 39.2 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 3.2 | N/A | N/A | 4.4 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 14.2
НСПМ | N/A | 2023-10-08 | 2023-10-18 | N | 1000 | N/A | 0.1 | 38.5 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 3.1 | 3.8 | N/A | N/A | N/A | N/A | 4.2 | N/A | N/A | N/A | N/A | 2.7 | 3.6 | 3.1 | N/A | 16.3
Faktor Plus | Blic | 2023-10-05 | 2023-10-11 | N | 1200 | N/A | 0.1 | 44.5 | 8.1 | N/A | N/A | N/A | 1.2 | N/A | N/A | 1.5 | 2.0 | 1.0 | 1.7 | 1.1 | N/A | 4.0 | 1.5 | N/A | N/A | N/A | 2.4 | 2.3 | 5.9 | 1.0 | N/A
Stata.rs | N/A | 2023-10-07 | 2023-10-10 | N | 1546 | 97.2 | 0.1 | 37.7 | 8.8 | N/A | 3.2 | 4.0 | N/A | N/A | 3.5 | N/A | 4.4 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 3.9 | 3.6 | 7.9 | N/A | 15.7
Stata.rs | N/A | 2023-09-08 | 2023-09-13 | N | 1580 | 93.6 | 0.1 | 38.8 | 10.5 | N/A | 3.2 | 2.8 | 0.6 | N/A | 3.6 | 1.3 | 4.7 | 1.6 | 0.5 | 2.0 | N/A | N/A | 1.3 | N/A | N/A | N/A | 4.3 | 3.3 | 5.9 | 2.7 | 5.2
НСПМ | N/A | 2023-08-22 | 2023-08-31 | N | 1000 | N/A | 0.1 | 37.3 | 4.2 | N/A | 3.6 | 3.1 | 1.3 | N/A | 3.0 | 2.4 | 3.2 | 1.4 | 2.8 | N/A | N/A | N/A | 1.2 | N/A | N/A | N/A | 2.3 | 2.6 | 2.8 | N/A | 19.3
Stata.rs | N/A | 2023-07-21 | 2023-07-24 | N | 1558 | N/A | 0.1 | 37.8 | 9.6 | N/A | 3.6 | 2.6 | 6.0 | N/A | 3.1 | N/A | 4.7 | N/A | 2.1 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 3.7 | N/A | N/A | 1.9 | 16.9
НСПМ | N/A | 2023-06-01 | 2023-06-30 | N | 1100 | N/A | 0.1 | 37.2 | 4.0 | N/A | 4.2 | 3.9 | 4.7 | 2.3 | 3.6 | 2.1 | 3.5 | 1.6 | 3.4 | N/A | N/A | N/A | 1.5 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 18.6
