Polling Firm | Commissioners | Fieldwork Start | Fieldwork End | Scope | Sample Size | Participation | Precision | SDS | Levica | LMŠ | SD | SMC | NSi | SAB | SNS | DeSUS | SLS | PSS | DD | ZS | PoS | ND | GS | LRG | K | Resni.ca | LIDE | VESNA | Other
Mediana | POP TV | 2023-09-19 | 2023-09-21 | N | 715 | N/A | 0.1 | 30.9 | 8.7 | N/A | 8.1 | N/A | 6.6 | N/A | 1.2 | N/A | 1.2 | 2.8 | N/A | N/A | N/A | 0.4 | 30.6 | N/A | 0.0 | 4.1 | N/A | 2.5 | 2.8
Ninamedia | Dnevnik | 2023-09-11 | 2023-09-13 | N | 700 | N/A | 0.1 | 32.0 | 7.8 | N/A | 10.5 | N/A | 12.7 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 35.3 | N/A | N/A | N/A | N/A | N/A | 1.7
Mediana | Delo | 2023-09-04 | 2023-09-07 | N | 715 | N/A | 0.1 | 28.7 | 5.8 | N/A | 9.1 | N/A | 7.9 | N/A | 2.6 | N/A | 1.8 | 2.7 | N/A | N/A | N/A | 0.5 | 33.0 | N/A | 1.2 | 3.4 | N/A | 1.8 | 1.5
Mediana | POP TV | 2023-08-22 | 2023-08-24 | N | 715 | N/A | 0.1 | 31.4 | 5.5 | N/A | 9.4 | N/A | 5.8 | N/A | 0.7 | N/A | 2.8 | 3.9 | N/A | N/A | N/A | 1.1 | 31.8 | N/A | 0.1 | 3.4 | N/A | 2.3 | 1.6
Ninamedia | Dnevnik | 2023-08-16 | 2023-08-17 | N | 710 | N/A | 0.1 | 35.4 | 7.3 | N/A | 9.7 | N/A | 10.0 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 35.1 | N/A | N/A | N/A | N/A | N/A | 2.5
Mediana | Delo | 2023-08-07 | 2023-08-10 | N | 716 | N/A | 0.1 | 32.6 | 8.3 | N/A | 9.1 | N/A | 6.2 | N/A | 1.2 | N/A | 1.2 | 2.4 | N/A | N/A | N/A | 0.7 | 30.4 | N/A | 0.0 | 4.0 | N/A | 1.4 | 2.5
Mediana | POP TV | 2023-07-17 | 2023-07-20 | N | 710 | N/A | 0.1 | 32.1 | 5.9 | N/A | 8.7 | N/A | 8.6 | N/A | 1.5 | N/A | 1.8 | 1.9 | N/A | N/A | N/A | 0.1 | 31.4 | N/A | 0.1 | 3.9 | N/A | 1.2 | 2.7
Ninamedia | Dnevnik | 2023-07-10 | 2023-07-12 | N | 700 | N/A | 0.1 | 30.3 | 7.5 | N/A | 11.0 | N/A | 9.9 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 37.7 | N/A | N/A | N/A | N/A | N/A | 3.5
Mediana | Delo | 2023-07-03 | 2023-07-06 | N | 706 | N/A | 0.1 | 30.8 | 6.1 | N/A | 7.7 | N/A | 6.6 | N/A | 2.6 | N/A | 1.4 | 3.0 | N/A | N/A | N/A | 1.4 | 31.8 | N/A | 1.1 | 2.1 | N/A | 2.6 | 2.7
Mediana | POP TV | 2023-06-20 | 2023-06-22 | N | 719 | N/A | 0.1 | 30.4 | 8.5 | N/A | 9.3 | N/A | 8.8 | N/A | 1.0 | N/A | 2.2 | 2.6 | N/A | N/A | N/A | 0.7 | 29.3 | N/A | 0.0 | 2.6 | N/A | 2.8 | 1.7
