Polling Firm | Commissioners | Fieldwork Start | Fieldwork End | Scope | Sample Size | Participation | Precision | SMER–SSD | SaS | OĽaNO | SR | SNS | ĽSNS | KDH | M-H | AS | PS | D | ZĽ | DV | V | HLAS–SD | REP | MF | MODRÍ | KÚ | Other
Polis Slovakia | N/A | 2023-09-16 | 2023-09-20 | N | 1110 | N/A | 0.1 | 24.4 | 6.4 | N/A | 5.3 | 5.8 | 1.9 | 5.7 | N/A | 5.4 | 15.1 | 2.0 | N/A | N/A | N/A | 12.6 | 6.8 | 0.6 | N/A | N/A | 1.1
IPSOS | Pravda | 2023-09-15 | 2023-09-19 | N | 1026 | N/A | 0.1 | 20.1 | 6.0 | N/A | 4.2 | 5.5 | 2.6 | 5.2 | N/A | 4.0 | 17.0 | 3.4 | N/A | N/A | N/A | 13.0 | 8.5 | 0.6 | N/A | N/A | 0.9
Focus | TV Markíza | 2023-09-06 | 2023-09-13 | N | 1001 | N/A | 0.1 | 18.9 | 5.1 | N/A | 4.9 | 6.4 | 1.8 | 6.2 | N/A | 3.6 | 16.5 | 3.7 | N/A | N/A | N/A | 14.6 | 8.0 | 0.8 | N/A | N/A | 1.7
AKO | TV JOJ | 2023-09-05 | 2023-09-11 | N | 1000 | N/A | 0.1 | 19.4 | 7.4 | N/A | 5.3 | 6.0 | 0.6 | 6.0 | N/A | 2.9 | 18.2 | 3.5 | N/A | N/A | N/A | 15.1 | 5.2 | 0.3 | N/A | N/A | 1.7
NMS | N/A | 2023-09-05 | 2023-09-09 | N | 1410 | N/A | 0.1 | 22.0 | 4.2 | N/A | 5.8 | 7.3 | 1.0 | 4.7 | N/A | 3.2 | 18.1 | 3.8 | N/A | N/A | N/A | 11.4 | 8.3 | 0.4 | N/A | N/A | 2.8
Polis Slovakia | eReport | 2023-09-01 | 2023-09-06 | N | 1002 | N/A | 0.1 | 24.5 | 6.8 | N/A | 5.8 | 6.0 | N/A | 5.4 | N/A | N/A | 14.6 | 1.2 | N/A | N/A | N/A | 12.6 | 7.6 | N/A | N/A | N/A | 9.9
Median | RTVS | 2023-08-25 | 2023-08-31 | N | 1002 | N/A | 0.1 | 17.8 | 6.7 | N/A | 8.2 | 5.3 | 2.3 | 7.3 | N/A | N/A | 17.8 | 3.6 | N/A | N/A | N/A | 9.4 | 10.2 | N/A | N/A | N/A | 4.4
Median | RTVS | 2023-08-21 | 2023-08-24 | N | 1005 | N/A | 0.1 | 20.2 | 7.3 | N/A | 5.8 | 5.3 | 2.4 | 6.7 | N/A | N/A | 17.6 | 4.1 | N/A | N/A | N/A | 10.0 | 10.0 | N/A | N/A | N/A | 4.4
Polis Slovakia | Zoznam | 2023-08-11 | 2023-08-16 | N | 1009 | N/A | 0.1 | 23.4 | 6.5 | N/A | 5.3 | 6.1 | 2.2 | 5.2 | N/A | 5.3 | 14.2 | 2.3 | N/A | N/A | N/A | 12.9 | 6.6 | 1.1 | N/A | N/A | 1.5
Focus | TV Markíza | 2023-08-09 | 2023-08-16 | N | 1009 | N/A | 0.1 | 20.0 | 6.1 | N/A | 5.1 | 5.3 | 2.1 | 6.1 | N/A | 3.4 | 15.0 | 3.1 | N/A | N/A | N/A | 14.2 | 8.8 | 0.7 | N/A | N/A | 2.0
