Polling Firm | Commissioners | Fieldwork Start | Fieldwork End | Scope | Sample Size | Participation | Precision | AKP | CHP | MHP | HDP | İYİ | SP | DEVA | GP | YRP | MP | TİP | ZP | DEM | Other
HBS | N/A | 2024-05-01 | 2024-05-31 | N | 5000 | 93.1 | 0.1 | 30.2 | 32.4 | 9.9 | N/A | 4.9 | N/A | N/A | N/A | 6.9 | N/A | 2.3 | 3.2 | 8.1 | 2.2
MetroPOLL | N/A | 2024-05-01 | 2024-05-31 | N | N/A | 66.2 | 0.1 | 29.1 | 33.2 | 10.3 | N/A | 3.7 | N/A | N/A | N/A | 6.5 | N/A | N/A | 3.6 | 9.2 | 2.9
ASAL | N/A | 2024-05-24 | 2024-05-28 | N | 2000 | N/A | 0.1 | 30.6 | 31.5 | 10.1 | N/A | 3.9 | N/A | N/A | N/A | 5.7 | N/A | 1.6 | 3.2 | 9.6 | 3.8
SAROS | N/A | 2024-05-17 | 2024-05-23 | N | 3114 | 75.7 | 0.1 | 31.7 | 33.6 | 8.2 | N/A | 2.5 | 0.6 | N/A | N/A | 5.1 | N/A | 2.6 | 3.1 | 9.7 | 2.7
Yöneylem | N/A | 2024-04-26 | 2024-04-29 | N | 2232 | 82.8 | 0.1 | 30.9 | 34.1 | 8.3 | N/A | 3.9 | N/A | N/A | N/A | 6.0 | N/A | 1.2 | 3.5 | 9.4 | 2.7
HBS | N/A | 2024-04-20 | 2024-04-25 | N | 4300 | N/A | 0.1 | 30.4 | 31.2 | 11.4 | N/A | 3.0 | N/A | N/A | N/A | 6.3 | N/A | N/A | 3.2 | 8.0 | 6.5
MetroPOLL | N/A | 2024-04-17 | 2024-04-24 | N | 2235 | 66.2 | 0.1 | 31.1 | 35.9 | 7.9 | N/A | 2.4 | N/A | N/A | N/A | 6.1 | N/A | N/A | 4.2 | 8.4 | 3.3
AREA | N/A | 2024-04-20 | 2024-04-22 | N | 3062 | 77.3 | 0.1 | 32.5 | 34.4 | 9.1 | N/A | 3.0 | N/A | N/A | N/A | 5.6 | N/A | N/A | 4.0 | 9.9 | 1.5
ASAL | N/A | 2024-04-20 | 2024-04-21 | N | 2000 | N/A | 0.1 | 32.2 | 26.5 | 9.8 | N/A | 5.6 | N/A | N/A | N/A | 4.5 | N/A | 2.6 | 4.2 | 9.1 | 5.5
İEA | N/A | 2024-04-01 | 2024-04-19 | N | N/A | N/A | 0.1 | 29.8 | 35.2 | 7.7 | N/A | 4.0 | N/A | N/A | N/A | 5.7 | N/A | 0.9 | 3.4 | 10.5 | 2.8
KONDA | N/A | 2024-04-05 | 2024-04-07 | N | 2920 | N/A | 0.1 | 27.2 | 29.9 | 10.2 | N/A | 4.0 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 9.8 | 18.9
HBS | N/A | 2024-03-01 | 2024-03-11 | N | 6100 | 93.1 | 0.1 | 34.5 | 26.1 | 9.9 | N/A | 7.5 | N/A | N/A | N/A | 6.5 | N/A | N/A | 3.2 | 9.4 | 3.0
MetroPOLL | N/A | 2024-02-01 | 2024-02-29 | N | N/A | 72.3 | 0.1 | 33.2 | 25.2 | 8.4 | N/A | 9.2 | N/A | N/A | N/A | 5.8 | 1.8 | 1.7 | 1.9 | 11.5 | 1.3
ASAL | N/A | 2024-01-21 | 2024-01-29 | N | 2000 | N/A | 0.1 | 34.8 | 23.2 | 9.7 | N/A | 8.5 | N/A | N/A | N/A | 4.8 | 0.8 | 2.1 | 3.7 | 9.4 | 3.0
MetroPOLL | N/A | 2024-01-12 | 2024-01-15 | N | 1565 | 69.9 | 0.1 | 34.6 | 25.1 | 9.0 | N/A | 10.1 | N/A | N/A | N/A | 1.9 | 0.6 | 1.3 | 3.2 | 10.3 | 3.9
Yöneylem | N/A | 2023-12-28 | 2023-12-29 | N | 2400 | 79.2 | 0.1 | 33.3 | 25.2 | 10.3 | N/A | 5.5 | N/A | N/A | N/A | 5.0 | N/A | 2.2 | 4.0 | 9.4 | 5.1
MetroPOLL | N/A | 2023-12-08 | 2023-12-13 | N | 2870 | 71.1 | 0.1 | 38.3 | 28.1 | 7.0 | N/A | 8.2 | 0.8 | N/A | N/A | 2.0 | 0.6 | 1.5 | 1.8 | 10.8 | 0.8
