Polling Firm | Commissioners | Fieldwork Start | Fieldwork End | Scope | Sample Size | Participation | Precision | SN | OPZZh | YeS | Bat’kivshchyna | Holos | SiCh | PSh | OB | RPOL | Svoboda | USH | HP | Samopomich | APU | PZU | RNS | NAShI | NK | NF | ZM | ProPoz | D7 | UDAR | Peremoha | RP | 24 August | Other
Info Sapiens | N/A | 2022-03-23 | 2022-03-28 | N | 1000 | N/A | 0.1 | 52.0 | 1.3 | 12.6 | 5.2 | 0.6 | 5.2 | 0.8 | 0.5 | 0.6 | 0.7 | 1.2 | 0.2 | N/A | N/A | N/A | N/A | 0.9 | N/A | N/A | 0.5 | 0.4 | N/A | 3.1 | N/A | 3.9 | 9.5 | N/A
КМІС | N/A | 2022-01-20 | 2022-01-21 | N | 1205 | N/A | 0.1 | 13.7 | 11.6 | 18.9 | 13.3 | 1.6 | 7.4 | 2.8 | N/A | 4.6 | 3.1 | 5.5 | N/A | N/A | N/A | N/A | N/A | 5.5 | N/A | N/A | N/A | N/A | N/A | 4.5 | N/A | 7.6 | N/A | N/A
Gradus | N/A | 2022-01-19 | 2022-01-19 | N | 1000 | N/A | 1 | 18.0 | 10.0 | 22.0 | 8.0 | 1.0 | 4.0 | 5.0 | N/A | 3.0 | 3.0 | 7.0 | N/A | N/A | N/A | N/A | N/A | 6.0 | N/A | N/A | N/A | N/A | N/A | 5.0 | N/A | 5.0 | N/A | N/A
Центр Разумкова | Фонд «Демократичні ініціативи» | 2021-12-17 | 2021-12-22 | N | 2018 | N/A | 0.1 | 20.4 | 9.9 | 17.3 | 10.6 | 1.0 | 6.7 | 0.7 | 0.4 | 1.9 | 3.3 | 4.4 | 0.6 | N/A | N/A | N/A | N/A | 5.2 | N/A | N/A | 0.6 | 0.2 | N/A | 1.6 | N/A | 10.5 | N/A | N/A
Рейтинг | N/A | 2021-12-16 | 2021-12-18 | N | 2500 | N/A | 0.1 | 19.2 | 10.5 | 14.1 | 11.1 | 2.2 | 6.5 | 2.6 | N/A | 4.2 | 3.5 | 6.8 | N/A | 1.6 | N/A | N/A | N/A | 5.7 | N/A | N/A | N/A | N/A | N/A | 4.0 | N/A | 6.0 | N/A | N/A
КМІС | N/A | 2021-12-09 | 2021-12-17 | N | 2025 | N/A | 0.1 | 17.6 | 13.6 | 16.5 | 13.7 | 1.6 | 5.5 | 1.8 | N/A | 3.4 | 1.9 | 4.6 | N/A | N/A | N/A | N/A | N/A | 4.4 | N/A | 1.9 | N/A | N/A | N/A | 2.3 | N/A | 6.5 | N/A | N/A
Рейтинг | N/A | 2021-12-14 | 2021-12-16 | N | 2000 | N/A | 0.1 | 19.1 | 10.5 | 13.5 | 11.2 | 1.9 | 7.3 | 3.4 | N/A | 4.2 | 3.0 | 6.0 | N/A | 1.7 | N/A | N/A | N/A | 5.4 | N/A | N/A | N/A | N/A | N/A | 3.8 | N/A | 6.2 | N/A | N/A
СОЦІС | N/A | 2021-12-11 | 2021-12-16 | N | 2000 | N/A | 0.1 | 17.9 | 11.5 | 18.2 | 12.2 | 2.2 | 6.2 | 2.6 | N/A | 1.9 | 5.3 | 5.2 | N/A | N/A | N/A | N/A | N/A | 5.3 | N/A | N/A | N/A | N/A | N/A | 2.1 | N/A | 8.1 | N/A | N/A
КМІС | N/A | 2021-12-03 | 2021-12-11 | N | 2000 | N/A | 0.1 | 18.4 | 9.0 | 19.8 | 9.1 | 1.7 | 7.0 | 4.0 | N/A | 5.2 | 3.3 | 5.1 | N/A | 1.5 | N/A | N/A | N/A | 4.4 | 0.9 | N/A | 1.3 | 0.5 | N/A | 2.6 | N/A | 4.8 | N/A | N/A
ЦСМ | N/A | 2021-11-28 | 2021-12-10 | N | 10000 | N/A | 0.1 | 19.2 | 12.8 | 15.3 | 10.3 | 1.0 | 6.1 | 1.4 | N/A | 2.5 | 2.6 | 3.7 | N/A | N/A | 0.3 | N/A | N/A | 6.8 | N/A | 0.7 | 0.8 | 0.4 | N/A | 1.4 | N/A | 7.7 | N/A | N/A
UIF | N/A | 2021-11-28 | 2021-12-10 | N | 2400 | N/A | 0.1 | 19.0 | 13.0 | 16.0 | 14.0 | 1.0 | 5.0 | 2.0 | N/A | 2.0 | 2.0 | 4.0 | N/A | N/A | N/A | N/A | N/A | 5.0 | N/A | N/A | 2.0 | 0.1 | N/A | 2.0 | 0.1 | 9.0 | 3.0 | N/A
Рейтинг | N/A | 2021-12-06 | 2021-12-08 | N | 2500 | N/A | 0.1 | 18 | 11.4 | 13.7 | 11.4 | 1.8 | 6.0 | 3.1 | N/A | 4.0 | 3.0 | 6.2 | N/A | N/A | N/A | N/A | N/A | 5.2 | N/A | N/A | N/A | N/A | N/A | 4.2 | N/A | 7.5 | N/A | N/A
RDI | N/A | 2021-11-28 | 2021-12-06 | N | 2027 | N/A | 0.1 | 17.9 | 16.5 | 15.7 | 12.1 | 1.3 | 4.9 | 2.1 | N/A | 3.3 | 2.7 | 3.9 | 1.4 | N/A | N/A | N/A | N/A | 4.2 | N/A | N/A | 1.0 | 0.5 | N/A | 1.9 | N/A | 7.2 | N/A | N/A
КМІС | N/A | 2021-11-26 | 2021-11-29 | N | 1203 | N/A | 0.1 | 15 | 9.2 | 17.1 | 13.3 | 1.8 | 6.7 | 2.7 | N/A | 5.4 | 2.8 | 5.7 | N/A | N/A | N/A | N/A | N/A | 5.3 | N/A | N/A | N/A | N/A | N/A | 4.5 | N/A | 9.9 | N/A | N/A
Центр Разумкова | N/A | 2021-11-11 | 2021-11-17 | N | 2018 | N/A | 0.1 | 22.7 | 12.7 | 18.8 | 8.8 | 0.2 | 5.7 | 0.7 | 0.2 | 2.9 | 3.5 | 4.4 | 1.5 | N/A | N/A | N/A | N/A | 4.3 | N/A | N/A | 0.1 | 0.3 | N/A | 1.0 | N/A | 7.0 | 2.4 | N/A
Рейтинг | N/A | 2021-11-10 | 2021-11-13 | N | 1200 | N/A | 0.1 | 18.0 | 10.7 | 13.9 | 10.1 | 1.7 | 6.4 | 3.1 | N/A | 4.5 | 2.1 | 5.0 | N/A | N/A | N/A | N/A | N/A | 5.5 | N/A | 1.8 | 1.5 | N/A | N/A | 3.7 | N/A | N/A | N/A | N/A
Рейтинг | N/A | 2021-11-04 | 2021-11-09 | N | 5000 | N/A | 0.1 | 17.3 | 11.0 | 14.0 | 12.2 | 1.4 | 5.8 | 3.2 | N/A | 4.8 | 3.3 | 5.2 | N/A | N/A | N/A | N/A | N/A | 4.9 | N/A | N/A | 2.1 | N/A | N/A | 3.1 | N/A | N/A | N/A | N/A
Active Group | N/A | 2021-11-03 | 2021-11-07 | N | 1200 | N/A | 0.1 | 21.8 | 12.7 | 14.6 | 11.3 | 1.4 | 5.8 | 2.0 | N/A | 3.1 | 2.8 | 5.6 | 1.4 | N/A | N/A | N/A | N/A | 4.2 | N/A | N/A | 0.7 | N/A | N/A | 2.7 | N/A | N/A | N/A | N/A
СОЦІС | N/A | 2021-10-29 | 2021-11-04 | N | 2000 | N/A | 0.1 | 23.8 | 12.3 | 18.5 | 10.9 | 2.3 | 6.6 | 2.9 | N/A | 2.0 | 3.4 | 4.7 | N/A | N/A | N/A | N/A | N/A | 5.3 | N/A | N/A | N/A | N/A | N/A | 1.3 | N/A | N/A | N/A | N/A
UIF | N/A | 2021-10-23 | 2021-11-02 | N | 2400 | N/A | 0.1 | 18.0 | 16.0 | 15.0 | 16.0 | 1.0 | 7.0 | 3.0 | N/A | 2.0 | 3.0 | 4.0 | N/A | N/A | N/A | N/A | N/A | 6.0 | N/A | N/A | 2.0 | 0.4 | N/A | 2.0 | 0.5 | N/A | 3 | N/A
Центр Разумкова | N/A | 2021-10-23 | 2021-10-27 | N | 1200 | N/A | 0.1 | 22.5 | 11.3 | 18.6 | 10.8 | 1.5 | 5.4 | 1.8 | N/A | 3.2 | 2.4 | 6.9 | N/A | N/A | N/A | N/A | N/A | 4.7 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A
КМІС | N/A | 2021-10-20 | 2021-10-25 | N | 2028 | N/A | 0.1 | 18.3 | 17.0 | 15.1 | 15.4 | 1.7 | 5.6 | 2.2 | N/A | 4.5 | 2.7 | 3.6 | N/A | N/A | N/A | N/A | N/A | 2.3 | N/A | N/A | 1.2 | 0.3 | N/A | 2.6 | N/A | N/A | N/A | N/A
Рейтинг | N/A | 2021-10-21 | 2021-10-23 | N | 2500 | N/A | 0.1 | 20.4 | 12.0 | 15.8 | 10.9 | 2.2 | 6.4 | 3.8 | N/A | 4.8 | 2.9 | 5.3 | N/A | 1.9 | N/A | N/A | N/A | 6.3 | N/A | N/A | N/A | N/A | N/A | 4.2 | N/A | N/A | N/A | N/A
Центр Разумкова | N/A | 2021-10-14 | 2021-10-20 | N | 2018 | N/A | 0.1 | 21.6 | 12.9 | 15.8 | 11.1 | 0.4 | 6.0 | 1.7 | N/A | 2.5 | 2.0 | 3.8 | 2.9 | N/A | N/A | N/A | N/A | 6.4 | N/A | N/A | 0.4 | 0.1 | N/A | 1.1 | N/A | N/A | N/A | N/A
КМІС | N/A | 2021-10-15 | 2021-10-18 | N | 1200 | N/A | 0.1 | 15.5 | 13.0 | 15.7 | 13.6 | 1.6 | 8.6 | 3.6 | N/A | 5.6 | 4.4 | 5.6 | N/A | N/A | N/A | N/A | N/A | 5.7 | N/A | N/A | 1.8 | 1.2 | N/A | 2.4 | N/A | N/A | N/A | N/A
RDI | N/A | 2021-10-07 | 2021-10-11 | N | 2045 | N/A | 0.1 | 20.4 | 16.8 | 15.9 | 10.2 | 1.4 | 5.3 | 2.3 | N/A | 3.4 | 1.3 | 4.3 | N/A | N/A | N/A | N/A | N/A | 4.0 | N/A | 0.4 | 1.0 | 0.6 | N/A | 1.8 | 0.3 | N/A | N/A | N/A
