Polling Firm | Commissioners | Fieldwork Start | Fieldwork End | Scope | Sample Size | Participation | Precision | LDK | LVV | PDK | AAK | PSD | NISMA | AKR | PD | SL | A | Guxo! | Other
UBO Consulting | N/A | 2024-04-05 | 2024-04-05 | N | 907 | N/A | 0.1 | 16.0 | 49.5 | 17.1 | N/A | N/A | N/A | N/A | N/A | 5.6 | N/A | 0.6 | 4.3
PIPOS | Klan Kosova | 2024-02-22 | 2024-02-22 | N | N/A | 92.9 | 0.1 | 23.1 | 44.0 | 22.0 | N/A | 0.1 | N/A | N/A | N/A | N/A | 0.1 | 0.4 | 0.4
UBO Consulting | N/A | 2023-12-16 | 2023-12-23 | N | 1066 | N/A | 0.1 | 17.9 | 48.5 | 18.2 | 6.8 | N/A | 1.5 | N/A | N/A | 3.2 | 0.1 | 0.8 | 3.0
PIPOS | Klan Kosova | 2022-12-01 | 2022-12-31 | N | 1000 | N/A | 0.1 | 22.2 | 35.5 | 21.5 | 6 | N/A | 2.4 | N/A | N/A | N/A | N/A | 1 | 0.2
UBO Consulting | N/A | 2022-12-23 | 2022-12-23 | N | N/A | N/A | 0.1 | 19.8 | 42.6 | 19 | 7.3 | N/A | 2 | N/A | N/A | 4.3 | 0.2 | 1.3 | 3.4
null | Nacionale | 2022-10-01 | 2022-10-31 | N | N/A | N/A | 0.1 | 25.6 | 33.9 | 20.1 | 6.4 | N/A | 3.2 | N/A | N/A | N/A | N/A | 1.3 | 9.3
UBO Consulting | N/A | 2022-09-01 | 2022-09-30 | N | N/A | N/A | 0.1 | 22.3 | 37.3 | 21.7 | 7.7 | 0.1 | 1.2 | 0.3 | N/A | 5.1 | 0.3 | 1.5 | N/A
PIPOS | N/A | 2022-08-01 | 2022-08-31 | N | N/A | N/A | 0.1 | 21.6 | 33.2 | 18.3 | 10.1 | N/A | 1.5 | N/A | N/A | N/A | N/A | 0.9 | N/A
PIPOS | Klan Kosova | 2022-07-07 | 2022-07-07 | N | 1050 | N/A | 0.1 | 25.1 | 38.1 | 21.3 | 11.9 | N/A | 2.1 | N/A | N/A | N/A | N/A | 1.2 | N/A
UBO Consulting | Gazeta Express | 2022-06-18 | 2022-06-18 | N | N/A | 90.5 | 0.1 | 20.3 | 39.6 | 21.9 | 6.7 | N/A | 1.9 | N/A | N/A | N/A | N/A | 1.3 | N/A
UBO Consulting | T7 | 2022-05-01 | 2022-05-31 | N | N/A | N/A | 0.1 | 17.7 | 38.3 | 19.7 | 6.5 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A
UBO Consulting | T7 | 2022-03-07 | 2022-03-15 | N | 1065 | N/A | 0.1 | 19.4 | 41.9 | 21.6 | 7.2 | 0.3 | 1.0 | 0.5 | N/A | 4.2 | N/A | 1.1 | N/A
PIPOS | Klan Kosova | 2022-02-16 | 2022-02-16 | N | 1050 | 88.7 | 0.1 | 27.2 | 39.1 | 24.0 | 8.7 | N/A | 0.5 | N/A | N/A | N/A | N/A | N/A | N/A
PIPOS | Klan Kosova | 2021-02-11 | 2021-02-11 | N | N/A | 95 | 0.1 | 20.4 | 43.1 | 23.5 | 8.2 | N/A | 3.3 | N/A | N/A | N/A | N/A | N/A | 1.5
GBI | Albanian Post | 2021-02-02 | 2021-02-02 | N | 1035 | 88.6 | 0.1 | 17.5 | 57.9 | 14.9 | 6.2 | N/A | 2.0 | N/A | N/A | N/A | N/A | N/A | N/A
KOZMO | N/A | 2021-01-26 | 2021-01-30 | N | 2500 | 96.8 | 0.1 | 16.4 | 54.8 | 17.8 | 7.4 | N/A | 3.7 | N/A | N/A | N/A | N/A | N/A | N/A
PIPOS | Klan Kosova | 2021-01-29 | 2021-01-29 | N | 3000 | 92.8 | 0.1 | 18.5 | 47.2 | 22.7 | 7.5 | N/A | 3.1 | N/A | N/A | N/A | N/A | N/A | 1.1
null | Gazeta Express and T7 | 2021-01-22 | 2021-01-22 | N | 1287 | N/A | 0.1 | 16.0 | 50.8 | 16.9 | 7.0 | N/A | 3.0 | N/A | N/A | N/A | N/A | N/A | N/A
PIPOS | Klan Kosova | 2021-01-18 | 2021-01-21 | N | 1050 | 92.8 | 0.1 | 18.8 | 47.6 | 22.0 | 7.8 | N/A | 3.3 | N/A | N/A | N/A | N/A | N/A | 0.6
Riinvest Analytics | RTV Dukagjini | 2021-01-11 | 2021-01-17 | N | 1100 | 96.5 | 0.1 | 10.7 | 56.1 | 15.4 | 6.6 | N/A | 1.5 | N/A | N/A | 5.2 | N/A | N/A | 4.6
PIPOS | Klan Kosova | 2021-01-11 | 2021-01-14 | N | 3000 | 91.7 | 0.1 | 17.8 | 45.4 | 21.9 | 8.2 | N/A | 1.6 | 0.8 | N/A | N/A | N/A | N/A | 4.4
PIPOS | Klan Kosova | 2021-01-01 | 2021-01-05 | N | 1050 | 93.5 | 0.1 | 16.8 | 44.3 | 22.2 | 9.2 | N/A | 2.1 | N/A | N/A | N/A | N/A | N/A | 5.7
UBO Consulting | Klan Kosova | 2020-12-14 | 2020-12-21 | N | 1070 | 94.6 | 0.1 | 15.8 | 48.8 | 16.9 | 7.4 | 0.3 | 3.7 | 2.6 | N/A | 2.6 | 0.5 | N/A | 1.1
SYRI | N/A | 2019-09-26 | 2020-09-26 | N | N/A | N/A | 1 | 29 | 24 | 21 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A
